WigleWifi-1.4,appRelease=2.26,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
51502_30203_210495281,Globe,HSPA;ph,2017-11-22 14:30:15,0,-103,14.65968291,121.06845122,115,13.652999877929688,GSM
8c:34:fd:42:2e:4f,basurang globe,[WPA2-PSK-CCMP][ESS],2017-11-22 14:30:55,1,-81,14.65968276,121.0684509,114,13.652999877929688,WIFI
34:ba:9a:4f:df:d5,Crystal Gems,[WPA2-PSK-CCMP][WPS][ESS],2017-11-22 14:31:12,7,-85,14.65968273,121.06845086,114,13.652999877929688,WIFI
ee:1d:7f:a2:5f:00,WOW_Smart,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:32:02,1,-81,14.65964295,121.06846588,111,4.550999641418457,WIFI
51502_30203_210495281,Globe,HSPA;ph,2017-11-22 14:32:02,0,-93,14.65964295,121.06846588,111,4.550999641418457,GSM
38:a2:8c:7c:c1:40,WiFiConnect 896,[ESS],2017-11-22 14:33:17,36,-87,14.65956605,121.06848347,119,15.170000076293945,WIFI
34:ba:9a:4f:df:d5,Crystal Gems,[WPA2-PSK-CCMP][WPS][ESS],2017-11-22 14:33:52,7,-76,14.65956194,121.06854182,123,15.170000076293945,WIFI
8e:79:67:93:32:78,123,[WPA2-PSK-CCMP][WPS][ESS],2017-11-22 14:33:58,2,-87,14.65956182,121.06854161,123,15.170000076293945,WIFI
34:ba:9a:4f:df:d5,Crystal Gems,[WPA2-PSK-CCMP][WPS][ESS],2017-11-22 14:34:10,7,-70,14.65956385,121.06854247,123,15.170000076293945,WIFI
74:cc:39:ca:37:f0,UPPFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:35:02,6,-85,14.65936755,121.06849342,118,13.652999877929688,WIFI
f0:3e:90:01:cf:8c,DILNET-WIFI,[ESS],2017-11-22 14:35:02,36,-91,14.65936755,121.06849342,118,13.652999877929688,WIFI
1c:b9:c4:20:b4:8c,#SmartWifi @UPDiliman,[ESS],2017-11-22 14:35:09,36,-88,14.65929373,121.06847284,119,13.652999877929688,WIFI
74:cc:39:ca:37:f0,UPPFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:35:17,6,-79,14.65926979,121.0684479,119,13.652999877929688,WIFI
24:79:2a:21:35:1c,DILNET-WIFI,[ESS],2017-11-22 14:35:17,58,-88,14.65926979,121.0684479,119,13.652999877929688,WIFI
bc:c0:0f:20:2e:e8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:35:28,4,-88,14.65928414,121.06843679,119,13.652999877929688,WIFI
24:79:2a:21:35:18,DILNET-WIFI,[ESS],2017-11-22 14:35:28,3,-78,14.65928414,121.06843679,119,13.652999877929688,WIFI
74:91:1a:20:66:68,DILNET-WIFI,[ESS],2017-11-22 14:35:28,6,-86,14.65928414,121.06843679,119,13.652999877929688,WIFI
24:79:2a:21:11:6c,DILNET-WIFI,[ESS],2017-11-22 14:35:39,5580,-87,14.65928865,121.06842621,118,13.652999877929688,WIFI
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,[ESS],2017-11-22 14:36:12,1,-77,14.65928954,121.06843826,117,13.652999877929688,WIFI
bc:c0:0f:20:2e:e8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:36:12,4,-78,14.65928954,121.06843826,117,13.652999877929688,WIFI
1c:b9:c4:20:b4:8c,#SmartWifi @UPDiliman,[ESS],2017-11-22 14:37:56,36,-83,14.65929443,121.06837796,119,13.652999877929688,WIFI
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:37:56,1,-87,14.65929443,121.06837796,119,13.652999877929688,WIFI
8e:79:67:93:32:78,123,[WPA2-PSK-CCMP][WPS][ESS],2017-11-22 14:38:00,2,-79,14.65930585,121.06831154,121,13.652999877929688,WIFI
74:cc:39:ca:37:f0,UPPFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:38:02,6,-74,14.6592997,121.06829629,119,13.652999877929688,WIFI
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:38:06,1,-82,14.65923819,121.06826589,118,15.170000076293945,WIFI
74:cc:39:ca:37:f0,UPPFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:38:08,6,-68,14.65922854,121.06824261,119,15.170000076293945,WIFI
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],2017-11-22 14:38:08,6,-87,14.65922854,121.06824261,119,15.170000076293945,WIFI
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:38:10,1,-76,14.65923221,121.06821614,120,15.170000076293945,WIFI
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:38:16,1,-71,14.65928722,121.06818061,120,16.687000274658203,WIFI
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:38:18,1,-65,14.65927742,121.06815709,120,16.687000274658203,WIFI
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,[ESS],2017-11-22 14:38:26,1,-65,14.65925469,121.06814351,120,15.170000076293945,WIFI
78:44:76:cb:c9:54,KALAYAAN-ADMIN,[WPA2-PSK-CCMP][ESS],2017-11-22 14:38:26,11,-84,14.65925469,121.06814351,120,15.170000076293945,WIFI
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:40:13,1,-59,14.65925241,121.06812712,120,15.170000076293945,WIFI
1c:b9:c4:20:b4:8c,#SmartWifi @UPDiliman,[ESS],2017-11-22 14:40:42,36,-78,14.65924857,121.06812421,120,16.687000274658203,WIFI
e6:8d:8c:d8:a9:30,_UP,[ESS],2017-11-22 14:40:45,6,-85,14.65924054,121.06812657,120,15.170000076293945,WIFI
e6:8d:8c:d8:a9:31,#SmartWifiTest @UPDKalay,[ESS],2017-11-22 14:40:45,6,-86,14.65924054,121.06812657,120,15.170000076293945,WIFI
ac:af:b9:ce:05:30,Buddy,[WPA2-PSK-CCMP][ESS],2017-11-22 14:41:03,1,-87,14.65918029,121.06801346,120,15.170000076293945,WIFI
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:41:12,1,-85,14.65916327,121.06791969,118,15.170000076293945,WIFI
94:a7:b7:3d:06:dd,TFSWM-UPD,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-22 14:41:12,1,-89,14.65916327,121.06791969,118,15.170000076293945,WIFI
51502_30232_210465478,Globe,HSPA;ph,2017-11-22 14:41:13,0,-103,14.65916338,121.06790814,117,15.170000076293945,GSM
51502_30232_210465478,Globe,HSPA;ph,2017-11-22 14:41:13,0,-95,14.65916338,121.06790814,117,15.170000076293945,GSM
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-22 14:41:13,1,-77,14.65916338,121.06790814,117,15.170000076293945,WIFI
