Common,111
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
8c:34:fd:42:2e:4f,basurang globe,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-81,-90
34:ba:9a:4f:df:d5,Crystal Gems,[WPA2-PSK-CCMP][WPS][ESS],WPA2,7,7,-77,-81
ee:1d:7f:a2:5f:00,WOW_Smart,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-81,-79
8e:79:67:93:32:78,123,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-83,-88
74:cc:39:ca:37:f0,UPPFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-77,-77
bc:c0:0f:20:2e:e8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-79,-74
24:79:2a:21:35:18,DILNET-WIFI,[ESS],OPN,3,3,-78,-84
74:91:1a:20:66:68,DILNET-WIFI,[ESS],OPN,6,6,-86,-89
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,[ESS],OPN,1,1,-71,-81
36:69:87:06:b6:71,MASE NHEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-74,-73
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],OPN,6,6,-72,-78
78:44:76:cb:c9:54,KALAYAAN-ADMIN,[WPA2-PSK-CCMP][ESS],WPA2,11,11,-84,-91
e6:8d:8c:d8:a9:30,_UP,[ESS],OPN,6,6,-85,-88
e6:8d:8c:d8:a9:31,#SmartWifiTest @UPDKalay,[ESS],OPN,6,6,-86,-89
ac:af:b9:ce:05:30,Buddy,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-87,-83
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-78,-81
94:a7:b7:3d:06:dd,TFSWM-UPD,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-84,-87
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,7,7,-79,-75
