Total APs,1157
PLDT,293
BSSID,SSID,Encryption,Channel
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,1
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,2
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,3
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,3
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),WPA2,2
74:cc:39:ba:de:e0,PLDTHOMEFIBRadee0,WPA2/WPA,3
18:a3:e8:1f:5a:09,PLDTHOMEFIBRa08,WPA2,3
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,WPA2/WPA,1
e4:6f:13:60:5c:4a,PLDTHOMEDSL3Fb,WPA2/WPA,1
28:6c:07:8b:65:32,PLDTHOMEFIBR_DERF_plus,WPA2/WPA,1
d0:04:92:01:a5:e0,PLDTHOMEFIBR_DERF,WPA2/WPA,1
74:cc:39:ba:df:68,PLDTHOMEFIBRadf68,WPA2/WPA,3
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,WPA2/WPA,1
00:13:33:f7:a0:af,PLDTHOMEDSL,WPA2/WPA,6
5a:8b:f3:9c:cd:d8,PLDTOFFICE,WPA,7
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,WPA2/WPA,9
90:61:0c:1f:5c:75,PLDTHOMEDSL,WPA2/WPA,11
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,WPA2,11
00:13:33:c6:81:de,PLDTHOMEDSL_RUCKER,WPA2/WPA,11
00:13:33:e6:4a:91,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e4:2e:cb,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:db:0a:1f,PLDTHOMEDSL,WPA2/WPA,11
60:31:97:14:17:df,PLDTMyDSLBiz17DE0,WPA2/WPA,9
00:13:33:cc:2f:03,PLDTHOMEDSLMPBAC1214,WPA2/WPA,11
00:13:33:f5:8c:48,PLDTHOMEDSL,WPA2/WPA,6
94:46:96:0e:ba:04,PLDTHOMEDSL,WPA2/WPA,9
2c:dd:95:f4:0d:42,PLDTHOMEDSL40D42,WPA2/WPA,10
94:46:96:0f:83:6c,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:ea:58:2a,PLDTHOMEDSL,WPA2/WPA,11
cc:06:77:76:52:60,PLDTHOMEFIBR65260,WPA2/WPA,8
90:61:0c:40:a9:d2,PLDTHOMEDSL43474,WPA2/WPA,1
90:61:0c:2e:bf:c8,PLDTHOMEDSL49096,WPA2/WPA,1
94:46:96:1d:7c:34,PLDTHOMEDSLJYJY0,WPA2/WPA,5
00:13:33:c6:84:c2,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:3e:af:30,PLDTHOMEDSL44848,WPA2/WPA,1
