BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
9c:6f:52:35:04:03,Gazmen,WPA2/WPA,1,1.43276459802,-82,239,342.430738926,-19466
36:69:87:ab:fb:c6,Wifi,WPA2/WPA,1,1.46886197812,-86,276,405.405905962,-23556
cc:06:77:20:9f:30,WorkersUnion,WPA2/WPA,1,0.844139185291,-74,534,450.770324945,-39304
cc:06:77:20:b2:28,PLDTHOMEFIBR0b228,WPA2/WPA,1,1.23371379381,-80,397,489.784376144,-31664
28:ff:3e:3d:e9:b5,bayandslENRIQUEZ,WPA2/WPA,1,2.44536773031,-85,167,408.376410961,-14121
9e:ae:d3:f8:a8:f9,DIRECT-D3F828F9,WPA2,1,2.08940176127,-83,188,392.807531118,-15548
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,3.58515759044,-89,90,322.66418314,-7996
c0:21:0d:b2:43:a4,DashCamStealth_c0210db243a4,WPA2,2,1.03105411957,-83,134,138.161252022,-11106
00:23:69:38:79:a0,PLDTHOMEFIBR_268830,WPA2/WPA,6,0.667675622279,-71,617,411.955858946,-43438
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,6,1.20851010684,-82,338,408.476416111,-27379
bc:3a:ea:9a:cb:65,Tell My Wi-Fi Love Her,WPA2,6,1.8330285699,-86,191,350.10845685,-16387
c0:21:0d:a5:67:c9,Mitsubishi Wireless TV 603,OPN,36,1.37059398798,-80,65,89.0886092186,-5146
44:94:fc:7e:56:6c,NETGEAR62,WPA2,6,2.96704039448,-89,114,338.242604971,-10048
88:dc:96:2b:75:88,EnGenius1-2GMain,WPA2,6,7.74838093727,-89,63,488.147999048,-5584
cc:06:77:5c:cc:98,JL012074,WPA2/WPA,11,2.61239412177,-88,131,342.223629951,-11430
bc:c0:0f:d4:42:50,PLDTHOMEFIBR44250,WPA2/WPA,11,1.25984959984,-81,287,361.576835155,-23111
e4:77:23:a0:41:0c,UP Post Office,WPA2/WPA,13,20.9922586469,-73,17,356.868396997,-1230
f0:3e:90:01:cf:88,DILNET-WIFI,OPN,11,3.04275206843,-88,134,407.72877717,-11767
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,1,2.99837091095,-79,114,341.814283848,-8955
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,WPA2/WPA,1,0.993579479515,-77,488,484.866786003,-37480
74:cc:39:ca:37:f0,UPPFI,WPA2/WPA,6,2.04368272746,-81,213,435.304420948,-17175
74:91:1a:28:f8:78,DILNET-WIFI,OPN,6,3.07354943872,-86,139,427.223371983,-11818
00:21:27:ec:3b:18,JL012074C,WEP,6,9.76223072861,-91,33,322.153614044,-2973
78:4b:87:8b:39:ff,AndroidAP,WPA2,6,2.00994339585,-89,8,16.0795471668,-710
c0:25:e9:56:f6:f4,SausageHouseWiFi,WPA2/WPA,7,3.50996858516,-69,94,329.937047005,-6441
38:d8:2f:22:80:3c,bayanDSLWiFi_803C,WPA2/WPA,10,9.07563437053,-74,35,317.647202969,-2566
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,OPN,1,1.95278307005,-82,215,419.848360062,-17613
6e:5c:14:0f:84:20,MineNotYours😈,WPA2,2,12.4897401929,-76,32,399.671686172,-2406
f0:3e:90:01:cd:58,DILNET-WIFI,OPN,11,46.1168496013,-91,8,368.93479681,-722
24:79:2a:21:11:68,DILNET-WIFI,OPN,11,2.6990649337,-84,151,407.558804989,-12677
66:d1:54:2e:20:40,BAYANIHANETS,OPN,1,2.90506263252,-78,111,322.461952209,-8601
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,7,4.72654179493,-74,83,392.302968979,-6124
36:12:98:53:4f:9c,cc,WPA2,1,39.475625356,-85,6,236.853752136,-509
78:44:76:cb:c9:54,KALAYAAN-ADMIN,WPA2,11,4.85731513249,-85,76,369.155950069,-6397
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,1,1.79434633614,-80,199,357.074920893,-15891
24:79:2a:21:42:08,DILNET-WIFI,OPN,1,20.5754541499,-88,14,288.056358099,-1226
d0:04:92:01:1f:00,PLDTHOMEFIBR_011f00,WPA2/WPA,9,2.15046352148,-73,4,8.60185408592,-292
f0:8c:fb:80:34:48,PLDTHOMEFIBR_803448,WPA2/WPA,3,40.2435838381,-76,6,241.461503029,-454
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,WPA2/WPA,11,3.08865771742,-79,117,361.372952938,-9129
38:46:08:f3:26:50,bayan DSL,WPA,1,0.460812385266,-87,26,11.9811220169,-2260
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,WPA2/WPA,10,0.78506568762,-79,39,30.6175618172,-3051
cc:06:77:21:04:28,PLDTHOMEFIBR10428,WPA2/WPA,10,0.801290428638,-72,40,32.0516171455,-2851
cc:06:77:20:a2:68,PLDTHOMEFIBR0a268,WPA2/WPA,10,0.619800793497,-72,19,11.7762150764,-1364
28:10:7b:64:82:34,Web796ZB5591deeds,WPA2/WPA,1,0.493628049508,-79,39,19.2514939308,-3081
c0:56:27:41:2a:8f,JMT,WPA2/WPA,11,7.77462192682,-87,39,303.210255146,-3370
90:61:0c:0e:c2:d4,PLDTMyDSL+GadielBadiel,WPA2/WPA,11,11.9981149236,-89,12,143.977379084,-1061
18:a3:e8:1f:7f:28,GET YOUR OWN,WPA2/WPA,6,1.90170521396,-83,14,26.6238729954,-1152
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,WPA2/WPA,5,3.53649358557,-73,99,350.112864971,-7202
da:0f:99:8f:a8:ce,DIRECT-NX-BRAVIA,WPA2,6,0.657079001268,-88,12,7.88494801521,-1046
98:fc:11:c7:06:38,We have internet you dont,WEP,6,3.20757514589,-85,34,109.05755496,-2860
bc:98:89:12:af:10,PLDTHOMEFIBR_SOFIAMILES@UPD,WPA2,7,41.663372142,-83,7,291.643604994,-575
9c:6f:52:35:0d:3e,bayanDSLWIFI_0D3E,WPA2/WPA,11,1.44996676525,-79,238,345.09209013,-18705
08:10:73:60:f2:a8,DeVera_RTR,WPA2/WPA,1,1.03227234848,-77,124,128.001771212,-9499
bc:c0:0f:20:2e:e8,,WPA2/WPA,7,1.77099604187,-70,193,341.80223608,-13363
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,11,3.24505337697,-86,103,334.240497828,-8846
00:13:33:d9:60:52,PLDTHOMEDSL_SANDOVAL,WPA2/WPA,11,1.31658328178,-76,259,340.995069981,-19510
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1,13.197148037,-86,25,329.928700924,-2147
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,6,1.6499204874,-73,80,131.993638992,-5814
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,WPA2/WPA,6,0.746782611056,-74,41,30.6180870533,-3002
9c:a9:e4:93:6d:1d,SWAGGY,WPA2/WPA,11,3.74865099018,-85,89,333.629938126,-7488
6c:19:8f:c3:ad:2c,searching....,WPA2/WPA,9,2.00964352489,-72,8,16.0771481991,-571
4c:09:b4:a2:49:a1,bayanDSL,WPA,2,2.62828660011,-85,3,7.88485980034,-253
00:90:0e:06:71:10,WitTEA WiFi Vendo,OPN,6,2.64060928001,-78,122,322.154332161,-9516
00:26:75:b7:9c:46,shinigami,WPA2/WPA,1,11.2203094363,-87,28,314.168664217,-2415
cc:06:77:6f:f3:c0,prego,WPA2/WPA,3,24.1193334506,-75,13,313.551334858,-964
