Common,109
BSSID,SSID,Encryption,Channel
36:69:87:ab:fb:c6,Wifi,WPA2/WPA,1
cc:06:77:20:9f:30,WorkersUnion,WPA2/WPA,1
cc:06:77:20:b2:28,PLDTHOMEFIBR0b228,WPA2/WPA,1
28:ff:3e:3d:e9:b5,bayandslENRIQUEZ,WPA2/WPA,1
9e:ae:d3:f8:a8:f9,DIRECT-D3F828F9,WPA2,1
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1
00:23:69:38:79:a0,PLDTHOMEFIBR_268830,WPA2/WPA,6
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,6
bc:3a:ea:9a:cb:65,Tell My Wi-Fi Love Her,WPA2,6
44:94:fc:7e:56:6c,NETGEAR62,WPA2,6
88:dc:96:2b:75:88,EnGenius1-2GMain,WPA2,6
cc:06:77:5c:cc:98,JL012074,WPA2/WPA,11
bc:c0:0f:d4:42:50,PLDTHOMEFIBR44250,WPA2/WPA,11
e4:77:23:a0:41:0c,UP Post Office,WPA2/WPA,13
f0:3e:90:01:cf:88,DILNET-WIFI,OPN,11
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,1
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,WPA2/WPA,1
74:cc:39:ca:37:f0,UPPFI,WPA2/WPA,6
74:91:1a:28:f8:78,DILNET-WIFI,OPN,6
c0:25:e9:56:f6:f4,SausageHouseWiFi,WPA2/WPA,7
38:d8:2f:22:80:3c,bayanDSLWiFi_803C,WPA2/WPA,10
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,OPN,1
f0:3e:90:01:cd:58,DILNET-WIFI,OPN,11
24:79:2a:21:11:68,DILNET-WIFI,OPN,11
66:d1:54:2e:20:40,BAYANIHANETS,OPN,1
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,7
36:12:98:53:4f:9c,cc,WPA2,1
78:44:76:cb:c9:54,KALAYAAN-ADMIN,WPA2,11
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,1
24:79:2a:21:42:08,DILNET-WIFI,OPN,1
d0:04:92:01:1f:00,PLDTHOMEFIBR_011f00,WPA2/WPA,9
f0:8c:fb:80:34:48,PLDTHOMEFIBR_803448,WPA2/WPA,3
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,WPA2/WPA,11
38:46:08:f3:26:50,bayan DSL,WPA,1
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,WPA2/WPA,10
cc:06:77:21:04:28,PLDTHOMEFIBR10428,WPA2/WPA,10
cc:06:77:20:a2:68,PLDTHOMEFIBR0a268,WPA2/WPA,10
28:10:7b:64:82:34,Web796ZB5591deeds,WPA2/WPA,1
c0:56:27:41:2a:8f,JMT,WPA2/WPA,11
90:61:0c:0e:c2:d4,PLDTMyDSL+GadielBadiel,WPA2/WPA,11
18:a3:e8:1f:7f:28,GET YOUR OWN,WPA2/WPA,6
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,WPA2/WPA,5
98:fc:11:c7:06:38,We have internet you dont,WEP,6
bc:98:89:12:af:10,PLDTHOMEFIBR_SOFIAMILES@UPD,WPA2,7
9c:6f:52:35:0d:3e,bayanDSLWIFI_0D3E,WPA2/WPA,11
08:10:73:60:f2:a8,DeVera_RTR,WPA2/WPA,1
bc:c0:0f:20:2e:e8,,WPA2/WPA,7
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,11
00:13:33:d9:60:52,PLDTHOMEDSL_SANDOVAL,WPA2/WPA,11
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,6
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,WPA2/WPA,6
9c:a9:e4:93:6d:1d,SWAGGY,WPA2/WPA,11
6c:19:8f:c3:ad:2c,searching....,WPA2/WPA,9
00:90:0e:06:71:10,WitTEA WiFi Vendo,OPN,6
00:26:75:b7:9c:46,shinigami,WPA2/WPA,1
cc:06:77:6f:f3:c0,prego,WPA2/WPA,3
00:21:29:c8:e2:1c,ERP,WPA2,6
74:cc:39:ba:cb:88,PLDTHOMEFIBRacb88,WPA2/WPA,7
74:cc:39:30:f4:f8,PLDTHOMEFIBR_30f4f8,WPA2/WPA,10
cc:06:77:70:7d:00,PLDTHOMEFIBR07d00,WPA2/WPA,7
cc:06:77:5f:1d:98,Happy Pop,WPA2/WPA,2
94:a7:b7:26:6f:7e,bayanDSLWIFI_6F7E,WPA2/WPA,1
e0:8e:3c:1a:c4:9b,UPCubao,WPA2/WPA,1
74:cc:39:ba:dd:78,PLDTHOMEFIBRadd78,WPA2/WPA,1
cc:06:77:6f:33:c0,KiwiGreen,WPA2/WPA,11
d0:04:92:01:a5:e0,PLDTHOMEFIBR_DERF,WPA2/WPA,1
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,WPA2/WPA,1
fc:2d:5e:b2:5a:df,Andrian,WPA2/WPA,11
cc:06:77:6f:ed:d8,PLDTHOMEFIBRfedd8,WPA2/WPA,5
b4:30:52:0d:60:13,Vrow,WPA2,11
bc:98:89:9d:4b:70,PLDTHOMEFIBR_DEVERA,WPA2/WPA,12
00:13:33:e6:06:3f,PLDTHOMEDSL,WPA2/WPA,11
bc:c0:0f:bf:4e:e8,PLDTHOMEFIBRf4ee8,WPA2/WPA,6
60:31:97:13:7b:67,PLDTMyDSLBizkevs,WPA2/WPA,7
88:d2:74:86:b4:46,bayanDSLWIFI_B446,WPA2/WPA,5
48:f8:b3:50:77:91,laura,WPA2,1
00:16:b6:0b:0d:d7,Home Network,WPA,6
74:cc:39:ba:df:68,PLDTHOMEFIBRadf68,WPA2/WPA,10
bc:c0:0f:c8:6c:58,g6fiber,WPA2/WPA,5
8e:57:9b:0f:02:14,DIRECT-U0-BRAVIA,WPA2,11
b4:75:0e:cc:84:ce,Guevara,WPA2/WPA,1
74:cc:39:bb:02:c8,TRINIDAD.TRINIDAD,WPA2,3
00:26:75:b7:c0:a9,amber_wifi,WPA2/WPA,10
a4:7e:39:ad:ec:e4,sherlock,WPA2/WPA,1
1c:8e:5c:3f:c0:f8,B593_FC0F8,WPA2/WPA,2
9c:6f:52:35:16:32,YoMommaSoUgly,WPA2/WPA,2
74:cc:39:ba:dc:c0,PLDTHOMEFIBRadcc0,WPA2/WPA,9
88:d2:74:86:a8:aa,bayanDSLWIFI_A8AA,WPA2/WPA,2
bc:c0:0f:c8:e0:70,PLDTHOMEFIBR8e070,WPA2/WPA,10
74:cc:39:8b:b8:08,PLDTHOMEFIBRbb808,WPA2/WPA,5
24:79:2a:2e:d3:e8,DILNET-WIFI,OPN,6
74:91:1a:20:78:e8,DILNET-WIFI,OPN,6
f0:3e:90:01:c9:b8,DILNET-WIFI,OPN,11
e6:8d:8c:d8:a9:31,#SmartWifiTest @UPDKalay,OPN,6
e4:8d:8c:d8:a9:30,,OPN,6
e6:8d:8c:d8:a9:30,_UP,OPN,6
1c:b9:c4:21:d0:e8,#SmartWifi @UPDiliman,OPN,11
74:91:1a:20:66:68,DILNET-WIFI,OPN,6
94:a7:b7:3d:06:dd,TFSWM-UPD,WPA2/WPA,1
5c:f2:86:23:99:db,pamela,WPA2/WPA,7
74:cc:39:30:b4:60,PLDTHOMEFIBR_30b460,WPA2,11
90:61:0c:13:6d:b4,AMH_RM304,WPA2,11
00:23:69:f9:ac:16,CIDS1,WPA2/WPA,11
c8:d7:19:33:cc:af,AMH-RM205,WPA2/WPA,1
e0:8e:3c:1b:6d:7f,art circle gallery,WPA2/WPA,1
60:31:97:dc:e5:74,PLDTBIZ-CKC,WPA2/WPA,7
7c:e9:d3:af:7d:f2,HP-Print-F2-LaserJet 1102,OPN,11
2a:56:5a:49:dc:5b,DIRECT-5b-HP M102 LaserJet,WPA2,11
1611,37
BSSID,SSID,Encryption,Channel
c0:21:0d:b2:43:a4,DashCamStealth_c0210db243a4,WPA2,2
c0:21:0d:a5:67:c9,Mitsubishi Wireless TV 603,OPN,36
00:21:27:ec:3b:18,JL012074C,WEP,6
78:4b:87:8b:39:ff,AndroidAP,WPA2,6
6e:5c:14:0f:84:20,MineNotYours😈,WPA2,2
da:0f:99:8f:a8:ce,DIRECT-NX-BRAVIA,WPA2,6
4c:09:b4:a2:49:a1,bayanDSL,WPA,2
6e:70:9f:6b:ec:aa,iPad,WPA2,1
58:70:c6:f5:e5:f5,YICarCam_f5e5f5,WPA2,6
94:a7:b7:26:6c:99,Garcia's Empire,WPA2/WPA,6
1c:8e:5c:d6:76:be,,WPA2/WPA,1
bc:c0:0f:d2:b8:00,PLDTHOMEFIBR2b800,WPA2/WPA,1
74:cc:39:ca:a1:00,Kylee's Fibr Wifi,WPA2/WPA,6
00:26:b4:bb:1d:8f,SYNC_XU5NKMCC,WPA2,1
9c:c1:72:5b:20:31,HUAWEI-E5330-2031,WPA2,2
74:cc:39:bc:02:d0,PLDTHOMEFIBRc02d0,WPA2/WPA,6
74:91:1a:20:36:28,DILNET-WIFI,OPN,1
34:8f:27:11:d2:38,DILNET-WIFI,OPN,11
