BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,WPA2/WPA,1,0.301086439,-76,1189,357.991776,-90035
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1,0.438653825,-88,148,64.92076612,-12993
3c:46:d8:38:e6:fd,TP-LINK_M7350_38E6FD,WPA2/WPA,1,0.340949005,-76,1050,357.996455,-78891
22:f4:b9:dc:da:fc,iPhone,WPA2,1,8.179885336,-90,42,343.5551841,-3751
f8:23:b2:ed:68:e4,HUAWEI-68E4,WPA2,1,0.797976903,-89,53,42.29277587,-4695
e0:8e:3c:1b:6d:7f,art circle gallery,WPA2/WPA,1,0.534262305,-90,23,12.28803301,-2060
dc:d9:16:3f:04:f1,HUAWEI-04F1,WPA2,1,15.78373451,-91,22,347.2421591,-1989
e4:6f:13:60:5c:4a,PLDTHOMEDSL3Fb,WPA2/WPA,1,0.767759502,-92,4,3.071038008,-365
00:22:3f:d1:3b:4c,CKC-Office,WPA,1,0.225282733,-91,15,3.37924099,-1364
78:44:76:5a:46:e7,Highspped,WPA2,1,0.409590642,-90,3,1.228771925,-269
00:26:75:b7:9c:46,shinigami,WPA2/WPA,1,0.827332341,-84,391,323.4869452,-32741
74:91:1a:23:56:d8,_WiFi@UPD,OPN,1,100.9783143,-91,3,302.934943,-272
74:91:1a:63:56:d8,DILNET-WIFI,OPN,1,-1,-91,1,0,-91
24:db:ac:1b:58:b7,Banana Shake,WPA2/WPA,1,-1,-92,1,0,-92
4c:09:b4:a2:49:a1,bayanDSL,WPA,1,0.25310751,-88,106,26.82939601,-9234
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,1,0.215832564,-70,557,120.2187381,-38986
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,1,1.205441611,-76,206,248.320972,-15631
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,2,0.296966445,-76,20,5.939328909,-1502
08:df:1f:1b:c3:d9,Bose SoundTouch Wi-Fi Network,OPN,1,2.091599617,-89,47,98.30518198,-4182
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,3,3.247618267,-68,7,22.73332787,-476
70:9f:2d:a1:25:74,bayanDSLWiFi_2574,WPA2/WPA,1,0.749127212,-79,19,14.23341703,-1491
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,3,1.762834276,-75,14,24.67967987,-1038
66:d1:54:2e:20:40,BAYANIHANETS,OPN,3,2.069368601,-72,5,10.346843,-356
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,WPA2/WPA,1,0.543031725,-75,66,35.84009385,-4943
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,3,2.723546791,-72,5,13.61773396,-359
9c:a9:e4:93:5f:a5,Sun Wi-Fi_935FA4,WPA2/WPA,1,0.53639122,-84,63,33.79264688,-5274
22:a9:0e:93:96:25,BePy-YW50b25pb2xtLm1lZGluYQ,WPA2,1,5.959729004,-91,5,29.79864502,-452
38:46:08:f3:26:50,bayan DSL,WPA,1,0.246319919,-85,74,18.22767401,-6241
38:d8:2f:22:80:3c,bayanDSLWiFi_803C,WPA2/WPA,1,0.192126184,-76,412,79.15598798,-31253
8c:1a:bf:6e:00:62,AndroidAP,WPA2,1,1.792017525,-90,40,71.68070102,-3573
24:79:2a:21:42:08,DILNET-WIFI,OPN,1,0.528177142,-88,6,3.169062853,-527
ec:f3:42:0e:6b:a5,Pop3+,WPA2,1,1.691837653,-89,23,38.91226602,-2044
9c:6f:52:35:04:03,Gazmen,WPA2/WPA,1,0.242847597,-72,288,69.94010806,-20724
1c:8e:5c:3f:c0:f8,B593_FC0F8,WPA2/WPA,1,0.353330807,-73,202,71.372823,-14732
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,0.987948015,-88,71,70.14430904,-6224
bc:c0:0f:c8:6c:58,g6fiber,WPA2/WPA,1,0.253687985,-72,465,117.9649131,-33197
00:26:75:fa:16:2e,bayanDSLWiFi_162E,WPA2/WPA,1,1.177588834,-88,18,21.19659901,-1573
9c:6f:52:35:16:32,YoMommaSoFat,WPA2/WPA,2,0.505981603,-69,68,34.40674901,-4665
b4:75:0e:cc:84:ce,Guevara,WPA2/WPA,1,0.200008727,-79,321,64.20280123,-25295
88:d2:74:86:cd:09,bayanDSLWIFI_CD09,WPA2/WPA,1,0.785061359,-88,3,2.355184078,-263
c0:4a:00:4a:46:44,Fonseca_WIFI,WPA2,1,0.22643579,-83,161,36.45616221,-13223
88:d2:74:86:b7:75,bayanDSLWIFI_B775,WPA2/WPA,1,0.320522341,-80,123,39.42424798,-9807
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,WPA2/WPA,1,1.048716627,-73,29,30.41278219,-2107
28:6c:07:8b:65:32,PLDTHOMEFIBR_DERF_plus,WPA2/WPA,1,0.212172864,-82,264,56.01363611,-21474
d0:04:92:01:a5:e0,PLDTHOMEFIBR_DERF,WPA2/WPA,1,0.251444884,-74,292,73.42190599,-21520
e0:8e:3c:21:f7:17,bayanDSLWIFI_F717,WPA2/WPA,1,0.280329919,-83,282,79.05303717,-23396
74:cc:39:ba:df:68,PLDTHOMEFIBRadf68,WPA2/WPA,3,0.76799798,-79,2,1.53599596,-158
c8:b3:73:10:57:b5,caloytheman,WPA2/WPA,1,0.83664049,-90,47,39.32210302,-4217
e0:8e:3c:1a:c4:9b,UPCubao,WPA2/WPA,1,0.170426723,-79,426,72.60178399,-33378
08:10:73:60:f2:a8,DeVera_RTR,WPA2/WPA,5,-1,-86,1,0,-86
94:a7:b7:26:6c:99,Garcia's Empire,WPA2/WPA,2,-1,-87,1,0,-87
