BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
20:08:ed:32:db:da,...,WPA2,2,3.1486176731,-80,254,799.748888969,-20261
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,OPN,1,0.5339786548,-82,1196,638.638471127,-97935
7a:40:4e:44:84:ef,Always’s iPhone,WPA2,1,0.1657934692,-89,294,48.7432799339,-25970
00:26:75:b7:c0:a9,amber_wifi,WPA,3,-1,-79,1,0,-79
e0:8e:3c:1b:6d:7f,art circle gallery,WPA2/WPA,1,0.2528780337,-87,1246,315.086030006,-107539
1c:8e:5c:3f:c0:f8,B593_FC0F8,WPA2/WPA,1,0.2053401596,-83,758,155.647840977,-62747
38:46:08:f3:26:50,bayan DSL,WPA,1,0.2128587412,-87,89,18.9444279671,-7734
4c:09:b4:a2:49:a1,bayanDSL,WPA,1,0.731626962,-88,159,116.328686953,-13883
54:22:f8:f1:09:7c,bayanDSL,WPA,1,0.4954042177,-79,37,18.3299560547,-2893
00:26:75:fa:16:2e,bayanDSLWiFi_162E,WPA2/WPA,1,0.5183028576,-89,211,109.361902952,-18585
70:9f:2d:a1:25:74,bayanDSLWiFi_2574,WPA2/WPA,1,0.1894412398,-83,100,18.9441239834,-8201
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,1,1.1074711502,-78,400,442.988460064,-30843
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,0.9235350306,-88,159,146.842069864,-13911
88:d2:74:86:a8:aa,bayanDSLWIFI_A8AA,WPA2/WPA,1,0.1617032281,-84,929,150.222298861,-77191
88:d2:74:86:d4:a0,bayanDSLWIFI_D4A0,WPA2/WPA,1,7.3012187004,-88,10,73.0121870041,-880
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,WPA2/WPA,1,1.6700068442,-79,282,470.941930056,-22253
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1,0.2913906673,-85,1542,449.324409008,-130866
e0:8e:3c:21:f7:17,bayanDSLWIFI_F717,WPA2/WPA,2,0.6606040001,-81,82,54.1695280075,-6595
66:d1:54:2e:20:40,BAYANIHANETS,OPN,1,0.7965921328,-76,181,144.183176041,-13643
08:86:3b:32:0d:02,belkin.d02,WPA2/WPA,1,1.5862162347,-88,51,80.8970279694,-4468
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,1,0.3701235246,-76,402,148.789656878,-30266
c8:b3:73:10:57:b5,caloytheman,WPA2/WPA,1,0.5888017416,-90,4,2.3552069664,-359
00:22:3f:d1:3b:4c,CKC-Office,WPA,1,2.5280378163,-88,16,40.4486050606,-1403
ee:08:e0:40:0e:7a,Diego,WPA2,1,1.828683133,-87,338,618.094898939,-29309
24:79:2a:21:11:68,DILNET-WIFI,OPN,1,1.0313905494,-87,657,677.623590946,-56553
74:91:1a:20:66:68,DILNET-WIFI,OPN,1,0.4391754367,-87,323,141.853666067,-28011
74:91:1a:28:f8:78,DILNET-WIFI,OPN,1,0.2391564089,-85,611,146.12456584,-51659
24:79:2a:21:42:08,DILNET-WIFI,WPA2,1,22.4259597269,-88,29,650.352832079,-2552
f0:3e:90:01:c9:b8,DILNET-WIFI,OPN,1,1.1760719401,-88,33,38.8103740215,-2896
e8:1d:a8:1f:75:58,DILNET-WIFI,OPN,1,-1,-88,1,0,-88
f0:3e:90:01:cd:58,DILNET-WIFI,OPN,1,2.5716637265,-89,11,28.2883009911,-971
bc:c0:0f:c8:6c:58,g6fiber,WPA2/WPA,1,0.3089219454,-80,655,202.343874216,-51843
b4:75:0e:cc:84:ce,Guevara,WPA2/WPA,1,0.2628504714,-81,157,41.267524004,-12653
cc:06:77:21:04:28,Houseofgonz1,WPA2/WPA,1,1.5430732075,-81,87,134.247369051,-7037
36:69:87:dd:1e:a2,ISIP-SAFE SMART,WPA2/WPA,1,0.6114458969,-86,242,147.969907045,-20685
c4:07:2f:95:2e:8d,LAN of the free,WPA2,1,0.2300085823,-88,12,2.7601029873,-1055
48:f8:b3:50:77:91,laura,WPA2,1,0.3203308705,-85,78,24.9858078957,-6620
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),WPA2,2,1.343750489,-85,98,131.687547922,-8242
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,3,1.550179276,-76,29,44.9551990032,-2198
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,3,5.2566000621,-73,3,15.7698001862,-218
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,1,0.6055951868,-81,1151,697.040060043,-92575
18:a3:e8:1f:5a:09,PLDTHOMEFIBRa08,WPA2,3,-1,-87,1,0,-87
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,2,5.6444648792,-80,58,327.378962994,-4592
8e:79:67:5a:40:90,PraymLee,WPA2/WPA,1,0.8396911144,-88,10,8.3969111443,-871
cc:06:77:6f:f3:c0,prego,WPA2/WPA,9,0.8415772274,-89,119,100.147690058,-10543
00:26:75:b7:9c:46,shinigami,WPA,1,1.1178339592,-87,513,573.448821068,-44461
36:69:87:a1:bc:c4,Smart Bro_A1BCC4,WPA2/WPA,1,0.4440098095,-88,125,55.5012261868,-10892
e0:8e:3c:1a:c4:9b,UPCubao,WPA2/WPA,1,0.155670706,-83,544,84.6848640442,-44693
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,WPA2/WPA,1,1.6250111039,-83,260,422.502887011,-21489
9c:6f:52:35:16:32,YoMommaSoFat,WPA2/WPA,2,0.9200801494,-75,134,123.290740013,-10039
76:4a:a4:d6:96:59,ZTE-MF65M-9659,WPA2,1,8.7553352118,-88,4,35.021340847,-350
0c:d6:bd:f5:5b:95,,WPA2/WPA,1,0.1634379407,-75,458,74.8545768261,-34297
e0:8e:3c:1a:a2:e7,,WPA2/WPA,2,4.4546244144,-87,2,8.9092488289,-173
