BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
36:69:87:06:8b:de,Smart Bro1220_8888,WPA2,1,0.888959497645,-80,207,184.014616013,-16389
e0:8e:3c:1a:c4:9b,UPCubao,WPA2/WPA,1,0.701525130983,-81,543,380.928146124,-43945
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,1,0.788856824704,-79,513,404.683551073,-40287
e0:8e:3c:21:f7:17,bayanDSLWIFI_F717,WPA2/WPA,2,3.61110317707,-81,102,368.332524061,-8193
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,WPA2/WPA,1,0.895001935236,-81,462,413.490894079,-37160
7a:40:4e:44:84:ef,Always’s iPhone,WPA2,1,2.69279206064,-86,135,363.526928186,-11578
00:26:75:b7:9c:46,shinigami,WPA,1,0.596422066067,-87,575,342.942687988,-49693
e0:8e:3c:1b:6d:7f,art circle gallery,WPA2/WPA,1,0.937867518032,-88,340,318.874956131,-29599
cc:06:77:6f:f3:c0,prego,WPA2/WPA,9,19.435613807,-87,15,291.534207106,-1302
4c:09:b4:a2:49:a1,bayanDSL,WPA,1,0.212783414048,-87,77,16.3843228817,-6666
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1,0.347081371137,-84,706,245.039448023,-58673
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,1,0.179367427908,-77,467,83.7645888329,-35903
cc:06:77:21:04:28,Houseofgonz1,WPA2/WPA,1,0.18640407142,-79,295,54.9892010689,-23057
66:d1:54:2e:20:40,BAYANIHANETS,OPN,1,0.552047997914,-77,445,245.661359072,-33885
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,1,0.625920580789,-76,649,406.222456932,-48928
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,2,2.87035530264,-81,66,189.443449974,-5326
70:9f:2d:a1:25:74,bayanDSLWiFi_2574,WPA2/WPA,1,0.208104202824,-82,93,19.3536908627,-7578
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,WPA2/WPA,1,0.609151234994,-84,234,142.541388988,-19517
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,3,1.19951072761,-76,14,16.7931501865,-1064
38:46:08:f3:26:50,bayan DSL,WPA,1,0.188315745127,-87,118,22.221257925,-10183
24:79:2a:21:11:68,DILNET-WIFI,OPN,1,0.658050152671,-84,498,327.70897603,-41607
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,OPN,1,0.508521201441,-83,646,328.504696131,-53493
24:79:2a:21:42:08,DILNET-WIFI,OPN,1,0.768011376262,-88,32,24.5763640404,-2803
24:1f:a0:f2:c4:7e,HUAWEI-E5330-C47E,WPA2,1,0.143988935427,-79,261,37.5811121464,-20601
36:69:87:c0:94:61,ZTE-MF65M-9461,WPA2,1,1.561591506,-91,4,6.24636602402,-364
e0:8e:3c:1a:d1:0b,bayanDSLWIFI_D10B,WPA2/WPA,1,1.4079362452,-88,8,11.2634899616,-700
36:69:87:dd:1e:a2,ISIP-SAFE SMART,WPA2/WPA,1,0.435150146484,-89,7,3.04605102539,-619
f0:3e:90:01:cd:58,DILNET-WIFI,OPN,1,1.87566678091,-89,22,41.2646691799,-1941
74:91:1a:28:f8:78,DILNET-WIFI,OPN,1,0.208218333215,-84,330,68.7120499611,-27602
74:91:1a:20:66:68,DILNET-WIFI,OPN,1,0.337862197001,-87,157,53.0443649292,-13615
f0:3e:90:01:c9:b8,DILNET-WIFI,OPN,1,0.409607295637,-88,27,11.0593969822,-2375
e8:1d:a8:1f:75:58,DILNET-WIFI,OPN,1,1.57234239578,-88,15,23.5851359367,-1315
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),WPA2,2,0.409609540304,-84,15,6.14414310455,-1251
08:86:3b:32:0d:02,belkin.d02,WPA2/WPA,1,0.455119768778,-89,9,4.09607791901,-796
bc:c0:0f:c8:6c:58,g6fiber,WPA2/WPA,1,0.196753205663,-78,598,117.658416986,-46179
1c:8e:5c:3f:c0:f8,B593_FC0F8,WPA2/WPA,1,0.275038776685,-80,398,109.465433121,-31465
48:f8:b3:50:77:91,laura,WPA2,1,0.401457897641,-86,88,35.3282949924,-7494
74:cc:39:ba:de:e0,PLDTHOMEFIBRadee0,WPA2/WPA,3,0.459260940552,-79,2,0.918521881104,-158
b4:75:0e:cc:84:ce,Guevara,WPA2/WPA,1,0.243259783784,-80,221,53.7604122162,-17602
e0:8e:3c:1a:a2:e7,,WPA2/WPA,2,-1,-85,1,0,-85
c8:b3:73:10:57:b5,caloytheman,WPA2/WPA,1,-1,-86,1,0,-86
54:22:f8:f1:09:7c,bayanDSL,WPA,1,0.337821596677,-84,97,32.7686948776,-8129
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,3.76316507657,-88,12,45.1579809189,-1048
9c:6f:52:35:16:32,YoMommaSoFat,WPA2/WPA,2,0.232827589386,-73,190,44.2372419834,-13719
88:d2:74:86:a8:aa,bayanDSLWIFI_A8AA,WPA2/WPA,1,0.14604738827,-79,366,53.4533441067,-28893
00:26:75:fa:16:2e,bayanDSLWiFi_162E,WPA2/WPA,1,0.739544934697,-90,18,13.3118088245,-1607
88:d2:74:86:d4:a0,bayanDSLWIFI_D4A0,WPA2/WPA,1,3.8912396431,-87,3,11.6737189293,-261
8c:34:fd:42:2e:4f,Globe Tattoo,WPA2,1,-1,-87,1,0,-87
