BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
b4:75:0e:cc:84:ce,Guevara,WPA2/WPA,1,0.630558842,-87,19,11.980618,-1647
bc:c0:0f:c8:6c:58,g6fiber,WPA2/WPA,1,0.196924633,-73,117,23.04018211,-8446
9c:6f:52:35:04:03,Gazmen,WPA2/WPA,1,0.194964961,-72,229,44.64697599,-16399
1c:8e:5c:3f:c0:f8,B593_FC0F8,WPA2/WPA,1,0.273708258,-69,159,43.51961303,-10950
9c:6f:52:35:16:32,YoMommaSoFat,WPA2/WPA,2,0.239598341,-69,103,24.67862916,-7093
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,1.061466514,-87,41,43.52012706,-3538
38:d8:2f:22:80:3c,bayanDSLWiFi_803C,WPA2/WPA,1,1.173554417,-80,278,326.2481279,-22233
88:d2:74:86:a8:aa,bayanDSLWIFI_A8AA,WPA2/WPA,3,0.983046198,-71,5,4.915230989,-351
4c:81:20:92:43:be,PLDTHOMEDSLALLUPWorkersUnion,WPA2/WPA,1,0.272260611,-75,1096,298.39763,-81190
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,1,0.717355621,-69,372,266.8562911,-25484
24:79:2a:21:41:f8,DILNET-WIFI,OPN,1,0.398332437,-87,9,3.584991932,-779
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,OPN,1,0.705616678,-80,375,264.6062541,-29788
24:79:2a:21:42:08,DILNET-WIFI,OPN,1,20.91552242,-88,12,250.986269,-1051
aa:a6:68:68:98:c6,Smart Bro_6898C6,WPA2/WPA,1,0.579126972,-82,325,188.2162659,-26540
38:46:08:f3:26:50,bayan DSL,WPA,1,0.384009099,-85,20,7.68018198,-1690
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,3,4.198457003,-81,9,37.78611302,-723
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,3,1.668100459,-73,7,11.67670321,-511
66:d1:54:2e:20:40,BAYANIHANETS,OPN,3,3.584958712,-72,3,10.75487614,-216
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,3,-1,-76,1,0,-76
70:9f:2d:a1:25:74,bayanDSLWiFi_2574,WPA2/WPA,1,0.234733662,-81,65,15.25768805,-5237
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1,0.241923007,-81,593,143.4603429,-47898
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,1,0.477867365,-93,3,1.433602095,-277
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,WPA2/WPA,1,-1,-89,1,0,-89
4c:09:b4:a2:49:a1,bayanDSL,WPA,1,0.940231052,-87,22,20.68508315,-1912
00:26:75:b7:9c:46,shinigami,WPA2/WPA,1,0.18699382,-86,161,30.10600495,-13769
e0:8e:3c:1b:6d:7f,art circle gallery,WPA2/WPA,1,0.189632965,-85,337,63.90630913,-28517
64:a6:51:07:a0:1e,HUAWEI-E5330-A01E,WPA2,1,1.249287248,-89,20,24.98574495,-1776
08:86:3b:32:0d:02,belkin.d02,WPA2/WPA,1,3.251233757,-90,4,13.00493503,-358
74:91:1a:20:66:68,DILNET-WIFI,OPN,1,14.87410927,-89,4,59.49643707,-353
e8:1d:a8:1f:75:78,DILNET-WIFI,OPN,1,1.275751213,-87,24,30.61802912,-2075
a6:89:ad:8f:f3:b1,Nym-phette,WPA2,1,0.483464773,-88,61,29.49135113,-5323
