BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation,,
2c:e6:cc:18:88:68,dcs faculty,WPA2,1,1.820117959,-51,3081,5607.783431,-156905,,
2c:e6:cc:58:88:68,sclwifi,WPA2,1,1.751337748,-52,3202,5607.78347,-163356,,
2c:e6:cc:98:88:68,dcs vip wifi,WPA2,1,1.777990957,-51,3154,5607.783477,-160763,,
2c:e6:cc:d8:88:68,s3wifi,WPA2,1,1.77125188,-52,3166,5607.783452,-161851,,
2c:e6:cc:18:88:69,ndsgwifi,WPA2,1,1.81071471,-51,3097,5607.783458,-157762,,#NAME?
2c:e6:cc:58:88:69,dcs faculty 5GHz,WPA2,1,1.84163659,-51,3045,5607.783418,-154910,,
2c:e6:cc:98:88:69,wsgwifi,WPA2,1,1.803725792,-51,3109,5607.783488,-158028,,
2c:e6:cc:d8:88:69,bayanihan,WPA2,1,1.807796106,-52,3102,5607.783521,-159579,,
2c:e6:cc:d8:8e:88,s3wifi,WPA2,1,10.21308551,-81,549,5606.983946,-44171,,
2c:e6:cc:18:88:6a,cvmigwifi,WPA2,1,1.77125155,-51,3166,5607.782406,-161408,,
2c:e6:cc:58:88:6a,Bayanihan@DCS,OPN,1,1.831378129,-51,3062,5607.67983,-155513,,
2c:e6:cc:98:88:6a,dcs infrastructure,WPA2,1,1.813642394,-51,3092,5607.782283,-156598,,
2c:e6:cc:d8:88:6a,dcs network,WPA2,1,1.791051515,-51,3131,5607.782292,-158686,,
2c:e6:cc:98:8e:8a,dcs infrastructure,WPA2,1,3.864771494,-81,1451,5607.783438,-116688,,
2c:e6:cc:d8:8e:8a,dcs network,WPA2,1,3.597038398,-81,1559,5607.782862,-125324,,
2c:e6:cc:58:8e:89,dcs faculty 5GHz,WPA2,1,9.267706468,-81,605,5606.962413,-48752,,
2c:e6:cc:18:8e:88,dcs faculty,WPA2,1,10.4217502,-81,538,5606.901605,-43322,,
2c:e6:cc:58:8e:88,sclwifi,WPA2,1,8.733487175,-81,642,5606.898766,-51638,,
2c:e6:cc:98:8e:88,dcs vip wifi,WPA2,1,11.25848086,-81,498,5606.723466,-40133,,
2c:e6:cc:58:8e:8a,Bayanihan@DCS,OPN,1,4.048793768,-81,1385,5607.579369,-111387,,
2c:e6:cc:98:8e:89,wsgwifi,WPA2,1,7.830774962,-81,716,5606.834873,-57683,,
8e:cd:e8:37:e2:0a,Nintendo_3DS_continuous_scan_000,OPN,1,9.520361811,-68,589,5607.493107,-39696,,
74:29:af:ea:b5:2b,,OPN,1,89.00563408,-47,63,5607.354947,-2917,,
