WigleWifi-1.4,appRelease=2.25,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
4c:81:20:92:43:be,PLDTHOMEDSLALLUPWorkersUnion,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:04,1,-71,14.65916698,121.0685424,126,6.06799984,WIFI
00:23:69:38:79:a0,PLDTHOMEFIBR_268830,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:04,6,-82,14.65916698,121.0685424,126,6.06799984,WIFI
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:04,52,-86,14.65916698,121.0685424,126,6.06799984,WIFI
6c:3b:6b:cc:aa:cf,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:04,52,-88,14.65916698,121.0685424,126,6.06799984,WIFI
f0:8c:fb:80:34:48,PLDTHOMEFIBR_803448,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:04,9,-88,14.65916698,121.0685424,126,6.06799984,WIFI
d0:04:92:01:1f:00,PLDTHOMEFIBR_011f00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:04,9,-87,14.65916698,121.0685424,126,6.06799984,WIFI
74:4a:a4:a8:49:ec,Henriel,[WPA2-PSK-CCMP][ESS],10/28/2017 13:04,11,-89,14.65916698,121.0685424,126,6.06799984,WIFI
14:9a:10:f9:3a:6e,ewwww,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:04,11,-78,14.65916698,121.0685424,126,6.06799984,WIFI
24:79:2a:21:35:1c,DILNET-WIFI,[ESS],10/28/2017 13:04,58,-89,14.65916698,121.0685424,126,6.06799984,WIFI
