Total APs,2277
PLDT,299
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-30 11:57:33,2018-04-24 15:34:13.360573,00:13:33:d9:9f:ea,PLDTHOMEDSL,WPA2/WPA,-84,11,Baudtec,Broadband,14.699197,121.091808
2018-04-30 12:20:12,2018-04-24 15:56:52.442459,90:61:0c:2f:34:f5,PLDTHOMEDSLMarquez,WPA2/WPA,-80,2,FidaInte,Broadband,14.698288,121.092923
2018-04-30 12:14:16,2018-04-24 15:50:56.695338,90:61:0c:3a:47:a6,PLDTHOMEDSL18342,WPA2/WPA,-74,11,FidaInte,Broadband,14.698667,121.092498
2018-04-30 12:14:49,2018-04-24 15:51:29.824100,74:cc:39:c9:f4:b0,PLDTHOMEFIBR9f4b0,WPA2/WPA,-59,6,Fiberhom,Fiber,14.697013,121.094262
2018-04-30 11:59:05,2018-04-24 15:35:45.235793,bc:c0:0f:1f:02:98,PLDT@home,WPA2/WPA,-89,9,Fiberhom,Fiber,14.697965,121.094675
2018-04-30 11:59:50,2018-04-24 15:36:30.019230,00:13:33:ff:79:1f,PLDTHOMEDSLjuvel,WPA2/WPA,-60,1,Baudtec,Broadband,14.698600,121.095247
2018-04-30 11:59:50,2018-04-24 15:36:30.217010,90:61:0c:1f:5e:be,PLDTHOMEDSL,WPA2/WPA,-83,1,FidaInte,Broadband,14.698600,121.095247
2018-04-30 12:00:10,2018-04-24 15:36:50.440058,00:13:33:f5:8f:e5,PLDTHOMEDSL,WPA2/WPA,-60,1,Baudtec,Broadband,14.699243,121.095357
2018-04-30 12:07:45,2018-04-24 15:44:25.593297,90:61:0c:41:1d:2a,PLDTHOMEDSL07466,WPA2/WPA,-85,1,FidaInte,Broadband,14.699187,121.095737
2018-04-30 12:06:51,2018-04-24 15:43:31.557277,90:61:0c:35:47:b7,PLDTHOMEDSL18359,WPA2/WPA,-88,3,FidaInte,Broadband,14.700760,121.095927
2018-04-30 12:19:24,2018-04-24 15:56:04.678658,90:61:0c:0e:50:6a,PLDTMyDSL (Unavailable),WPA2/WPA,-76,11,FidaInte,Broadband,14.696500,121.094673
2018-04-30 12:15:34,2018-04-24 15:52:14.433357,34:4b:50:49:23:fc,PLDTMyDSL,WPA2/WPA,-92,11,Zte,Broadband,14.695118,121.096257
2018-04-30 12:18:34,2018-04-24 15:55:13.776043,00:13:33:ec:0e:19,PLDTHOMEDSL,WPA2/WPA,-78,2,Baudtec,Broadband,14.694355,121.096468
2018-04-30 12:16:13,2018-04-24 15:52:53.397628,00:13:33:e5:2c:7c,PLDTHOMEDSL,WPA2/WPA,-88,11,Baudtec,Broadband,14.693630,121.096342
2018-04-30 12:17:39,2018-04-24 15:54:19.584184,cc:06:77:e3:2e:b8,PLDTHOMEFIBR32eb8,WPA2/WPA,-92,5,Fiberhom,Fiber,14.691533,121.096230
2018-04-30 12:18:25,2018-04-24 15:55:05.575346,60:31:97:13:c4:c3,PLDTMyDSLBizNAYABKA,WPA2/WPA,-88,9,ZyxelCom,Broadband,14.693607,121.096505
2018-04-30 12:18:28,2018-04-24 15:55:08.242773,5a:8b:f3:6c:b6:48,PLDTMyDSLBizS313,WPA2/WPA,-88,11,None,Broadband,14.693863,121.096490
2018-04-30 12:18:31,2018-04-24 15:55:11.076609,60:31:97:13:c4:db,PLDTMyDSLBizCVSarmiento,WPA2/WPA,-87,13,ZyxelCom,Broadband,14.694113,121.096472
2018-04-30 12:19:04,2018-04-24 15:55:44.958912,b8:ec:a3:44:a9:03,PLDTWIFI MAA-COOP,WPA,-90,9,ZyxelCom,Unidentified,14.695862,121.095422
2018-04-30 12:29:18,2018-04-24 15:30:53.069491,e4:18:6b:c2:84:54,PLDTMyDSLBiz81160,WPA2/WPA,-68,13,ZyxelCom,Broadband,14.700542,121.088338
2018-04-30 12:28:03,2018-04-24 15:29:38.239202,d0:04:92:11:8d:b0,PLDTHOMEFIBR_118db0,WPA2,-77,1,Fiberhom,Fiber,14.700597,121.088347
2018-04-30 12:28:23,2018-04-24 15:29:58.511742,90:61:0c:41:21:46,PLDTHOMEDSL08518,WPA2/WPA,-68,1,FidaInte,Broadband,14.700558,121.088295
2018-04-30 12:29:29,2018-04-24 15:31:04.255842,d0:04:92:01:54:f8,PLDTHOMEFIBR_0154f8,WPA2/WPA,-65,9,Fiberhom,Fiber,14.700670,121.088677
2018-04-30 12:29:17,2018-04-24 15:30:51.978300,ec:43:f6:bb:91:9f,PLDTMyDSLBizncvi,WPA,-68,11,ZyxelCom,Broadband,14.700527,121.088328
2018-04-30 12:29:19,2018-04-24 15:30:54.586365,f0:8c:fb:81:8c:90,PLDTHOMEFIBR_818c90,WPA2/WPA,-81,1,Fiberhom,Fiber,14.700560,121.088347
2018-04-30 12:29:22,2018-04-24 15:30:57.242708,74:cc:39:c9:c7:38,PLDTHOMEFIBR9c738,WPA2/WPA,-81,3,Fiberhom,Fiber,14.700608,121.088413
2018-04-30 12:29:35,2018-04-24 15:31:10.033842,00:13:33:fb:ab:8c,PLDTHOMEDSLREX,WPA2/WPA,-86,11,Baudtec,Broadband,14.700840,121.089090
2018-04-30 12:29:36,2018-04-24 15:31:11.394424,d0:04:92:01:50:98,pldt_fiber_4g,WPA2/WPA,-90,13,Fiberhom,Fiber,14.700887,121.089142
2018-04-30 12:29:37,2018-04-24 15:31:12.461414,90:61:0c:2e:a3:08,PLDTHOMEDSL41736,WPA2/WPA,-82,1,FidaInte,Broadband,14.700942,121.089207
2018-04-30 12:29:56,2018-04-24 15:31:31.232494,cc:06:77:d7:e2:08,PLDTHOMEFIBR7e208,WPA2/WPA,-86,1,Fiberhom,Fiber,14.702030,121.089557
2018-04-30 12:29:46,2018-04-24 15:31:21.116619,bc:98:89:14:4b:10,PLDTHOMEFIBR_144b10,WPA2/WPA,-85,7,Fiberhom,Fiber,14.701450,121.089482
2018-04-30 12:29:57,2018-04-24 15:31:31.701645,90:61:0c:37:ca:0f,PLDTHOMEDSL51727,WPA2/WPA,-74,1,FidaInte,Broadband,14.702077,121.089548
