Box no.,Total APs
0,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
1,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
2,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
3,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
4,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
5,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
6,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
7,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
8,27
MAC,Persistence,Dates Seen
d0:13:fd:4f:83:ba,1,"05/08/2018,"
cc:06:77:e0:78:b8,1,"05/08/2018,"
b0:4e:26:2f:cb:5a,2,"05/08/2018, 05/10/2018,"
8c:68:c8:c0:1a:82,1,"05/08/2018,"
cc:06:77:73:63:f0,1,"05/08/2018,"
48:fd:8e:b8:9c:b0,1,"05/08/2018,"
cc:06:77:e4:43:b0,2,"05/08/2018, 05/10/2018,"
cc:06:77:73:66:58,1,"05/08/2018,"
94:a7:b7:26:65:c9,2,"05/08/2018, 05/10/2018,"
7c:8b:ca:52:db:6c,2,"05/08/2018, 05/10/2018,"
7c:8b:ca:31:2f:60,1,"05/08/2018,"
cc:06:77:e1:43:c0,2,"05/08/2018, 05/10/2018,"
cc:06:77:e3:f1:d0,1,"05/08/2018,"
d4:6e:0e:78:54:78,2,"05/08/2018, 05/10/2018,"
9c:88:ad:a0:ba:10,2,"05/08/2018, 05/10/2018,"
92:21:81:84:34:a7,1,"05/08/2018,"
f0:8c:fb:80:5e:f8,2,"05/08/2018, 05/10/2018,"
00:1f:fb:c5:2d:33,1,"05/08/2018,"
50:a7:2b:48:dd:d7,1,"05/10/2018,"
a8:15:4d:e9:5a:e0,1,"05/10/2018,"
8c:eb:c6:93:2a:1b,1,"05/10/2018,"
cc:06:77:5b:cc:70,1,"05/10/2018,"
e0:8e:3c:2f:8c:5d,1,"05/10/2018,"
e0:8e:3c:2f:b6:55,1,"05/10/2018,"
cc:06:77:e1:44:60,1,"05/10/2018,"
88:d2:74:86:c8:ef,1,"05/10/2018,"
48:fd:8e:ce:3d:bc,1,"05/10/2018,"
""
Box no.,Total APs
9,9
MAC,Persistence,Dates Seen
b0:4e:26:2f:cb:5a,1,"05/08/2018,"
00:1f:fb:c5:2d:33,1,"05/08/2018,"
b0:4e:26:2f:d4:c2,1,"05/08/2018,"
d0:13:fd:4f:83:ba,1,"05/08/2018,"
00:1f:fb:ba:36:69,1,"05/08/2018,"
7c:8b:ca:52:db:6c,1,"05/08/2018,"
00:1f:fb:ab:a2:33,1,"05/08/2018,"
7c:8b:ca:31:2f:60,1,"05/08/2018,"
d4:6e:0e:78:54:78,1,"05/08/2018,"
""
Box no.,Total APs
10,11
MAC,Persistence,Dates Seen
d0:13:fd:4f:83:ba,1,"05/08/2018,"
92:21:81:84:34:a7,1,"05/08/2018,"
7c:8b:ca:52:db:6c,1,"05/08/2018,"
d4:6e:0e:78:54:78,1,"05/08/2018,"
9c:88:ad:a0:ba:10,1,"05/08/2018,"
cc:06:77:e1:43:c0,1,"05/08/2018,"
78:8a:20:64:0c:45,1,"05/08/2018,"
f8:23:b2:c4:8f:c8,1,"05/08/2018,"
00:1f:fb:c5:2d:33,1,"05/08/2018,"
b0:4e:26:2f:cb:5a,1,"05/08/2018,"
00:1f:fb:ab:a2:33,1,"05/08/2018,"
""
Box no.,Total APs
11,15
MAC,Persistence,Dates Seen
7c:8b:ca:52:db:6c,1,"05/08/2018,"
7c:8b:ca:31:2f:60,1,"05/08/2018,"
d0:13:fd:4f:83:ba,1,"05/08/2018,"
78:8a:20:64:0c:45,1,"05/08/2018,"
d4:6e:0e:78:54:78,1,"05/08/2018,"
9c:88:ad:a0:ba:10,1,"05/08/2018,"
d4:61:2e:5f:aa:fa,1,"05/08/2018,"
5c:54:6d:43:99:18,1,"05/08/2018,"
f8:23:b2:c4:8f:c8,1,"05/08/2018,"
f0:8c:fb:80:f0:40,1,"05/08/2018,"
8c:34:fd:42:2b:e7,1,"05/08/2018,"
96:53:30:d4:f4:a5,1,"05/08/2018,"
00:1f:fb:c5:2d:33,1,"05/08/2018,"
04:95:e6:b0:8e:e1,1,"05/08/2018,"
b0:4e:26:2f:cb:5a,1,"05/08/2018,"
""
Box no.,Total APs
12,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
13,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
14,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
15,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
16,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
17,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
18,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
19,9
MAC,Persistence,Dates Seen
94:a7:b7:3c:f9:3f,1,"05/10/2018,"
08:10:73:43:14:38,1,"05/10/2018,"
cc:06:77:b5:1c:90,1,"05/10/2018,"
8c:eb:c6:93:2a:1b,1,"05/10/2018,"
f0:8c:fb:81:5a:b8,1,"05/10/2018,"
30:b5:c2:84:52:c4,1,"05/10/2018,"
28:ff:3e:3d:df:33,1,"05/10/2018,"
cc:06:77:73:03:d8,1,"05/10/2018,"
cc:06:77:e0:78:b8,1,"05/10/2018,"
""
Box no.,Total APs
20,18
MAC,Persistence,Dates Seen
94:a7:b7:3c:f9:3f,1,"05/10/2018,"
7c:8b:ca:28:14:54,1,"05/10/2018,"
cc:06:77:e4:43:b0,1,"05/10/2018,"
8c:68:c8:c0:18:01,1,"05/10/2018,"
34:ce:00:1f:1e:4c,1,"05/10/2018,"
9c:6f:52:35:09:ee,1,"05/10/2018,"
cc:06:77:75:9f:50,1,"05/10/2018,"
cc:06:77:b4:16:78,1,"05/10/2018,"
cc:06:77:5b:cc:70,1,"05/10/2018,"
48:fd:8e:4b:d7:98,1,"05/10/2018,"
c4:ff:1f:55:8b:10,1,"05/10/2018,"
7c:8b:ca:52:db:6c,1,"05/10/2018,"
84:db:ac:12:5b:a1,1,"05/10/2018,"
88:d2:74:86:c8:ef,1,"05/10/2018,"
c4:6e:1f:49:17:98,1,"05/10/2018,"
cc:06:77:e1:43:c0,1,"05/10/2018,"
7c:c7:09:c6:88:31,1,"05/10/2018,"
48:fd:8e:b8:7e:ac,1,"05/10/2018,"
""
Box no.,Total APs
21,32
MAC,Persistence,Dates Seen
88:d2:74:86:c8:ef,4,"05/08/2018, 05/10/2018,"
d0:13:fd:4f:83:ba,1,"05/08/2018,"
48:fd:8e:b8:7e:ac,3,"05/08/2018, 05/10/2018,"
94:a7:b7:3c:f9:3f,3,"05/08/2018, 05/10/2018,"
cc:06:77:e0:78:b8,4,"05/08/2018, 05/10/2018,"
48:fd:8e:b8:9c:b0,3,"05/08/2018, 05/10/2018,"
30:b5:c2:84:52:c4,1,"05/08/2018,"
cc:06:77:73:63:f0,2,"05/08/2018, 05/10/2018,"
b0:4e:26:2f:cb:5a,4,"05/08/2018, 05/10/2018,"
e0:8e:3c:2f:b6:55,4,"05/08/2018, 05/10/2018,"
cc:06:77:e4:43:b0,4,"05/08/2018, 05/10/2018,"
e0:8e:3c:2f:8c:5d,4,"05/08/2018, 05/10/2018,"
cc:06:77:5b:cc:70,4,"05/08/2018, 05/10/2018,"
7c:8b:ca:28:14:54,4,"05/08/2018, 05/10/2018,"
d0:04:92:01:a2:68,1,"05/08/2018,"
7c:8b:ca:52:db:6c,1,"05/08/2018,"
cc:06:77:e1:43:c0,2,"05/08/2018, 05/10/2018,"
8c:4c:ad:07:47:ad,1,"05/08/2018,"
f0:8c:fb:80:5e:f8,1,"05/08/2018,"
8c:eb:c6:93:2a:1b,3,"05/10/2018,"
c4:ff:1f:57:da:4c,2,"05/10/2018,"
cc:06:77:73:03:d8,1,"05/10/2018,"
00:13:33:ce:fc:c4,2,"05/10/2018,"
e0:8e:3c:2e:10:21,1,"05/10/2018,"
08:10:73:47:13:90,1,"05/10/2018,"
02:3f:49:19:28:54,2,"05/10/2018,"
cc:06:77:e1:44:60,1,"05/10/2018,"
1c:da:27:fd:90:82,1,"05/10/2018,"
00:1f:fb:ab:a8:f9,1,"05/10/2018,"
