Total No. of APs,1248
Density,8.37583892617
Max,46
Min,1
Box No.,Total AP,Time Spent,Avg Speed,Traversal
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,7,59,5.0559664167,2
9,4,9,18.5751181807,1
10,5,15,10.997339789,1
11,4,15,11.4490497462,1
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,2,5,12.5530015549,1
20,6,12,14.4472103695,1
21,15,73,10.7397662415,4
22,10,62,10.1243708189,4
23,0,0,0,0
24,7,15,10.7498963914,1
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,16,34,5.17298712425,1
36,0,0,0,0
37,0,0,0,0
38,13,46,13.2741423772,5
39,1,4,10.4578316576,1
40,9,17,10.5146136454,1
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,11,10,16.5951273898,1
54,0,0,0,0
55,0,0,0,0
56,7,42,16.1730281409,4
57,0,0,0,0
58,0,0,0,0
59,12,19,10.4330424367,1
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,10,40,0.627362025363,1
74,6,21,17.1134693988,3
75,22,35,13.8471091647,3
76,0,0,0,0
77,0,0,0,0
78,8,49,14.733530734,5
79,0,0,0,0
80,0,0,0,0
81,3,13,12.9101466312,1
82,0,0,0,0
83,0,0,0,0
84,5,11,13.6201703138,2
85,2,17,1.84402645123,1
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,0,0,0,0
91,0,0,0,0
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,14,24,11.505715943,2
97,13,45,9.02382744536,3
98,4,12,13.6396742073,3
99,10,73,9.95470812274,4
100,8,121,10.1051125839,6
101,6,54,9.4496511576,6
102,0,0,0,0
103,0,0,0,0
104,4,14,12.5952321275,1
105,0,0,0,0
106,2,3,11.872970163,2
107,9,26,15.0945366446,2
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,11,25,13.2494718838,2
121,4,17,8.72975607488,4
122,7,21,16.1416881816,3
123,11,493,9.63452907732,31
124,38,3234,2.49826689628,45
125,0,91,2.88058176711,3
126,0,0,0,0
127,6,49,5.79508618787,2
128,0,15,8.69991575545,1
129,0,0,0,0
130,9,31,12.0951973964,2
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,11,34,0.586215945787,1
147,0,2,10.16422199,1
148,10,72,13.0411915494,6
149,23,1245,13.2156448046,68
150,16,481,9.17140637338,36
151,10,206,10.0407238074,13
152,0,0,0,0
153,10,75,9.72484048094,5
154,4,30,11.8641268264,2
155,8,26,13.1926352012,2
156,12,29,11.680461677,2
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,0,0,0
161,0,0,0,0
162,0,0,0,0
163,0,0,0,0
164,0,0,0,0
165,0,0,0,0
166,0,0,0,0
167,0,0,0,0
168,0,0,0,0
169,0,0,0,0
170,0,0,0,0
171,0,0,0,0
172,0,0,0,0
173,0,11,16.4864807895,1
174,2,44,15.7291371031,4
175,17,608,18.4142489486,67
176,1,5,11.898298798,2
177,15,159,12.813157005,15
178,15,265,10.196107032,14
179,12,177,10.225416967,13
180,8,36,15.7733672261,3
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,4,27,8.27393870971,3
185,10,16,19.6291340986,2
186,17,28,12.1004774089,2
187,22,42,0.284667594101,1
188,0,0,0,0
189,0,0,0,0
190,0,0,0,0
191,0,0,0,0
192,0,0,0,0
193,0,0,0,0
194,0,0,0,0
195,0,0,0,0
196,0,0,0,0
197,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,13,9.94705336813,2
201,0,98,15.5054957598,13
202,26,637,16.7459100279,65
203,0,11,14.7558926883,1
204,0,4,9.11892672167,1
205,1,13,9.09304013801,2
206,17,64,9.08122188278,3
207,5,16,11.1892101565,2
208,11,62,12.0007662502,4
209,12,59,11.8943787988,4
210,20,85,10.0126842483,5
211,19,61,8.94427203164,4
212,0,0,0,0
213,0,0,0,0
214,0,0,0,0
215,0,0,0,0
216,0,0,0,0
217,0,0,0,0
218,0,0,0,0
219,0,0,0,0
220,0,0,0,0
221,0,0,0,0
222,0,0,0,0
223,0,0,0,0
224,0,0,0,0
225,0,0,0,0
226,0,0,0,0
227,0,0,0,0
228,0,12,12.7303365258,1
229,8,419,15.033727287,53
230,13,356,15.9225227783,51
231,0,32,6.26544245922,1
232,0,0,0,0
233,0,12,14.0095884636,1
234,0,2,7.97039864105,1
235,5,21,17.8254765187,2
236,26,35,0.660627519907,1
237,3,9,9.88097362401,1
238,1,11,8.0391336003,3
239,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,0,0,0,0
245,0,0,0,0
246,0,0,0,0
247,0,0,0,0
248,0,0,0,0
249,0,0,0,0
250,0,0,0,0
251,0,0,0,0
252,0,0,0,0
253,0,0,0,0
254,0,0,0,0
255,0,0,0,0
256,0,0,0,0
257,21,720,12.9704494124,57
258,6,287,12.9317292509,24
259,0,2,13.3584453741,1
260,0,0,0,0
261,0,6,19.4260257881,2
262,0,0,0,0
263,0,0,0,0
264,0,0,0,0
265,0,0,0,0
266,0,0,0,0
267,0,0,0,0
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
271,0,0,0,0
272,0,0,0,0
273,0,0,0,0
274,0,0,0,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,18,34,5.88654732952,1
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,18,517,14.4593523691,49
287,16,346,16.0055931036,46
288,0,0,0,0
289,0,10,15.8582866646,1
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,4,27.9012160586,1
304,0,4,40.2833856896,1
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,8,11,16.4340493601,1
311,0,0,0,0
312,3,2,35.8725536909,1
313,3,6,14.4896888969,1
314,0,0,0,0
315,12,196,19.780005297,33
316,19,436,18.4831979565,56
317,0,3,19.2541081917,1
318,1,12,14.6489606205,1
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,0,0,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0,0,0,0
331,1,18,28.4399742283,4
332,1,11,30.3232007188,2
333,0,7,26.8325720825,2
334,0,8,25.4958226521,1
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,4,8,14.4099076802,1
342,9,14,15.1390914157,3
343,24,627,18.6224309044,64
344,10,96,18.9586892062,21
345,0,0,0,0
346,0,12,13.2929108263,1
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,1,9,23.0864624856,1
360,0,9,23.0662105927,1
361,0,1,18.2796864828,1
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
