GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-15 06:54:52,2018-05-14 22:54:53.167110,00:1f:fb:ba:39:d7,HomeBro_ULTERA,WPA2,-84,1,GreenPac,Mobile broadband,14.706263,121.095592
2018-05-15 06:55:02,2018-05-14 22:55:03.577539,f0:8c:fb:81:42:60,PLDTHOMEFIBRmayie,WPA2,-90,8,Fiberhom,Fiber,14.706262,121.095577
2018-05-15 07:04:16,2018-05-14 23:04:17.805447,8c:68:c8:c0:17:c0,bayanDSLWIFI_17C0,WPA2/WPA,-81,6,None,Broadband,14.706140,121.095760
2018-05-15 06:55:13,2018-05-14 22:55:14.188945,20:54:fa:35:70:3e,Pakabit ka wifi mo,WPA2/WPA,-90,1,HuaweiTe,Unidentified,14.706278,121.095617
2018-05-15 07:04:56,2018-05-14 23:04:57.796817,bc:96:80:dc:d8:66,PLDTMyDSLSanPedroStreet,WPA2,-52,11,Shenzhen,Broadband,14.705725,121.095695
2018-05-15 06:55:33,2018-05-14 22:55:34.064940,96:53:30:5d:a4:60,DIRECT-XC-BRAVIA,WPA2,-83,1,None,Not an AP,14.706337,121.095808
2018-05-15 06:56:19,2018-05-14 22:56:20.628287,34:ba:9a:54:c0:7e,Kenkaori,WPA2,-82,6,Asiatelc,Unidentified,14.706453,121.096345
2018-05-15 06:56:05,2018-05-14 22:56:06.614343,00:d0:41:cc:2d:7a,CQR-981,OPN,-65,11,AmigoTec,Unidentified,14.706428,121.096130
2018-05-15 06:56:40,2018-05-14 22:56:40.729129,cc:06:77:e2:73:20,PLDTHOMEFIBR27320,WPA2/WPA,-89,11,Fiberhom,Fiber,14.706630,121.096397
2018-05-15 06:57:07,2018-05-14 22:57:08.135731,bc:c0:0f:d3:c9:68,PLDTFIBR,WPA2/WPA,-89,1,Fiberhom,Fiber,14.706923,121.096430
2018-05-15 06:56:48,2018-05-14 22:56:49.665938,f0:8c:fb:80:79:b0,PLDTHOMEFIBR_8079b0,WPA2/WPA,-88,1,Fiberhom,Fiber,14.706727,121.096402
2018-05-15 06:57:17,2018-05-14 22:57:17.868474,2c:5b:b8:4e:04:35,FzVJ-Y2FzZXkucGFuaWRhcg,OPN,-61,6,Guangdon,Phone,14.707035,121.096392
2018-05-15 06:57:13,2018-05-14 22:57:14.357608,bc:c0:0f:c8:70:28,PLDTHOMEFIBR87028,WPA2/WPA,-87,5,Fiberhom,Fiber,14.707000,121.096425
2018-05-15 06:57:26,2018-05-14 22:57:27.262943,cc:06:77:60:31:70,xNonex,WPA2/WPA,-93,1,Fiberhom,Fiber,14.707102,121.096437
2018-05-15 06:58:58,2018-05-14 22:58:59.137013,00:13:33:cc:d6:2e,PLDTHOMEDSL,WPA2/WPA,-87,11,Baudtec,Broadband,14.706987,121.097470
2018-05-15 06:58:11,2018-05-14 22:58:12.243992,00:23:69:21:4c:f8,linksys,OPN,-85,6,Cisco-Li,Unidentified,14.707075,121.096870
2018-05-15 06:58:04,2018-05-14 22:58:04.872972,50:04:b8:96:68:cd,Davin Matthew,WPA2/WPA,-87,1,HuaweiTe,Unidentified,14.707085,121.096783
2018-05-15 06:58:19,2018-05-14 22:58:20.239223,d0:04:92:03:3a:d0,IDT_Server,WPA2/WPA,-89,11,Fiberhom,Fiber,14.707065,121.096945
2018-05-15 06:59:07,2018-05-14 22:59:08.351430,70:4f:57:1f:ed:1c,WAB_HotSpot_WiFi,OPN,-85,4,Tp-LinkT,Unidentified,14.706952,121.097573
2018-05-15 07:00:12,2018-05-14 23:00:13.416194,00:13:33:dd:f2:0e,PLDTHOMEDSL_PETROS,WPA2/WPA,-87,11,Baudtec,Broadband,14.706462,121.097888
2018-05-15 07:00:30,2018-05-14 23:00:31.288148,c8:3a:35:27:67:a0,Bestiny,WPA,-85,11,TendaTec,Unidentified,14.706263,121.097795
2018-05-15 07:00:35,2018-05-14 23:00:36.589823,d4:6e:0e:6c:f5:2f,VirusHaus_TP_24,WPA2,-85,1,Tp-LinkT,Unidentified,14.706198,121.097780
2018-05-15 07:00:46,2018-05-14 23:00:47.552083,d0:04:92:01:bf:90,Virushaus_P_,WPA2/WPA,-72,6,Fiberhom,Fiber,14.706105,121.097767
