GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-05-10 13:24:03,2018-05-08 13:30:01.027688,50:a7:2b:48:dd:d7,B315_8DDD7,WPA2/WPA,-81,10,HuaweiTe,Unidentified,14.706823,121.096435,8,59,5.0559664167,2,1,"05/10/2018, "
2018-05-08 16:43:39,2018-05-08 08:43:40.619298,00:1f:fb:ba:36:69,HomeBro_ULTERA,WPA2,-92,1,GreenPac,Mobile broadband,14.707107,121.097065,9,9,18.5751181807,1,1,"05/08/2018, "
2018-05-08 16:43:45,2018-05-08 08:43:46.041741,92:21:81:84:34:a7,BmN9-YXRhbmthbWJhbA,OPN,-63,6,None,Unidentified,14.707072,121.097263,10,15,10.997339789,1,2,"05/08/2018, "
2018-05-08 16:43:48,2018-05-08 08:43:49.655100,f8:23:b2:c4:8f:c8,HUAWEI-8FC8,WPA2,-78,8,HuaweiTe,Unidentified,14.707087,121.09739,10,15,10.997339789,1,2,"05/08/2018, "
2018-05-08 16:44:11,2018-05-08 08:44:12.248359,96:53:30:d4:f4:a5,DIRECT-jc-BRAVIA,WPA2,-78,11,None,Not an AP,14.706805,121.09795,11,15,11.4490497462,1,2,"05/08/2018, "
2018-05-10 13:03:34,2018-05-08 13:09:31.501072,08:10:73:43:14:38,Whypay,WPA2/WPA,-91,9,None,Unidentified,14.706273,121.095658,19,5,12.5530015549,1,1,"05/10/2018, "
2018-05-10 13:03:42,2018-05-08 13:09:39.712826,34:ce:00:1f:1e:4c,ASUS_plus,WPA2/WPA,-87,1,XiaomiEl,Unidentified,14.706373,121.095888,20,12,14.4472103695,1,2,"05/10/2018, "
2018-05-10 13:03:49,2018-05-08 13:09:46.150352,7c:c7:09:c6:88:31,ISUZUconnect 239,OPN,-87,36,Shenzhen,Unidentified,14.706418,121.096193,20,12,14.4472103695,1,1,"05/10/2018, "
2018-05-08 16:43:06,2018-05-08 08:43:07.266915,8c:4c:ad:07:47:ad,No Internet Connection,WPA2,-91,7,Evoluzn,Unidentified,14.706587,121.096387,21,73,10.7397662415,4,1,"05/08/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.536400,1c:da:27:fd:90:82,khrvsss,WPA2,-90,1,VivoMobi,Phone,14.70647,121.096393,21,73,10.7397662415,4,1,"05/10/2018, "
2018-05-10 13:04:11,2018-05-08 13:10:08.769995,ea:85:50:8d:21:61,EJ,WPA2,-61,6,None,Unidentified,14.706395,121.096963,22,62,10.1243708189,4,6,"05/10/2018, "
2018-05-10 13:23:31,2018-05-08 13:29:28.791166,02:3f:49:19:28:54,BuJ5-8J+SgA,OPN,-73,13,None,Unidentified,14.706342,121.096918,22,62,10.1243708189,4,4,"05/10/2018, "
2018-05-08 16:44:29,2018-05-08 08:44:30.573930,8c:34:fd:42:2b:e7,HUAWEI-E5330-2BE7,WPA2,-85,10,HuaweiTe,Hotspot,14.70634,121.097965,24,15,10.7498963914,1,2,"05/08/2018, "
2018-05-10 13:03:18,2018-05-08 13:09:15.976615,28:ff:3e:3d:df:33,kek,WPA2/WPA,-66,11,Zte,Unidentified,14.706233,121.095627,35,34,5.17298712425,1,2,"05/10/2018, "
2018-05-10 13:03:15,2018-05-08 13:09:12.964702,9c:6f:52:35:0e:90,bayanDSLWIFI_0E90,WPA2/WPA,-93,9,Zte,Broadband,14.706233,121.095703,35,34,5.17298712425,1,1,"05/10/2018, "
2018-05-10 13:03:29,2018-05-08 13:09:26.457468,cc:06:77:e2:78:88,xNonex,WPA2/WPA,-90,5,Fiberhom,Fiber,14.70622,121.095545,35,34,5.17298712425,1,1,"05/10/2018, "
2018-05-08 16:42:19,2018-05-08 08:42:20.234074,00:1f:fb:c5:38:43,HomeBro_ULTERA,WPA2,-86,1,GreenPac,Mobile broadband,14.705973,121.097112,38,46,13.2741423772,5,1,"05/08/2018, "
2018-05-10 13:04:23,2018-05-08 13:10:20.558479,ee:f3:42:10:12:f7,GROUP 1,WPA2,-51,3,None,Unidentified,14.706053,121.09714,38,46,13.2741423772,5,10,"05/10/2018, "
2018-05-10 13:04:25,2018-05-08 13:10:22.185615,5c:c3:07:41:b2:c7,B310_1B2C7,WPA2/WPA,-70,4,HuaweiTe,Unidentified,14.705947,121.09709,38,46,13.2741423772,5,6,"05/08/2018, 05/10/2018, "
2018-05-08 16:44:37,2018-05-08 08:44:38.282396,e0:8e:3c:22:60:b7,bayanDSLWIFI_60B7,WPA2/WPA,-72,1,AztechEl,Broadband,14.706047,121.097937,40,17,10.5146136454,1,2,"05/08/2018, "
2018-05-08 16:44:46,2018-05-08 08:44:47.280384,1c:67:58:99:d2:fd,B315_9D2FD,WPA2/WPA,-85,7,HuaweiTe,Unidentified,14.70589,121.098022,40,17,10.5146136454,1,1,"05/08/2018, "
2018-05-10 13:02:51,2018-05-08 13:08:48.570176,48:db:50:21:56:e8,HUAWEI-E5330-56E8,WPA2,-84,5,HuaweiTe,Hotspot,14.705528,121.09568,53,10,16.5951273898,1,1,"05/10/2018, "
2018-05-10 13:02:52,2018-05-08 13:08:49.753956,5c:f2:86:23:4f:46,SmartBro_234F46,WPA2,-79,7,IeeeRegi,Unidentified,14.705563,121.095692,53,10,16.5951273898,1,1,"05/10/2018, "
2018-05-10 13:02:54,2018-05-08 13:08:51.520653,5c:f2:86:2e:b4:ac,Globe_LTE MIFI_B4AC,WPA2/WPA,-88,7,IeeeRegi,Hotspot,14.705625,121.095707,53,10,16.5951273898,1,1,"05/10/2018, "
2018-05-10 13:02:57,2018-05-08 13:08:54.158629,00:1f:fb:a1:ea:95,HomeBro_ULTERA,WPA2,-78,10,GreenPac,Mobile broadband,14.705752,121.095747,53,10,16.5951273898,1,2,"05/10/2018, "
2018-05-08 16:42:05,2018-05-08 08:42:05.757500,48:fd:8e:ce:2e:c8,HUAWEI-7hfd,WPA2/WPA,-91,3,HuaweiTe,Unidentified,14.70543,121.096945,56,42,16.1730281409,4,1,"05/08/2018, "
2018-05-10 13:23:03,2018-05-08 13:29:01.013256,98:e7:f5:60:02:90,HUAWEI-E5330-0290,WPA2,-71,7,HuaweiTe,Hotspot,14.705707,121.097065,56,42,16.1730281409,4,11,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-08 15:31:48,2018-05-08 07:31:49.411759,d8:55:a3:61:d3:b8,Connected,WPA2/WPA,-72,1,Zte,Unidentified,14.70517,121.094673,73,40,0.627362025363,1,2,"05/08/2018, "
2018-05-08 15:31:35,2018-05-08 07:31:35.992345,c2:38:96:7c:ab:0d,DIRECT-RE-BRAVIA,WPA2,-57,7,None,Not an AP,14.705135,121.094673,73,40,0.627362025363,1,1,"05/08/2018, "
2018-05-08 14:28:08,2018-05-08 06:28:09.475464,e0:8e:3c:2f:54:91,Aztech5068_F5491,WPA,-66,10,AztechEl,Unidentified,14.705148,121.095282,74,21,17.1134693988,3,5,"05/08/2018, 05/10/2018, "
2018-05-08 14:28:14,2018-05-08 06:28:15.277103,36:69:87:0e:dc:28,JESSA.JAKE,WPA2,-90,13,None,Unidentified,14.705207,121.09539,75,35,13.8471091647,3,2,"05/08/2018, "
2018-05-08 15:32:42,2018-05-08 07:32:43.623395,74:4a:a4:f0:8f:e7,GLOBE_F08FE7,WPA2/WPA,-86,1,Zte,Unidentified,14.7051,121.095518,75,35,13.8471091647,3,2,"05/08/2018, "
2018-05-08 15:32:43,2018-05-08 07:32:44.080556,70:9f:2d:a0:a7:40,youre road,WPA2/WPA,-88,1,Zte,Unidentified,14.705057,121.095555,75,35,13.8471091647,3,1,"05/08/2018, "
2018-05-10 13:02:38,2018-05-08 13:08:35.470296,bc:c0:0f:d4:45:d8,PLDTHOMEFIBR445d8,WPA2/WPA,-91,9,Fiberhom,Fiber,14.705047,121.095568,75,35,13.8471091647,3,1,"05/10/2018, "
2018-05-10 13:02:41,2018-05-08 13:08:38.558853,00:1f:fb:ba:6d:6b,HomeBro_ULTERA,WPA2,-77,11,GreenPac,Mobile broadband,14.705155,121.095562,75,35,13.8471091647,3,1,"05/10/2018, "
2018-05-10 13:02:46,2018-05-08 13:08:44.006924,30:b5:c2:48:0e:a6,TP-Link_480EA6,WPA2,-80,3,Tp-LinkT,Unidentified,14.705318,121.095588,75,35,13.8471091647,3,4,"05/08/2018, 05/10/2018, "
2018-05-09 12:02:14,2018-05-08 09:39:13.160441,00:72:16:e8:74:49,BmGL-amhvY2VsYmFsaWRveQ,OPN,-89,11,None,Unidentified,14.704932,121.096753,78,49,14.733530734,5,1,"05/09/2018, "
2018-05-10 13:25:46,2018-05-08 13:31:43.412024,e0:8e:3c:2f:24:39,SMPjadencheska,WPA2/WPA,-63,1,AztechEl,Unidentified,14.70531,121.096917,78,49,14.733530734,5,10,"05/08/2018, 05/10/2018, 05/09/2018, "
2018-05-10 13:22:46,2018-05-08 13:28:43.141611,8c:4c:ad:01:e0:1a,MINAWIFI,WPA2,-65,6,Evoluzn,Unidentified,14.70505,121.096893,78,49,14.733530734,5,15,"05/10/2018, 05/08/2018, 05/10/2018, 05/09/2018, "
2018-05-08 16:45:20,2018-05-08 08:45:20.974867,94:fe:22:b1:bf:7e,TRIBAL,WPA2/WPA,-76,6,HuaweiTe,Unidentified,14.704985,121.098362,81,13,12.9101466312,1,2,"05/08/2018, "
2018-05-09 14:21:47,2018-05-08 11:28:12.845045,94:fe:22:aa:7e:63,HUAWEI-E5330-7E63,WPA2,-79,4,HuaweiTe,Hotspot,14.704965,121.099828,84,11,13.6201703138,2,2,"05/09/2018, "
2018-05-08 14:26:27,2018-05-08 06:26:28.130872,48:d5:39:d2:ad:7c,HUAWEI-AcCW,WPA2/WPA,-89,8,HuaweiTe,Unidentified,14.704528,121.094717,96,24,11.505715943,2,2,"05/08/2018, "
2018-05-08 14:27:45,2018-05-08 06:27:45.978007,48:fd:8e:b8:bc:6c,HUAWEI-v25Ti,WPA2/WPA,-91,5,HuaweiTe,Unidentified,14.704493,121.094605,96,24,11.505715943,2,1,"05/08/2018, "
2018-05-08 15:32:16,2018-05-08 07:32:17.519694,48:fd:8e:ce:33:a4,FOREVER ROSE,WPA2/WPA,-84,7,HuaweiTe,Unidentified,14.704825,121.095082,97,45,9.02382744536,3,4,"05/08/2018, "
2018-05-08 15:31:10,2018-05-08 07:31:11.285780,00:1f:fb:b7:db:13,BiliKaWifiMo,WPA2,-92,2,GreenPac,Mobile broadband,14.704585,121.095173,97,45,9.02382744536,3,1,"05/08/2018, "
2018-05-08 15:31:14,2018-05-08 07:31:14.982498,cc:06:77:72:db:38,PLDTHOMEFIBR2db38,WPA2/WPA,-92,5,Fiberhom,Fiber,14.704693,121.095032,97,45,9.02382744536,3,2,"05/08/2018, "
2018-05-08 15:31:18,2018-05-08 07:31:19.510259,b0:ee:7b:d8:4c:35,xNonex,WPA2,-66,8,Roku,Not an AP,14.704783,121.094958,97,45,9.02382744536,3,4,"05/08/2018, "
2018-05-08 15:31:20,2018-05-08 07:31:21.268189,8c:68:c8:c0:13:e5,eh?,WPA2/WPA,-57,10,None,Unidentified,14.704835,121.094918,97,45,9.02382744536,3,3,"05/08/2018, "
2018-05-08 15:32:49,2018-05-08 07:32:50.339408,4c:54:99:11:4f:41,xNonex,WEP,-50,6,HuaweiTe,Unidentified,14.70489,121.095738,98,12,13.6396742073,3,28,"05/08/2018, 05/10/2018, 04/30/2018, 05/08/2018, 05/09/2018, "
2018-05-08 15:32:48,2018-05-08 07:32:49.630570,cc:06:77:d7:df:58,PLDTHOMEFIBR7df58,WPA2/WPA,-86,5,Fiberhom,Fiber,14.70492,121.095703,98,12,13.6396742073,3,3,"05/08/2018, 05/10/2018, "
2018-05-08 14:28:29,2018-05-08 06:28:30.386649,e0:8e:3c:20:1f:c3,xNonex,WPA2/WPA,-76,10,AztechEl,Unidentified,14.704848,121.095812,99,73,9.95470812274,4,4,"05/08/2018, 05/10/2018, "
2018-05-08 15:32:58,2018-05-08 07:32:58.897991,40:cb:a8:8c:b4:42,Broadband@work,WPA2/WPA,-71,11,HuaweiTe,Unidentified,14.704757,121.095883,99,73,9.95470812274,4,21,"05/08/2018, 05/10/2018, 05/09/2018, "
2018-05-10 13:02:23,2018-05-08 13:08:20.779321,b0:6e:bf:4b:08:f0,W & J Pharmacy,WPA2/WPA,-73,11,AsustekC,Unidentified,14.704627,121.095915,99,73,9.95470812274,4,30,"05/08/2018, 05/09/2018, 05/10/2018, "
2018-05-10 13:02:19,2018-05-08 13:08:16.681876,38:37:8b:70:7e:91,HUAWEI-7E91,WPA2,-88,9,HuaweiTe,Unidentified,14.704525,121.096012,99,73,9.95470812274,4,1,"05/10/2018, "
2018-05-09 12:02:43,2018-05-08 09:39:41.765386,d0:ff:98:ed:2c:2c,HUAWEI-2C2C,WPA2,-77,4,HuaweiTe,Unidentified,14.704572,121.096678,100,121,10.1051125839,6,10,"05/09/2018, "
2018-05-09 14:46:01,2018-05-08 11:29:14.739643,5c:f2:86:25:26:2d,Francisfrancis,WPA2,-77,7,IeeeRegi,Unidentified,14.704543,121.096568,100,121,10.1051125839,6,1,"05/09/2018, "
2018-05-09 12:02:24,2018-05-08 09:39:22.651193,58:c3:8b:8a:10:dc,Park Jimin,WPA2,-66,6,SamsungE,Phone,14.704822,121.09674,101,54,9.4496511576,6,7,"05/09/2018, "
2018-05-09 12:02:19,2018-05-08 09:39:18.023815,a4:7e:39:ae:40:08,Lourbenia Refamonte,WPA2/WPA,-87,2,Zte,Unidentified,14.704888,121.096748,101,54,9.4496511576,6,1,"05/09/2018, "
2018-05-10 13:04:53,2018-05-08 13:10:50.370449,60:e3:27:6d:f1:c6,TP-LINK_6DF1C6,WPA2/WPA,-62,10,Tp-LinkT,Unidentified,14.704725,121.096753,101,54,9.4496511576,6,23,"05/09/2018, 05/10/2018, 05/08/2018, 05/09/2018, "
2018-05-08 16:45:27,2018-05-08 08:45:28.460112,02:14:bc:14:76:7d,F6eb-SjdFbWVyZ2U,OPN,-85,11,None,Unidentified,14.70479,121.098323,104,14,12.5952321275,1,1,"05/08/2018, "
2018-05-09 14:22:31,2018-05-08 11:28:56.358082,68:7f:74:f8:3e:3f,linksys,WPA2/WPA,-49,6,Cisco-Li,Unidentified,14.704473,121.099458,106,3,11.872970163,2,8,"05/09/2018, "
2018-05-09 14:22:22,2018-05-08 11:28:47.713913,94:0e:6b:37:34:ef,B310_734EF,WPA2/WPA,-61,1,HuaweiTe,Unidentified,14.704678,121.099742,107,26,15.0945366446,2,4,"05/09/2018, "
2018-05-09 14:21:37,2018-05-08 11:28:02.773213,e0:8e:3c:16:50:2d,McLisse,WPA2/WPA,-60,10,AztechEl,Unidentified,14.70471,121.09963,107,26,15.0945366446,2,4,"05/09/2018, "
2018-05-08 15:31:02,2018-05-08 07:31:03.554171,00:1f:fb:ab:ea:d9,FREEWIFI,WPA2,-73,11,GreenPac,Mobile broadband,14.704405,121.095342,121,17,8.72975607488,4,5,"05/08/2018, 05/10/2018, "
2018-05-08 12:53:38,2018-04-30 06:43:40.001700,40:45:da:4d:77:42,BV7t-UXVhZENvcmU3MDZB,OPN,-86,11,Spreadtr,Unidentified,14.70425,121.096268,123,493,9.63452907732,31,2,"05/08/2018, "
2018-05-09 11:44:58,2018-05-08 09:21:56.645815,c4:ab:b2:6d:34:04,vivo 1716,WPA2,-77,1,VivoMobi,Phone,14.704302,121.09612,123,493,9.63452907732,31,1,"05/09/2018, "
2018-05-09 13:24:06,2018-05-08 10:30:31.668714,50:a7:2b:f7:b9:7f,BLzL-Y2hpbGx5,OPN,-50,11,HuaweiTe,Unidentified,14.704142,121.096125,123,493,9.63452907732,31,69,"05/09/2018, 05/08/2018, 05/09/2018, "
2018-05-09 13:24:08,2018-05-08 10:30:33.528140,9e:30:5b:92:f6:56,DIRECT-yy-BRAVIA,WPA2,-85,11,None,Not an AP,14.704095,121.096077,123,493,9.63452907732,31,1,"05/09/2018, "
2018-05-10 12:11:22,2018-05-08 12:17:19.108973,cc:2d:83:50:34:f8,BeXI-Z2xvbWFyMDkxNjUzMTQ4OTk,OPN,-82,6,Guangdon,Phone,14.704125,121.09617,123,493,9.63452907732,31,2,"05/10/2018, "
2018-04-30 12:04:40,2018-04-24 15:41:20.429847,36:69:87:9e:05:6f,Smart Bro_9E056F,WPA2,-42,5,None,Unidentified,14.704213,121.096485,124,3234,2.49826689628,45,19,"04/30/2018, "
2018-04-30 12:05:42,2018-04-24 15:42:22.078634,b0:ee:7b:d8:3d:6d,xNonex,WPA2,-73,9,Roku,Not an AP,14.704055,121.096292,124,3234,2.49826689628,45,6,"04/30/2018, "
2018-04-30 12:03:23,2018-04-24 15:40:03.107312,28:9a:fa:33:b9:ee,Smart Bro_B9EE,OPN,-90,2,TctMobil,Hotspot,14.704153,121.096342,124,3234,2.49826689628,45,1,"04/30/2018, "
2018-04-30 12:57:11,2018-04-24 15:39:36.272045,60:a4:d0:78:9d:dd,♤,WPA2,-88,6,SamsungE,Phone,14.704042,121.09632,124,3234,2.49826689628,45,1,"04/30/2018, "
2018-05-08 12:54:01,2018-04-30 06:44:03.278666,b0:55:08:2e:54:97,HUAWEI-5497,WPA2,-83,1,HuaweiTe,Unidentified,14.704028,121.096532,124,3234,2.49826689628,45,19,"05/08/2018, "
2018-05-08 14:29:37,2018-05-08 06:29:37.812934,4c:54:99:11:2f:8e,B200W,WEP,-46,6,HuaweiTe,Unidentified,14.704205,121.096383,124,3234,2.49826689628,45,140,"05/08/2018, 05/10/2018, 05/09/2018, 04/30/2018, 05/08/2018, "
2018-05-08 13:43:19,2018-05-08 05:43:20.160772,ac:cf:85:58:bb:2a,HUAWEI-E5330-BB2A,WPA2,-44,4,HuaweiTe,Hotspot,14.704153,121.096417,124,3234,2.49826689628,45,13,"05/08/2018, "
2018-05-08 13:43:31,2018-05-08 05:43:32.303719,48:db:50:ff:b5:31,BqDv-U0FZSEFSVkVZMTg,OPN,-89,11,HuaweiTe,Unidentified,14.704153,121.096417,124,3234,2.49826689628,45,1,"05/08/2018, "
2018-05-08 15:33:26,2018-05-08 07:33:27.099436,d6:ae:05:3a:fd:69,BnXz-YW5nZWlseXNlcGF5YTA3,OPN,-60,6,None,Unidentified,14.704145,121.09645,124,3234,2.49826689628,45,7,"05/08/2018, "
2018-05-08 15:33:27,2018-05-08 07:33:28.791971,5c:a8:6a:82:1b:04,HUAWEI-1B04,WPA2,-51,7,HuaweiTe,Unidentified,14.70415,121.096467,124,3234,2.49826689628,45,4,"05/08/2018, "
2018-05-08 15:34:43,2018-05-08 07:34:44.277365,cc:2d:e0:70:84:17,FranZ III Prepaid Wifi,OPN,-90,2,Routerbo,Unidentified,14.704137,121.09652,124,3234,2.49826689628,45,1,"05/08/2018, "
2018-05-08 16:08:13,2018-05-08 08:08:14.764240,c4:ab:b2:c1:08:cd,vivo 1606,WPA2,-81,11,VivoMobi,Phone,14.704143,121.09638,124,3234,2.49826689628,45,3,"05/08/2018, "
2018-05-08 16:09:42,2018-05-08 08:09:43.589190,be:44:34:a2:22:7a,BG90-Q3V0ZUtv,OPN,-65,6,None,Unidentified,14.704118,121.096463,124,3234,2.49826689628,45,1,"05/08/2018, "
2018-05-08 16:25:57,2018-05-08 08:25:58.323595,f8:e6:1a:28:e4:ec,hero,WPA2,-61,6,SamsungE,Phone,14.7041,121.096323,124,3234,2.49826689628,45,1,"05/08/2018, "
2018-05-09 12:20:33,2018-05-08 09:57:31.651993,c4:07:2f:58:04:88,WIFI PA MORE,WPA2/WPA,-83,8,HuaweiTe,Unidentified,14.704087,121.09629,124,3234,2.49826689628,45,1,"05/09/2018, "
2018-05-09 12:19:06,2018-05-08 09:56:05.046888,6e:5c:14:44:c5:eb,A1601,WPA2,-54,5,None,Unidentified,14.704105,121.096377,124,3234,2.49826689628,45,4,"05/09/2018, "
2018-05-09 12:20:15,2018-05-08 09:57:14.444374,d8:c7:71:d3:1e:f1,HUAWEI-1EF1,WPA2,-37,1,HuaweiTe,Unidentified,14.704197,121.096478,124,3234,2.49826689628,45,3,"05/09/2018, "
2018-05-09 13:23:20,2018-05-08 10:29:44.891518,8e:79:67:93:2f:7c,ZTE_932F7C,WPA2,-60,1,None,Unidentified,14.704218,121.096435,124,3234,2.49826689628,45,3,"05/09/2018, "
2018-05-09 15:01:27,2018-05-08 11:44:40.205492,34:ba:9a:57:05:78,Timon,WPA2,-69,6,Asiatelc,Unidentified,14.704202,121.096448,124,3234,2.49826689628,45,6,"05/09/2018, "
2018-05-10 13:27:44,2018-05-08 13:33:41.486549,fe:2d:5e:6a:9a:e7,Smart Bro_6A9AE7_marwel,WPA2/WPA,-43,13,None,Unidentified,14.704083,121.096412,124,3234,2.49826689628,45,50,"05/10/2018, 05/09/2018, 05/10/2018, 04/30/2018, "
2018-05-10 12:45:14,2018-05-08 12:51:11.740917,be:3b:af:36:12:a0,Arius’s iPhone,WPA2,-91,1,None,Phone,14.704078,121.096448,124,3234,2.49826689628,45,1,"05/10/2018, "
2018-05-10 12:47:59,2018-05-08 12:53:56.197113,8c:68:c8:c0:0e:32,bayanDSLWIFI_0E32,WPA2/WPA,-51,1,None,Broadband,14.704088,121.096442,124,3234,2.49826689628,45,6,"05/10/2018, "
2018-05-10 13:01:56,2018-05-08 13:07:53.685251,c8:38:70:2a:a3:13,BpNw-Smhlbm5ldGjinaTwn5iN,OPN,-73,6,SamsungE,Phone,14.704075,121.096327,124,3234,2.49826689628,45,11,"05/10/2018, "
2018-05-09 14:01:15,2018-05-08 11:07:40.289669,e0:8e:3c:2e:2a:5d,xNonex,WPA2/WPA,-82,1,AztechEl,Unidentified,14.704332,121.098108,127,49,5.79508618787,2,2,"05/09/2018, "
2018-05-09 14:01:16,2018-05-08 11:07:41.540252,00:1f:fb:c6:42:ad,HomeBro_ULTERA,WPA2,-73,1,GreenPac,Mobile broadband,14.704333,121.098107,127,49,5.79508618787,2,3,"05/09/2018, "
2018-05-09 14:21:18,2018-05-08 11:27:44.121216,88:d2:74:86:ba:68,bayanDSLWIFI_BA68,WPA2/WPA,-75,10,Zte,Broadband,14.704247,121.099307,130,31,12.0951973964,2,5,"05/09/2018, "
2018-05-08 14:27:06,2018-05-08 06:27:07.121744,00:1f:fb:a4:c3:a3,HomeBro_ULTERA,WPA2,-87,7,GreenPac,Mobile broadband,14.703818,121.094683,146,34,0.586215945787,1,2,"05/08/2018, "
2018-05-08 14:27:06,2018-05-08 06:27:07.266658,2e:fd:a1:a0:69:41,Pakyuka,WPA2,-88,7,None,Unidentified,14.703818,121.094683,146,34,0.586215945787,1,1,"05/08/2018, "
2018-05-08 14:25:45,2018-05-08 06:25:46.591833,00:1f:fb:bb:4e:09,Chiconet,WPA2,-85,10,GreenPac,Mobile broadband,14.703912,121.095738,148,72,13.0411915494,6,3,"05/08/2018, "
2018-05-09 11:42:54,2018-05-08 09:19:52.796067,00:27:15:10:6c:9e,BzDf-TmFydXRvIFNoaXBwdWRlbg,OPN,-62,6,ReboundT,Unidentified,14.703858,121.095723,148,72,13.0411915494,6,67,"05/09/2018, 05/10/2018, "
2018-05-09 11:45:15,2018-05-08 09:22:14.610471,e4:77:23:a5:49:74,VIRUSVIRUSALERT,WPA2/WPA,-89,13,Zte,Unidentified,14.703725,121.09568,148,72,13.0411915494,6,2,"05/09/2018, 05/10/2018, "
2018-04-30 12:02:49,2018-04-24 15:39:29.679720,b4:ef:39:04:e3:75,AndroidAP,WPA2,-84,6,SamsungE,Phone,14.703677,121.095983,149,1245,13.2156448046,68,2,"04/30/2018, "
2018-05-08 14:31:11,2018-05-08 06:31:12.114158,b8:bc:1b:2a:13:55,Mangkanor,WPA2,-73,10,HuaweiTe,Unidentified,14.70399,121.096167,149,1245,13.2156448046,68,11,"05/08/2018, "
2018-05-09 13:22:20,2018-05-08 10:28:45.002865,b0:55:08:2d:e2:37,HUAWEI-E237,WPA2,-58,3,HuaweiTe,Unidentified,14.703953,121.095892,149,1245,13.2156448046,68,1,"05/09/2018, "
2018-05-09 13:22:28,2018-05-08 10:28:53.033028,62:d9:a0:0f:a9:11,B86D-U3VwIEJydWjwn5iJ,OPN,-73,6,None,Unidentified,14.704012,121.09601,149,1245,13.2156448046,68,5,"05/09/2018, "
2018-05-10 13:01:31,2018-05-08 13:07:28.998875,9c:6f:52:35:18:68,pangetmo,WPA2/WPA,-48,1,Zte,Unidentified,14.703823,121.096057,149,1245,13.2156448046,68,173,"05/09/2018, 04/30/2018, 05/08/2018, 05/09/2018, 05/10/2018, "
2018-05-08 16:40:41,2018-05-08 08:40:42.209935,54:b1:21:8c:fc:7a,HUAWEI-FC7A,WPA2,-81,1,HuaweiTe,Unidentified,14.70398,121.096327,150,481,9.17140637338,36,9,"05/08/2018, "
2018-05-08 16:47:20,2018-05-08 08:47:21.392287,34:ba:9a:54:8a:74,Smart_Bro_548A74,WPA2,-55,6,Asiatelc,Unidentified,14.703828,121.096708,150,481,9.17140637338,36,41,"05/08/2018, 05/10/2018, "
2018-05-09 12:01:20,2018-05-08 09:38:19.800406,e0:8e:3c:22:0d:53,bayanDSLWIFI_0D53,WPA2/WPA,-89,1,AztechEl,Broadband,14.70374,121.096642,150,481,9.17140637338,36,1,"05/09/2018, "
2018-05-09 12:46:30,2018-05-08 10:23:28.841220,ae:38:70:98:06:93,BuDo-anVzdGluZXBsYXNlbmNpYXJh,OPN,-90,6,None,Unidentified,14.704017,121.096318,150,481,9.17140637338,36,1,"05/09/2018, "
2018-05-09 13:39:28,2018-05-08 10:45:54.018277,36:69:87:f2:47:a8,mira42,WPA2,-49,1,None,Unidentified,14.703615,121.096645,150,481,9.17140637338,36,26,"05/09/2018, 05/10/2018, "
2018-05-09 13:39:28,2018-05-08 10:45:52.943820,88:d2:74:86:b5:24,bayanDSLWIFI_B524,WPA2/WPA,-90,1,Zte,Broadband,14.703615,121.096645,150,481,9.17140637338,36,1,"05/09/2018, "
2018-05-09 14:18:58,2018-05-08 11:25:23.706477,00:27:15:23:21:5f,B695-RmxhcmVfSjJfTGl0ZQ,OPN,-76,6,ReboundT,Unidentified,14.703985,121.096335,150,481,9.17140637338,36,1,"05/09/2018, "
2018-05-08 16:47:14,2018-05-08 08:47:15.511450,00:26:75:ab:fa:35,bayanDSLWiFi_FA35,WPA2/WPA,-89,2,AztechEl,Broadband,14.703743,121.096807,151,206,10.0407238074,13,2,"05/09/2018, 05/08/2018, "
2018-05-09 12:01:11,2018-05-08 09:38:10.021687,04:4f:4c:25:ef:09,HUAWEI-EF09,WPA2,-55,9,HuaweiTe,Unidentified,14.703592,121.096868,151,206,10.0407238074,13,13,"05/09/2018, 05/08/2018, 05/09/2018, "
2018-05-09 14:01:41,2018-05-08 11:08:06.395407,cc:06:77:e4:22:a0,PLDTWIFIHOMEFIBR422a0,WPA2/WPA,-52,6,Fiberhom,Fiber,14.703757,121.097992,153,75,9.72484048094,5,17,"05/09/2018, 05/08/2018, 05/09/2018, "
