GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-05-08 16:43:11,2018-05-08 08:43:12.405528,8c:68:c8:c0:1a:82,bayanDSLWIFI_1A82,WPA2/WPA,-86,200,None,Broadband,14.706772,121.096363,8,59,5.0559664167,2,1,"05/08/2018, "
2018-05-08 16:43:22,2018-05-08 08:43:23.427883,cc:06:77:e3:f1:d0,xNonex,WPA2/WPA,-89,5,Fiberhom,Fiber,14.707137,121.096375,8,59,5.0559664167,2,1,"05/08/2018, "
2018-05-08 16:43:37,2018-05-08 08:43:38.527610,b0:4e:26:2f:d4:c2,WAB_Hotspot_3,OPN,-90,12,Tp-LinkT,Unidentified,14.707122,121.096963,9,9,18.5751181807,1,1,"05/08/2018, "
2018-05-08 16:43:39,2018-05-08 08:43:40.619298,00:1f:fb:ba:36:69,HomeBro_ULTERA,WPA2,-92,1,GreenPac,Mobile broadband,14.707107,121.097065,9,9,18.5751181807,1,1,"05/08/2018, "
2018-05-08 16:43:45,2018-05-08 08:43:46.041741,92:21:81:84:34:a7,BmN9-YXRhbmthbWJhbA,OPN,-63,6,None,Unidentified,14.707072,121.097263,10,15,10.997339789,1,2,"05/08/2018, "
2018-05-08 16:43:48,2018-05-08 08:43:49.655100,f8:23:b2:c4:8f:c8,HUAWEI-8FC8,WPA2,-78,8,HuaweiTe,Unidentified,14.707087,121.09739,10,15,10.997339789,1,2,"05/08/2018, "
2018-05-08 16:44:06,2018-05-08 08:44:07.530900,5c:54:6d:43:99:18,HUAWEI-89sb,WPA2/WPA,-88,8,HuaweiTe,Unidentified,14.706882,121.097855,11,15,11.4490497462,1,1,"05/08/2018, "
2018-05-08 16:44:07,2018-05-08 08:44:08.111285,f0:8c:fb:80:f0:40,PLDTHOMEFIBR_80f040,WPA2/WPA,-92,8,Fiberhom,Fiber,14.706865,121.097878,11,15,11.4490497462,1,1,"05/08/2018, "
2018-05-10 13:03:34,2018-05-08 13:09:31.501072,08:10:73:43:14:38,Whypay,WPA2/WPA,-91,9,None,Unidentified,14.706273,121.095658,19,5,12.5530015549,1,1,"05/10/2018, "
2018-05-10 13:03:49,2018-05-08 13:09:46.150352,7c:c7:09:c6:88:31,ISUZUconnect 239,OPN,-87,36,Shenzhen,Unidentified,14.706418,121.096193,20,12,14.4472103695,1,1,"05/10/2018, "
2018-05-08 16:42:54,2018-05-08 08:42:55.144756,cc:06:77:73:63:f0,the_Fist_of_Shadow2.4G,WPA2/WPA,-83,11,Fiberhom,Fiber,14.706358,121.09652,21,73,10.7397662415,4,4,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:06,2018-05-08 08:43:07.266915,8c:4c:ad:07:47:ad,No Internet Connection,WPA2,-91,7,Evoluzn,Unidentified,14.706587,121.096387,21,73,10.7397662415,4,1,"05/08/2018, "
2018-05-10 13:23:59,2018-05-08 13:29:56.222300,cc:06:77:e1:44:60,PLDTHOMEFIBR14460,WPA2/WPA,-83,5,Fiberhom,Fiber,14.706675,121.096442,21,73,10.7397662415,4,2,"05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.536400,1c:da:27:fd:90:82,khrvsss,WPA2,-90,1,VivoMobi,Phone,14.70647,121.096393,21,73,10.7397662415,4,1,"05/10/2018, "
2018-05-10 13:04:11,2018-05-08 13:10:08.769995,ea:85:50:8d:21:61,EJ,WPA2,-61,6,None,Unidentified,14.706395,121.096963,22,62,10.1243708189,4,6,"05/10/2018, "
2018-05-10 13:23:31,2018-05-08 13:29:28.791166,02:3f:49:19:28:54,BuJ5-8J+SgA,OPN,-73,13,None,Unidentified,14.706342,121.096918,22,62,10.1243708189,4,4,"05/10/2018, "
2018-05-10 13:03:24,2018-05-08 13:09:21.290326,98:9c:57:85:bf:94,B315_5BF94,WPA2/WPA,-87,1,HuaweiTe,Unidentified,14.706235,121.095553,35,34,5.17298712425,1,1,"05/10/2018, "
2018-05-10 13:03:30,2018-05-08 13:09:27.490715,c4:6e:1f:49:17:98,TP-LINK_491798,WPA2,-67,6,Tp-LinkT,Unidentified,14.706227,121.095557,35,34,5.17298712425,1,3,"05/10/2018, "
2018-05-10 13:03:24,2018-05-08 13:09:21.691715,cc:06:77:75:9f:50,RAJAB-ALI,WPA2/WPA,-82,1,Fiberhom,Fiber,14.706235,121.095553,35,34,5.17298712425,1,2,"05/10/2018, "
2018-05-10 13:03:25,2018-05-08 13:09:22.193531,88:d2:74:86:b0:3a,rhicarhick,WPA2/WPA,-83,2,Zte,Unidentified,14.706233,121.095552,35,34,5.17298712425,1,1,"05/10/2018, "
2018-05-10 13:03:28,2018-05-08 13:09:25.415334,48:fd:8e:ce:3b:00,Converge - ALI,WPA2/WPA,-90,4,HuaweiTe,Unidentified,14.706225,121.095547,35,34,5.17298712425,1,1,"05/10/2018, "
2018-05-10 13:03:29,2018-05-08 13:09:26.457468,cc:06:77:e2:78:88,xNonex,WPA2/WPA,-90,5,Fiberhom,Fiber,14.70622,121.095545,35,34,5.17298712425,1,1,"05/10/2018, "
2018-05-08 16:42:22,2018-05-08 08:42:23.577386,34:ba:9a:55:af:7b,LANce11,WPA2/WPA,-63,4,Asiatelc,Unidentified,14.706068,121.097135,38,46,13.2741423772,5,3,"05/08/2018, "
2018-05-10 13:04:23,2018-05-08 13:10:20.558479,ee:f3:42:10:12:f7,GROUP 1,WPA2,-51,3,None,Unidentified,14.706053,121.09714,38,46,13.2741423772,5,10,"05/10/2018, "
2018-05-10 13:04:20,2018-05-08 13:10:17.478597,ec:8a:4c:94:c4:d1,bayanDSLWiFi_C4D1,WPA2/WPA,-92,1,Zte,Broadband,14.706197,121.09719,38,46,13.2741423772,5,2,"05/10/2018, "
2018-05-10 13:04:25,2018-05-08 13:10:22.185615,5c:c3:07:41:b2:c7,B310_1B2C7,WPA2/WPA,-70,4,HuaweiTe,Unidentified,14.705947,121.09709,38,46,13.2741423772,5,6,"05/08/2018, 05/10/2018, "
2018-05-08 16:44:46,2018-05-08 08:44:47.280384,1c:67:58:99:d2:fd,B315_9D2FD,WPA2/WPA,-85,7,HuaweiTe,Unidentified,14.70589,121.098022,40,17,10.5146136454,1,1,"05/08/2018, "
2018-05-10 13:02:51,2018-05-08 13:08:48.570176,48:db:50:21:56:e8,HUAWEI-E5330-56E8,WPA2,-84,5,HuaweiTe,Hotspot,14.705528,121.09568,53,10,16.5951273898,1,1,"05/10/2018, "
2018-05-10 13:02:52,2018-05-08 13:08:49.753956,5c:f2:86:23:4f:46,SmartBro_234F46,WPA2,-79,7,IeeeRegi,Unidentified,14.705563,121.095692,53,10,16.5951273898,1,1,"05/10/2018, "
2018-05-10 13:02:54,2018-05-08 13:08:51.520653,5c:f2:86:2e:b4:ac,Globe_LTE MIFI_B4AC,WPA2/WPA,-88,7,IeeeRegi,Hotspot,14.705625,121.095707,53,10,16.5951273898,1,1,"05/10/2018, "
2018-05-08 16:42:05,2018-05-08 08:42:05.757500,48:fd:8e:ce:2e:c8,HUAWEI-7hfd,WPA2/WPA,-91,3,HuaweiTe,Unidentified,14.70543,121.096945,56,42,16.1730281409,4,1,"05/08/2018, "
2018-05-08 16:42:08,2018-05-08 08:42:09.778111,48:fd:8e:b8:82:84,xNonex,WPA2/WPA,-83,7,HuaweiTe,Unidentified,14.705582,121.097002,56,42,16.1730281409,4,3,"05/08/2018, 05/10/2018, "
2018-05-10 13:22:57,2018-05-08 13:28:54.533258,ec:8a:4c:94:7f:e1,bayanDSLWiFi_7FE1,WPA2/WPA,-86,1,Zte,Broadband,14.705468,121.097,56,42,16.1730281409,4,1,"05/10/2018, "
2018-05-08 16:44:49,2018-05-08 08:44:50.069036,ec:8a:4c:94:a9:d1,xNonex,WPA2/WPA,-80,10,Zte,Unidentified,14.705807,121.098147,59,19,10.4330424367,1,2,"05/08/2018, "
2018-05-08 15:31:26,2018-05-08 07:31:26.798673,e0:8e:3c:21:5f:d3,fionaamelie,WPA2/WPA,-90,1,AztechEl,Unidentified,14.704958,121.094835,73,40,0.627362025363,1,1,"05/08/2018, "
2018-05-08 14:28:00,2018-05-08 06:28:01.621570,74:cc:39:c9:c6:30,xNonex,WPA2/WPA,-57,3,Fiberhom,Fiber,14.704933,121.094935,74,21,17.1134693988,3,8,"05/08/2018, "
2018-05-08 14:28:04,2018-05-08 06:28:04.898088,cc:06:77:e4:00:c0,PLDTHOMEFIBR400c0,WPA2/WPA,-75,5,Fiberhom,Fiber,14.705053,121.095122,74,21,17.1134693988,3,3,"05/08/2018, "
2018-05-08 14:28:05,2018-05-08 06:28:06.417749,74:cc:39:8c:4a:c8,none,none,-73,6,none,Unidentified,14.705078,121.09517,74,21,17.1134693988,3,8,"05/10/2018, 05/08/2018, 05/10/2018, 05/09/2018, "
2018-05-08 14:28:08,2018-05-08 06:28:09.475464,e0:8e:3c:2f:54:91,Aztech5068_F5491,WPA,-66,10,AztechEl,Unidentified,14.705148,121.095282,74,21,17.1134693988,3,5,"05/08/2018, 05/10/2018, "
2018-05-08 14:28:14,2018-05-08 06:28:15.277103,36:69:87:0e:dc:28,JESSA.JAKE,WPA2,-90,13,None,Unidentified,14.705207,121.09539,75,35,13.8471091647,3,2,"05/08/2018, "
2018-05-08 15:32:42,2018-05-08 07:32:43.623395,74:4a:a4:f0:8f:e7,GLOBE_F08FE7,WPA2/WPA,-86,1,Zte,Unidentified,14.7051,121.095518,75,35,13.8471091647,3,2,"05/08/2018, "
2018-05-08 15:32:43,2018-05-08 07:32:44.080556,70:9f:2d:a0:a7:40,youre road,WPA2/WPA,-88,1,Zte,Unidentified,14.705057,121.095555,75,35,13.8471091647,3,1,"05/08/2018, "
2018-05-10 13:02:38,2018-05-08 13:08:35.872754,f0:8c:fb:80:57:00,PLDTHOMEFIBR_805700,WPA2/WPA,-82,9,Fiberhom,Fiber,14.705047,121.095568,75,35,13.8471091647,3,6,"05/08/2018, 05/10/2018, "
2018-05-10 13:02:41,2018-05-08 13:08:38.558853,00:1f:fb:ba:6d:6b,HomeBro_ULTERA,WPA2,-77,11,GreenPac,Mobile broadband,14.705155,121.095562,75,35,13.8471091647,3,1,"05/10/2018, "
2018-05-10 13:02:43,2018-05-08 13:08:40.647761,14:60:80:99:41:90,bayanDSLWiFi_4190,WPA2/WPA,-74,13,Zte,Broadband,14.705205,121.09557,75,35,13.8471091647,3,3,"05/10/2018, 05/08/2018, 05/10/2018, "
