Common,320
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-08 16:43:01,2018-05-08 08:43:01.948956,cc:06:77:e4:43:b0,WIFI-ni-FAME-at-LUCAS,WPA2/WPA,-63,1,Fiberhom,Fiber,14.706443,121.096418
2018-05-08 16:42:57,2018-05-08 08:42:58.083227,e0:8e:3c:2f:b6:55,bayanDSLWIFI_B655,WPA2/WPA,-82,1,AztechEl,Broadband,14.706353,121.096472
2018-05-10 13:24:41,2018-05-08 13:30:38.292974,8c:eb:c6:93:2a:1b,B315_32A1B,WPA2/WPA,-63,10,HuaweiTe,Unidentified,14.706657,121.096372
2018-05-10 13:24:49,2018-05-08 13:30:47.004876,e0:8e:3c:2f:8c:5d,CRISMIKE_WIFI,WPA2/WPA,-67,1,AztechEl,Unidentified,14.706437,121.096428
2018-05-10 13:03:56,2018-05-08 13:09:53.271607,cc:06:77:e0:78:b8,Culala,WPA2/WPA,-78,11,Fiberhom,Fiber,14.706437,121.096405
2018-05-10 13:24:47,2018-05-08 13:30:44.134113,7c:8b:ca:28:14:54,ExPLDTHOMEFIBRbcc70,WPA2/WPA,-75,1,Tp-LinkT,Unidentified,14.70647,121.096393
2018-05-10 13:24:47,2018-05-08 13:30:44.983725,cc:06:77:5b:cc:70,PLDTHOMEFIBRbcc70,WPA2/WPA,-65,1,Fiberhom,Fiber,14.70647,121.096393
2018-05-10 13:24:48,2018-05-08 13:30:45.146984,48:fd:8e:b8:9c:b0,Loothauz,WPA2/WPA,-80,2,HuaweiTe,Unidentified,14.706448,121.09641
2018-05-08 16:42:43,2018-05-08 08:42:44.155953,cc:06:77:e2:7b:10,PLDTHOMEFIBR27b10,WPA2/WPA,-73,5,Fiberhom,Fiber,14.706348,121.096832
2018-05-10 13:04:14,2018-05-08 13:10:11.927246,c4:ff:1f:57:da:4c,HUAWEI-h5Ad,WPA2/WPA,-79,11,HuaweiTe,Unidentified,14.706357,121.097108
2018-05-10 13:04:15,2018-05-08 13:10:12.450547,00:13:33:ce:fc:c4,PLDTHOMEDSLnowifi,WPA2/WPA,-61,11,Baudtec,Broadband,14.70634,121.097145
2018-05-10 13:25:07,2018-05-08 13:31:04.855323,08:10:73:47:13:90,Regie,WPA2/WPA,-62,1,None,Unidentified,14.706387,121.096855
2018-05-08 14:28:40,2018-05-08 06:28:40.327821,8c:25:05:e1:1d:a1,B315_11DA1,WPA2/WPA,-64,1,HuaweiTe,Unidentified,14.704582,121.09605
2018-05-08 14:28:29,2018-05-08 06:28:30.386649,e0:8e:3c:20:1f:c3,xNonex,WPA2/WPA,-76,10,AztechEl,Unidentified,14.704848,121.095812
2018-05-08 15:32:58,2018-05-08 07:32:58.897991,40:cb:a8:8c:b4:42,Broadband@work,WPA2/WPA,-71,11,HuaweiTe,Unidentified,14.704757,121.095883
2018-05-08 15:33:05,2018-05-08 07:33:06.285655,f0:8c:fb:80:3b:c8,xNonex,WPA2,-50,2,Fiberhom,Fiber,14.704658,121.09599
2018-05-08 15:32:55,2018-05-08 07:32:56.224674,e0:8e:3c:2d:fb:85,bayanDSLWIFI_FB85,WPA2/WPA,-74,10,AztechEl,Broadband,14.70478,121.09586
2018-05-08 15:33:08,2018-05-08 07:33:09.943180,00:13:33:d3:c5:2f,PLDTHOMEDSL,WPA2/WPA,-74,11,Baudtec,Broadband,14.70459,121.096048
2018-05-10 13:02:26,2018-05-08 13:08:23.703287,e0:8e:3c:2f:75:49,mauicarlo,WPA,-68,1,AztechEl,Unidentified,14.704673,121.095877
2018-05-10 13:02:23,2018-05-08 13:08:20.779321,b0:6e:bf:4b:08:f0,W & J Pharmacy,WPA2/WPA,-73,11,AsustekC,Unidentified,14.704627,121.095915
2018-05-09 12:02:37,2018-05-08 09:39:36.594469,6c:b7:49:01:5b:68,BEIZUNU,WPA2/WPA,-78,1,HuaweiTe,Unidentified,14.70465,121.09671
2018-05-10 13:04:58,2018-05-08 13:10:56.060361,48:fd:8e:ce:2a:44,virus2,WPA2/WPA,-60,1,HuaweiTe,Unidentified,14.704505,121.096678
2018-05-10 13:04:58,2018-05-08 13:10:55.345718,f0:8c:fb:81:79:50,PLDTHOMEFIBRM3R,WPA2/WPA,-74,13,Fiberhom,Fiber,14.704505,121.096678
2018-05-10 13:04:56,2018-05-08 13:10:53.703244,48:fd:8e:ce:3b:88,Power009,WPA2/WPA,-65,11,HuaweiTe,Unidentified,14.70459,121.096712
2018-05-08 15:30:12,2018-05-08 07:30:13.384434,74:cc:39:88:97:78,amribille,WPA2/WPA,-61,3,Fiberhom,Fiber,14.704072,121.096252
2018-05-10 13:02:11,2018-05-08 13:08:08.765081,48:fd:8e:4c:2a:98,BADILLA FAMILY,WPA2/WPA,-69,2,HuaweiTe,Unidentified,14.704273,121.096213
2018-05-10 13:02:15,2018-05-08 13:08:12.226532,e4:7d:eb:02:f5:22,P01I-F522,WPA2,-42,6,Shanghai,Unidentified,14.704407,121.096118
2018-05-10 13:02:16,2018-05-08 13:08:13.514522,48:fd:8e:b9:8f:88,Bcastillo,WPA2/WPA,-84,6,HuaweiTe,Unidentified,14.704437,121.096097
2018-05-10 13:02:17,2018-05-08 13:08:14.181141,d0:04:92:01:a3:90,PLDTHOMEFIBR_01a390,WPA2/WPA,-73,6,Fiberhom,Fiber,14.704468,121.09607
2018-04-30 12:04:12,2018-04-24 15:40:52.436723,9c:6f:52:35:10:95,bayanDSLWIFI_1095,WPA2/WPA,-81,11,Zte,Broadband,14.704217,121.096495
2018-05-08 14:29:25,2018-05-08 06:29:26.014653,d0:04:92:01:47:28,PLDTHOMEFIBRHome wifi,WPA2/WPA,-47,6,Fiberhom,Fiber,14.704205,121.096383
2018-05-08 14:29:37,2018-05-08 06:29:37.812934,4c:54:99:11:2f:8e,B200W,WEP,-46,6,HuaweiTe,Unidentified,14.704205,121.096383
2018-05-08 15:34:20,2018-05-08 07:34:21.831741,e0:8e:3c:20:22:53,Synesthesia,WPA2/WPA,-56,1,AztechEl,Unidentified,14.704353,121.096602
2018-05-08 15:33:33,2018-05-08 07:33:34.390243,88:d2:74:86:c3:82,MamaNeri!,WPA2/WPA,-88,10,Zte,Unidentified,14.704233,121.096547
2018-05-09 12:01:44,2018-05-08 09:38:43.057632,38:f8:89:4d:cb:0d,JHUN,WPA2/WPA,-81,6,HuaweiTe,Unidentified,14.704335,121.096568
2018-05-09 12:02:59,2018-05-08 09:39:58.166834,d0:04:92:01:3d:a0,PLDTHOMEFIBROMIJONESPARTYNEEDS,WPA2/WPA,-59,2,Fiberhom,Fiber,14.704425,121.096595
2018-05-09 14:03:10,2018-05-08 11:09:35.888555,8c:25:05:c9:6f:f8,B315_96FF8,WPA2/WPA,-39,1,HuaweiTe,Unidentified,14.70419,121.096448
2018-05-10 13:05:00,2018-05-08 13:10:57.762236,b8:55:10:af:04:b4,OneJoy,WPA2,-53,1,ZioncomE,Unidentified,14.704428,121.096647
2018-05-10 13:05:00,2018-05-08 13:10:57.350986,9c:6f:52:35:00:92,bayanDSLWIFI_0092,WPA2/WPA,-48,10,Zte,Broadband,14.704428,121.096647
2018-05-08 14:25:50,2018-05-08 06:25:51.628737,c4:86:e9:ac:45:c9,B315_C45C9,WPA2/WPA,-56,1,HuaweiTe,Unidentified,14.703982,121.09563
2018-05-08 14:25:50,2018-05-08 06:25:51.379785,e4:77:23:a5:3e:80,Eugine,WPA2/WPA,-61,2,Zte,Unidentified,14.703982,121.09563
2018-05-08 15:30:48,2018-05-08 07:30:49.512395,9c:6f:52:35:0c:4f,bayanDSLWIFI_0C4F,WPA2/WPA,-71,1,Zte,Broadband,14.703983,121.095685
2018-05-08 15:30:48,2018-05-08 07:30:49.589476,e0:8e:3c:20:0e:53,Puppet,WPA2/WPA,-79,1,AztechEl,Unidentified,14.703983,121.095685
2018-05-09 11:45:17,2018-05-08 09:22:16.142290,94:46:96:1f:93:75,I_am_a_Virus,WPA2/WPA,-67,2,Baudtec,Unidentified,14.7036,121.09565
2018-05-08 14:25:42,2018-05-08 06:25:43.325588,88:d2:74:86:c1:0f,bayanDSLWIFI_C10F,WPA2/WPA,-44,9,Zte,Broadband,14.703857,121.09582
2018-05-08 14:25:42,2018-05-08 06:25:42.813578,d4:61:2e:17:95:58,PAKABITKANGWIFIMO,WPA2/WPA,-86,9,HuaweiTe,Unidentified,14.703857,121.09582
2018-05-08 16:10:30,2018-05-08 08:10:31.091512,b0:b2:dc:45:ef:7c,PLDTMyDSL,WPA2/WPA,-57,11,ZyxelCom,Broadband,14.703682,121.096062
2018-05-08 15:29:15,2018-05-08 07:29:16.253082,00:13:33:ff:79:4c,PLDTHOMEDSL,WPA2/WPA,-50,1,Baudtec,Broadband,14.703897,121.096112
2018-05-08 14:57:55,2018-05-08 06:57:56.448875,28:ff:3e:3d:df:01,bayanDSLWIFI_DF01,WPA2/WPA,-74,1,Zte,Broadband,14.70381,121.096048
2018-05-08 15:49:47,2018-05-08 07:49:48.458201,d0:04:92:01:50:58,xNonex,WPA2/WPA,-49,1,Fiberhom,Fiber,14.703957,121.096257
2018-05-09 12:34:12,2018-05-08 10:11:11.031433,cc:06:77:b4:13:a8,Anonymous-Cloud1,WPA2/WPA,-80,5,Fiberhom,Fiber,14.703965,121.096112
2018-05-09 13:46:41,2018-05-08 10:53:06.274468,00:13:33:dd:79:99,PLDTHOMEDSL,WPA2/WPA,-57,2,Baudtec,Broadband,14.703923,121.096192
2018-05-10 11:56:06,2018-05-08 12:02:03.068911,bc:3f:8f:d5:19:3c,HUAWEI-xSTK,WPA2/WPA,-56,6,HuaweiTe,Unidentified,14.703935,121.096042
2018-05-10 13:47:11,2018-05-08 13:53:08.213942,cc:06:77:75:80:90,adasd,WPA2/WPA,-53,5,Fiberhom,Fiber,14.703672,121.095962
