Common,0
GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
 
RPi,504
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-08 16:43:01,2018-05-08 08:43:01.948956,cc:06:77:e4:43:b0,WIFI-ni-FAME-at-LUCAS,WPA2/WPA,-63,1,Fiberhom,Fiber,14.706443,121.096418
2018-05-08 16:42:54,2018-05-08 08:42:55.144756,cc:06:77:73:63:f0,the_Fist_of_Shadow2.4G,WPA2/WPA,-83,11,Fiberhom,Fiber,14.706358,121.09652
2018-05-08 16:42:57,2018-05-08 08:42:58.083227,e0:8e:3c:2f:b6:55,bayanDSLWIFI_B655,WPA2/WPA,-82,1,AztechEl,Broadband,14.706353,121.096472
2018-05-10 13:24:41,2018-05-08 13:30:38.292974,8c:eb:c6:93:2a:1b,B315_32A1B,WPA2/WPA,-63,10,HuaweiTe,Unidentified,14.706657,121.096372
2018-05-10 13:24:49,2018-05-08 13:30:47.004876,e0:8e:3c:2f:8c:5d,CRISMIKE_WIFI,WPA2/WPA,-67,1,AztechEl,Unidentified,14.706437,121.096428
2018-05-10 13:03:56,2018-05-08 13:09:53.271607,cc:06:77:e0:78:b8,Culala,WPA2/WPA,-78,11,Fiberhom,Fiber,14.706437,121.096405
2018-05-10 13:24:47,2018-05-08 13:30:44.134113,7c:8b:ca:28:14:54,ExPLDTHOMEFIBRbcc70,WPA2/WPA,-75,1,Tp-LinkT,Unidentified,14.70647,121.096393
2018-05-10 13:24:47,2018-05-08 13:30:44.983725,cc:06:77:5b:cc:70,PLDTHOMEFIBRbcc70,WPA2/WPA,-65,1,Fiberhom,Fiber,14.70647,121.096393
2018-05-10 13:24:48,2018-05-08 13:30:45.146984,48:fd:8e:b8:9c:b0,Loothauz,WPA2/WPA,-80,2,HuaweiTe,Unidentified,14.706448,121.09641
2018-05-08 16:42:43,2018-05-08 08:42:44.155953,cc:06:77:e2:7b:10,PLDTHOMEFIBR27b10,WPA2/WPA,-73,5,Fiberhom,Fiber,14.706348,121.096832
2018-05-10 13:04:14,2018-05-08 13:10:11.927246,c4:ff:1f:57:da:4c,HUAWEI-h5Ad,WPA2/WPA,-79,11,HuaweiTe,Unidentified,14.706357,121.097108
2018-05-10 13:04:15,2018-05-08 13:10:12.450547,00:13:33:ce:fc:c4,PLDTHOMEDSLnowifi,WPA2/WPA,-61,11,Baudtec,Broadband,14.70634,121.097145
2018-05-10 13:25:07,2018-05-08 13:31:04.855323,08:10:73:47:13:90,Regie,WPA2/WPA,-62,1,None,Unidentified,14.706387,121.096855
2018-05-10 13:04:11,2018-05-08 13:10:08.769995,ea:85:50:8d:21:61,EJ,WPA2,-61,6,None,Unidentified,14.706395,121.096963
2018-05-10 13:23:31,2018-05-08 13:29:28.791166,02:3f:49:19:28:54,BuJ5-8J+SgA,OPN,-73,13,None,Unidentified,14.706342,121.096918
2018-05-08 14:28:40,2018-05-08 06:28:40.327821,8c:25:05:e1:1d:a1,B315_11DA1,WPA2/WPA,-64,1,HuaweiTe,Unidentified,14.704582,121.09605
