Common,778
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Persistence,Dates Seen
2018-05-08 16:43:23,2018-05-08 08:43:23.867537,cc:06:77:e1:43:c0,markoliver,WPA2/WPA,-40,6,Fiberhom,Fiber,14.707147,121.096385,7,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:28,2018-05-08 08:43:29.178889,f0:8c:fb:80:5e:f8,PLDTHOMEFIBRrona,WPA2/WPA,-64,9,Fiberhom,Fiber,14.707148,121.096555,3,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:11,2018-05-08 08:43:12.405528,8c:68:c8:c0:1a:82,bayanDSLWIFI_1A82,WPA2/WPA,-86,200,None,Broadband,14.706772,121.096363,1,"05/08/2018, "
2018-05-08 16:43:22,2018-05-08 08:43:23.427883,cc:06:77:e3:f1:d0,xNonex,WPA2/WPA,-89,5,Fiberhom,Fiber,14.707137,121.096375,1,"05/08/2018, "
2018-05-10 13:24:36,2018-05-08 13:30:33.092301,48:fd:8e:ce:3d:bc,HUAWEI-b7ev,WPA2/WPA,-88,7,HuaweiTe,Unidentified,14.706783,121.096388,2,"05/10/2018, "
2018-05-10 13:24:29,2018-05-08 13:30:26.552265,94:a7:b7:26:65:c9,bayanDSLWIFI_65C9,WPA2/WPA,-90,1,Zte,Broadband,14.707042,121.096428,2,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:33,2018-05-08 08:43:34.408499,b0:4e:26:2f:cb:5a,WAB_Hotspot_4,OPN,-35,12,Tp-LinkT,Unidentified,14.707133,121.096767,10,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:37,2018-05-08 08:43:38.527610,b0:4e:26:2f:d4:c2,WAB_Hotspot_3,OPN,-90,12,Tp-LinkT,Unidentified,14.707122,121.096963,1,"05/08/2018, "
2018-05-08 16:43:40,2018-05-08 08:43:41.170295,00:1f:fb:ab:a2:33,NHOYSKIE ANALYN,WPA2,-79,2,GreenPac,Mobile broadband,14.707098,121.097112,2,"05/08/2018, "
2018-05-08 16:43:48,2018-05-08 08:43:49.695329,d4:6e:0e:78:54:78,TP-LINK_5478,WPA2,-46,7,Tp-LinkT,Unidentified,14.707087,121.09739,6,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:48,2018-05-08 08:43:48.836000,9c:88:ad:a0:ba:10,PLDTHOMEFIBR_a0ba10,WPA2/WPA,-64,7,Fiberhom,Fiber,14.707087,121.09739,4,"05/08/2018, 05/10/2018, "
2018-05-08 16:43:50,2018-05-08 08:43:51.630236,00:1f:fb:c5:2d:33,MaximHernaez,WPA2,-62,11,GreenPac,Mobile broadband,14.70707,121.09746,4,"05/08/2018, "
2018-05-08 16:44:03,2018-05-08 08:44:04.287366,7c:8b:ca:52:db:6c,WAB_HotSpot_Wifi2,OPN,-28,4,Tp-LinkT,Unidentified,14.706938,121.097792,15,"05/08/2018, 05/10/2018, "
2018-05-08 16:44:06,2018-05-08 08:44:07.530900,5c:54:6d:43:99:18,HUAWEI-89sb,WPA2/WPA,-88,8,HuaweiTe,Unidentified,14.706882,121.097855,1,"05/08/2018, "
2018-05-08 16:44:07,2018-05-08 08:44:08.111285,f0:8c:fb:80:f0:40,PLDTHOMEFIBR_80f040,WPA2/WPA,-92,8,Fiberhom,Fiber,14.706865,121.097878,1,"05/08/2018, "
2018-05-10 13:03:35,2018-05-08 13:09:32.921020,94:a7:b7:3c:f9:3f,hi,WPA2/WPA,-58,10,Zte,Unidentified,14.706287,121.095688,8,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:03:45,2018-05-08 13:09:42.176674,48:fd:8e:4b:d7:98,xNonex,WPA2/WPA,-64,4,HuaweiTe,Unidentified,14.706392,121.09601,3,"05/10/2018, "
2018-05-10 13:03:45,2018-05-08 13:09:42.804909,c4:ff:1f:55:8b:10,GWAPO,WPA2/WPA,-72,5,HuaweiTe,Unidentified,14.706392,121.09601,2,"05/10/2018, "
2018-05-10 13:03:49,2018-05-08 13:09:46.639966,88:d2:74:86:c8:ef,SACDALAN,WPA2/WPA,-60,7,Zte,Unidentified,14.706418,121.096193,12,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:03:48,2018-05-08 13:09:45.210758,84:db:ac:12:5b:a1,HUAWEI-E5330-5BA1,WPA2,-76,6,HuaweiTe,Hotspot,14.706412,121.096162,1,"05/10/2018, "
2018-05-08 16:43:01,2018-05-08 08:43:01.948956,cc:06:77:e4:43:b0,WIFI-ni-FAME-at-LUCAS,WPA2/WPA,-63,1,Fiberhom,Fiber,14.706443,121.096418,12,"05/08/2018, 05/10/2018, "
2018-05-08 16:42:54,2018-05-08 08:42:55.144756,cc:06:77:73:63:f0,the_Fist_of_Shadow2.4G,WPA2/WPA,-83,11,Fiberhom,Fiber,14.706358,121.09652,4,"05/08/2018, 05/10/2018, "
2018-05-08 16:42:57,2018-05-08 08:42:58.083227,e0:8e:3c:2f:b6:55,bayanDSLWIFI_B655,WPA2/WPA,-82,1,AztechEl,Broadband,14.706353,121.096472,6,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-08 16:43:01,2018-05-08 08:43:02.438096,d0:04:92:01:a2:68,PLDTHOMEFIBRNapinakapetmalu,WPA2/WPA,-87,2,Fiberhom,Fiber,14.706443,121.096418,1,"05/08/2018, "
2018-05-10 13:03:57,2018-05-08 13:09:54.477476,cc:06:77:73:03:d8,xNonex,WPA2/WPA,-88,11,Fiberhom,Fiber,14.706435,121.096455,3,"05/10/2018, "
2018-05-10 13:24:41,2018-05-08 13:30:38.292974,8c:eb:c6:93:2a:1b,B315_32A1B,WPA2/WPA,-63,10,HuaweiTe,Unidentified,14.706657,121.096372,8,"05/10/2018, "
2018-05-10 13:24:49,2018-05-08 13:30:47.004876,e0:8e:3c:2f:8c:5d,CRISMIKE_WIFI,WPA2/WPA,-67,1,AztechEl,Unidentified,14.706437,121.096428,9,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:03:56,2018-05-08 13:09:53.271607,cc:06:77:e0:78:b8,Culala,WPA2/WPA,-78,11,Fiberhom,Fiber,14.706437,121.096405,6,"05/08/2018, 05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.134113,7c:8b:ca:28:14:54,ExPLDTHOMEFIBRbcc70,WPA2/WPA,-75,1,Tp-LinkT,Unidentified,14.70647,121.096393,6,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.983725,cc:06:77:5b:cc:70,PLDTHOMEFIBRbcc70,WPA2/WPA,-65,1,Fiberhom,Fiber,14.70647,121.096393,7,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:24:48,2018-05-08 13:30:45.146984,48:fd:8e:b8:9c:b0,Loothauz,WPA2/WPA,-80,2,HuaweiTe,Unidentified,14.706448,121.09641,4,"05/08/2018, 05/10/2018, "
2018-05-10 13:23:59,2018-05-08 13:29:56.222300,cc:06:77:e1:44:60,PLDTHOMEFIBR14460,WPA2/WPA,-83,5,Fiberhom,Fiber,14.706675,121.096442,2,"05/10/2018, "
2018-05-10 13:24:47,2018-05-08 13:30:44.943598,00:1f:fb:ab:a8:f9,HomeBro_ULTERA,WPA2,-91,1,GreenPac,Mobile broadband,14.70647,121.096393,1,"05/10/2018, "
2018-05-08 16:42:43,2018-05-08 08:42:44.155953,cc:06:77:e2:7b:10,PLDTHOMEFIBR27b10,WPA2/WPA,-73,5,Fiberhom,Fiber,14.706348,121.096832,4,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:14,2018-05-08 13:10:11.927246,c4:ff:1f:57:da:4c,HUAWEI-h5Ad,WPA2/WPA,-79,11,HuaweiTe,Unidentified,14.706357,121.097108,8,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:15,2018-05-08 13:10:12.450547,00:13:33:ce:fc:c4,PLDTHOMEDSLnowifi,WPA2/WPA,-61,11,Baudtec,Broadband,14.70634,121.097145,11,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:04,2018-05-08 13:10:01.475976,e0:8e:3c:2e:10:21,bayanDSLWIFI_1021,WPA2/WPA,-77,1,AztechEl,Broadband,14.70641,121.096752,2,"05/10/2018, "
2018-05-10 13:25:07,2018-05-08 13:31:04.855323,08:10:73:47:13:90,Regie,WPA2/WPA,-62,1,None,Unidentified,14.706387,121.096855,8,"05/10/2018, 05/08/2018, 05/10/2018, "
2018-05-10 13:04:10,2018-05-08 13:10:08.062298,f0:8c:fb:81:5c:d0,PLDTHOMEFIBR_815cd0,WPA2,-73,5,Fiberhom,Fiber,14.7064,121.096918,2,"05/10/2018, "
2018-05-10 13:25:15,2018-05-08 13:31:12.290520,a8:15:4d:e9:5a:e0,Tita Easth Net,WPA2,-88,7,Tp-LinkT,Unidentified,14.70635,121.09705,3,"05/10/2018, "
2018-05-10 13:04:14,2018-05-08 13:10:11.860536,00:26:75:b7:89:7c,bayanDSLWiFi_897C,WPA2/WPA,-86,9,AztechEl,Broadband,14.706357,121.097108,1,"05/10/2018, "
2018-05-08 16:44:30,2018-05-08 08:44:30.811261,e0:8e:3c:1b:42:cb,malounavarro,WPA2/WPA,-67,10,AztechEl,Unidentified,14.7063,121.097952,5,"05/08/2018, 05/10/2018, "
2018-05-08 16:44:24,2018-05-08 08:44:25.279395,7c:8b:ca:31:2f:60,WAB HOTSPOT 2,OPN,-64,4,Tp-LinkT,Unidentified,14.706507,121.09806,18,"05/08/2018, 05/10/2018, 04/30/2018, 05/09/2018, "
2018-05-08 16:44:26,2018-05-08 08:44:26.869683,d4:61:2e:5f:aa:fa,HUAWEI-AAFA,WPA2,-81,7,HuaweiTe,Unidentified,14.70645,121.098025,2,"05/08/2018, "
2018-05-08 16:44:17,2018-05-08 08:44:18.289655,e8:de:27:79:75:20,CLIQUE5,WPA2/WPA,-82,2,Tp-LinkT,Unidentified,14.706655,121.098058,1,"05/08/2018, "
2018-05-08 16:44:24,2018-05-08 08:44:25.691928,cc:06:77:e2:7b:40,PLDTHOMEFIBR27b40,WPA2/WPA,-70,6,Fiberhom,Fiber,14.706507,121.09806,2,"05/08/2018, "
2018-05-08 16:44:25,2018-05-08 08:44:26.723000,88:d2:74:86:ac:54,xNonex,WPA2/WPA,-77,7,Zte,Unidentified,14.706483,121.098043,2,"05/08/2018, "
2018-05-10 13:03:00,2018-05-08 13:08:57.109715,00:1f:fb:b2:eb:e9,HomeBro_ULTERA,WPA2,-79,11,GreenPac,Mobile broadband,14.705878,121.095772,1,"05/10/2018, "
2018-05-10 13:03:04,2018-05-08 13:09:01.556941,8c:68:c8:c0:18:01,2018,WPA2/WPA,-63,1,None,Unidentified,14.705982,121.095783,2,"05/10/2018, "
2018-05-10 13:03:24,2018-05-08 13:09:21.290326,98:9c:57:85:bf:94,B315_5BF94,WPA2/WPA,-87,1,HuaweiTe,Unidentified,14.706235,121.095553,1,"05/10/2018, "
2018-05-10 13:03:25,2018-05-08 13:09:22.283174,c4:86:e9:a8:92:7d,B315_8927D,WPA2/WPA,-75,1,HuaweiTe,Unidentified,14.706233,121.095552,1,"05/10/2018, "
2018-05-10 13:03:07,2018-05-08 13:09:04.395924,9c:6f:52:35:09:ee,bayanDSLWIFI_09EE,WPA2/WPA,-60,1,Zte,Broadband,14.706045,121.095777,2,"05/10/2018, "
2018-05-10 13:03:05,2018-05-08 13:09:02.866467,38:d8:2f:2c:03:dc,bayanDSLWiFi_03DC,WPA2/WPA,-92,1,Zte,Broadband,14.706007,121.095785,1,"05/10/2018, "
2018-05-10 13:03:09,2018-05-08 13:09:06.457111,04:4f:4c:25:f5:09,HUAWEI-F509,WPA2,-82,5,HuaweiTe,Unidentified,14.706088,121.095765,1,"05/10/2018, "
2018-05-10 13:03:30,2018-05-08 13:09:27.490715,c4:6e:1f:49:17:98,TP-LINK_491798,WPA2,-67,6,Tp-LinkT,Unidentified,14.706227,121.095557,3,"05/10/2018, "
2018-05-10 13:03:28,2018-05-08 13:09:25.996808,cc:06:77:73:64:d0,PLDTHOMEFIBR364d0,WPA2/WPA,-73,5,Fiberhom,Fiber,14.706225,121.095547,1,"05/10/2018, "
2018-05-10 13:03:16,2018-05-08 13:09:14.010562,30:b5:c2:84:52:c4,SNOWMAN,WPA2,-75,11,Tp-LinkT,Unidentified,14.706235,121.095682,3,"05/10/2018, 05/08/2018, "
2018-05-10 13:03:24,2018-05-08 13:09:21.691715,cc:06:77:75:9f:50,RAJAB-ALI,WPA2/WPA,-82,1,Fiberhom,Fiber,14.706235,121.095553,2,"05/10/2018, "
2018-05-10 13:03:25,2018-05-08 13:09:22.193531,88:d2:74:86:b0:3a,rhicarhick,WPA2/WPA,-83,2,Zte,Unidentified,14.706233,121.095552,1,"05/10/2018, "
