GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-09 11:35:29,2018-05-08 09:12:27.545328,44:33:4c:20:9d:25,TRAILBLAZER,WPA2,-58,3,Shenzhen,none,14.699943,121.088400
2018-05-09 11:35:27,2018-05-08 09:12:25.614618,84:db:ac:38:07:8f,HUAWEI-E5330-078F,WPA2,-70,1,HuaweiTe,none,14.699937,121.088380
2018-05-09 11:35:29,2018-05-08 09:12:27.682036,e4:8d:8c:f7:a3:3a,ARK WiFi FOR RENT,OPN,-52,3,Routerbo,none,14.699943,121.088400
2018-05-09 11:52:01,2018-05-08 09:28:59.815561,fc:2d:5e:11:7a:22,photoavenue,WPA2,-48,2,Zte,none,14.700225,121.089638
2018-05-09 12:52:30,2018-05-08 10:29:29.247135,70:9f:2d:a0:9c:90,Di nabubulok,WPA2/WPA,-76,2,Zte,none,14.700092,121.088672
2018-05-09 11:35:27,2018-05-08 09:12:25.714930,90:61:0c:3e:a5:25,PLDTHOMEDSL42277,WPA2/WPA,-71,1,FidaInte,none,14.699937,121.088380
2018-05-09 12:10:33,2018-05-08 09:47:31.656423,28:f3:66:be:db:b0,Ferro,WPA2/WPA,-76,2,Shenzhen,none,14.700093,121.088672
2018-05-09 12:52:33,2018-05-08 10:29:31.788104,98:de:d0:7e:03:9e,ARK PC & PISONET PARTS COMPUTER ,WPA2/WPA,-61,3,Tp-LinkT,none,14.700078,121.088695
2018-05-09 11:35:34,2018-05-08 09:12:32.576898,88:d2:74:86:b2:77,restricted,WPA2/WPA,-62,5,Zte,none,14.699960,121.088445
2018-05-09 11:38:27,2018-05-08 09:15:25.618581,e4:18:6b:c0:6e:a0,PLDTMyDSLBiz07260,WPA2/WPA,-46,4,ZyxelCom,none,14.700347,121.089623
2018-05-09 11:35:33,2018-05-08 09:12:31.665639,c4:ab:b2:c1:3d:99,vivo 1606,WPA2,-68,6,VivoMobi,none,14.699958,121.088440
2018-05-09 11:38:06,2018-05-08 09:15:05.359703,c4:ab:b2:77:c7:a4,galjong,WPA2,-50,6,VivoMobi,none,14.700073,121.088957
2018-05-09 11:50:10,2018-05-08 09:27:09.028184,5c:e2:8c:c8:89:8d,EFLitex,WPA2/WPA,-72,5,ZyxelCom,none,14.700248,121.089187
2018-05-09 12:10:20,2018-05-08 09:47:18.926727,7c:11:cb:6f:98:60,B315_F9860,WPA2/WPA,-76,6,HuaweiTe,none,14.700060,121.088700
2018-05-09 11:36:36,2018-05-08 09:13:34.837678,d4:a1:48:6e:51:7d,good is God,WPA2/WPA,-62,6,HuaweiTe,none,14.700187,121.088857
2018-05-09 11:35:32,2018-05-08 09:12:31.410204,38:a2:8c:88:26:40,Mitsubishi Wireless TV 018,OPN,-89,36,Shenzhen,none,14.699957,121.088432
2018-05-09 11:36:18,2018-05-08 09:13:17.646995,34:23:ba:ed:50:9d,K Zoom,WPA2,-58,6,SamsungE,none,14.700227,121.088665
2018-05-09 11:35:36,2018-05-08 09:12:35.093154,fc:2d:5e:01:af:59,GLOBE_01AF59,WPA2/WPA,-78,8,Zte,none,14.699972,121.088445
2018-05-09 11:35:36,2018-05-08 09:12:35.003915,d0:04:92:11:8b:60,PLDTHOMEFIBRCRUZWIFI,WPA2/WPA,-75,8,Fiberhom,none,14.699972,121.088445
2018-05-09 11:38:30,2018-05-08 09:15:29.310333,c8:3a:35:38:9c:38,Tenda_389C38,WPA,-49,8,TendaTec,none,14.700365,121.089840
2018-05-09 11:51:33,2018-05-08 09:28:32.299997,5c:a8:6a:d9:30:45,HUAWEI-3045,WPA2,-75,9,HuaweiTe,none,14.700012,121.089107
2018-05-09 11:35:36,2018-05-08 09:12:35.723788,b8:55:10:2c:59:00,Serratia,WPA2/WPA,-92,9,ZioncomE,none,14.699972,121.088445
2018-05-09 11:51:17,2018-05-08 09:28:16.222378,3c:fa:43:1a:b5:ad,HUAWEI-B5AD,WPA2,-49,9,HuaweiTe,none,14.700023,121.089155
2018-05-09 11:35:40,2018-05-08 09:12:38.594708,34:ba:9a:53:0b:54,Smart_Bro_530B54,WPA2,-76,10,Asiatelc,none,14.699987,121.088473
2018-05-09 12:41:02,2018-05-08 10:18:01.164061,70:4f:57:36:6a:62,DYRAMEAN,WPA2,-81,11,Tp-LinkT,none,14.700115,121.088612
