Total APs,1104
PLDT,206
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-15 07:02:51,2018-05-14 23:02:52.063016,7c:8b:ca:28:14:54,ExPLDTHOMEFIBRbcc70,WPA2/WPA,-70,1,Tp-LinkT,Unidentified,14.706440,121.096537
2018-05-15 06:55:01,2018-05-14 22:55:01.802749,cc:06:77:73:64:d0,PLDTHOMEFIBR364d0,WPA2/WPA,-71,5,Fiberhom,Fiber,14.706262,121.095577
2018-05-15 06:55:02,2018-05-14 22:55:03.577539,f0:8c:fb:81:42:60,PLDTHOMEFIBRmayie,WPA2,-90,8,Fiberhom,Fiber,14.706262,121.095577
2018-05-15 07:04:28,2018-05-14 23:04:29.674100,f0:8c:fb:81:5a:b8,PLDTHOMEFIBR@Homies,WPA2/WPA,-68,4,Fiberhom,Fiber,14.706022,121.095763
2018-05-15 07:04:19,2018-05-14 23:04:20.213488,cc:06:77:b5:1c:90,PLDTWIFI2018,WPA2/WPA,-73,11,Fiberhom,Fiber,14.706105,121.095748
2018-05-15 07:04:56,2018-05-14 23:04:57.796817,bc:96:80:dc:d8:66,PLDTMyDSLSanPedroStreet,WPA2,-52,11,Shenzhen,Broadband,14.705725,121.095695
2018-05-15 07:56:45,2018-05-14 23:56:46.481582,00:13:33:ce:fc:c4,PLDTHOMEDSLnowifi,WPA2/WPA,-45,11,Baudtec,Broadband,14.706283,121.097543
2018-05-15 07:02:49,2018-05-14 23:02:50.585427,cc:06:77:5b:cc:70,PLDTHOMEFIBRbcc70,WPA2/WPA,-68,1,Fiberhom,Fiber,14.706437,121.096567
2018-05-15 07:21:55,2018-05-14 23:21:56.537692,d0:04:92:01:a3:90,PLDTHOMEFIBR_01a390,WPA2/WPA,-72,9,Fiberhom,Fiber,14.704593,121.095950
2018-05-15 06:56:40,2018-05-14 22:56:40.729129,cc:06:77:e2:73:20,PLDTHOMEFIBR27320,WPA2/WPA,-89,11,Fiberhom,Fiber,14.706630,121.096397
2018-05-15 06:56:41,2018-05-14 22:56:42.717979,d0:04:92:01:a2:68,PLDTHOMEFIBRNapinakapetmalu,WPA2/WPA,-79,10,Fiberhom,Fiber,14.706642,121.096398
2018-05-15 06:57:07,2018-05-14 22:57:08.135731,bc:c0:0f:d3:c9:68,PLDTFIBR,WPA2/WPA,-89,1,Fiberhom,Fiber,14.706923,121.096430
2018-05-15 06:56:48,2018-05-14 22:56:49.665938,f0:8c:fb:80:79:b0,PLDTHOMEFIBR_8079b0,WPA2/WPA,-88,1,Fiberhom,Fiber,14.706727,121.096402
2018-05-15 06:56:54,2018-05-14 22:56:54.838412,cc:06:77:e1:44:60,PLDTHOMEFIBR14460,WPA2/WPA,-82,5,Fiberhom,Fiber,14.706782,121.096393
2018-05-15 06:57:36,2018-05-14 22:57:37.328376,f0:8c:fb:80:5e:f8,PLDTHOMEFIBRrona ,WPA2/WPA,-49,9,Fiberhom,Fiber,14.707100,121.096527
2018-05-15 06:57:13,2018-05-14 22:57:14.357608,bc:c0:0f:c8:70:28,PLDTHOMEFIBR87028,WPA2/WPA,-87,5,Fiberhom,Fiber,14.707000,121.096425
