WigleWifi-1.4,appRelease=2.28,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
00:22:6b:8e:b5:6f,linksys,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:22,1,-69,14.6973706,121.09417116,130,12.13599967956543,WIFI
20:54:fa:35:26:ab,Pecson,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:22,1,-88,14.6973706,121.09417116,130,12.13599967956543,WIFI
5c:f2:86:2d:c1:53,Globe_LTE MIFI_C153,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:22,10,-75,14.6973706,121.09417116,130,12.13599967956543,WIFI
00:e0:20:3e:13:ef,mddpkr,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 08:46:22,1,-83,14.6973706,121.09417116,130,12.13599967956543,WIFI
51502_30229_209996271,Globe,HSPA;ph,2018-05-15 08:46:22,0,-91,14.6973706,121.09417116,130,12.13599967956543,GSM
00:22:6b:8e:b5:6f,linksys,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:22,1,-58,14.6973706,121.09417116,130,12.13599967956543,WIFI
8c:68:c8:c0:23:4c,bayanDSLWIFI_234C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:22,1,-78,14.6973706,121.09417116,130,12.13599967956543,WIFI
88:d2:74:86:ca:6c,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:22,1,-86,14.6973706,121.09417116,130,12.13599967956543,WIFI
00:22:6b:8e:b5:6f,linksys,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:22,1,-53,14.6973706,121.09417116,130,12.13599967956543,WIFI
00:1f:fb:b2:38:49,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 08:46:22,1,-74,14.6973706,121.09417116,130,12.13599967956543,WIFI
94:46:96:1d:43:ea,....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:22,1,-82,14.6973706,121.09417116,130,12.13599967956543,WIFI
20:54:fa:35:26:ab,Pecson,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:22,1,-82,14.6973706,121.09417116,130,12.13599967956543,WIFI
00:1f:fb:b2:8d:89,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 08:46:22,1,-85,14.6973706,121.09417116,130,12.13599967956543,WIFI
50:04:b8:7e:1d:fc,B315_E1DFC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:44,1,-78,14.6976242,121.09443294,130,25.788999557495117,WIFI
00:1f:fb:b2:38:49,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 08:46:44,1,-62,14.6976242,121.09443294,130,25.788999557495117,WIFI
94:46:96:1d:43:ea,....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:44,1,-67,14.6976242,121.09443294,130,25.788999557495117,WIFI
20:54:fa:35:26:ab,Pecson,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:44,1,-71,14.6976242,121.09443294,130,25.788999557495117,WIFI
00:1f:fb:b7:9e:03,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 08:46:44,11,-86,14.6976242,121.09443294,130,25.788999557495117,WIFI
88:d2:74:86:b2:f3,bayanDSLWIFI_B2F3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 08:46:44,5,-76,14.6976242,121.09443294,130,25.788999557495117,WIFI
20:54:fa:35:26:ab,Pecson,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:46:44,1,-64,14.6976242,121.09443294,130,25.788999557495117,WIFI
60:31:97:11:51:cd,PLDTMyDSLBiz51CC0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:47:06,13,-88,14.69740867,121.09452958,128,25.788999557495117,WIFI
90:61:0c:37:3f:4d,ShaJayKean,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:47:28,11,-82,14.69749174,121.0944773,121,13.652999877929688,WIFI
90:61:0c:33:54:dc,PLDTHOMEREPEATER354DC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:47:28,10,-88,14.69749174,121.0944773,121,13.652999877929688,WIFI
f0:8c:fb:81:67:98,SPHYRONETCAFE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:47:28,13,-88,14.69749174,121.0944773,121,13.652999877929688,WIFI
f0:8c:fb:81:67:99,,[ESS],2018-05-15 08:47:28,13,-90,14.69749174,121.0944773,121,13.652999877929688,WIFI
20:54:fa:35:26:ab,Pecson,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:47:28,1,-58,14.69749174,121.0944773,121,13.652999877929688,WIFI
bc:3f:8f:d5:3e:8c,Slow Connection...,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:47:50,2,-85,14.69739772,121.09434588,129,12.13599967956543,WIFI
c0:4a:00:d0:77:64,TP-LINK_SPHYRO,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 08:48:39,6,-72,14.69770974,121.09440921,141,9.101999282836914,WIFI
60:31:97:11:51:cd,PLDTMyDSLBiz51CC0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:48:39,13,-83,14.69770974,121.09440921,141,9.101999282836914,WIFI
d4:6e:0e:32:bb:d0,INAY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:48:39,48,-90,14.69770974,121.09440921,141,9.101999282836914,WIFI
60:31:97:11:51:ce,PLDTMyDSLBiz5G51CC0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:48:39,36,-87,14.69770974,121.09440921,141,9.101999282836914,WIFI
c4:ff:1f:55:fb:48,EstradaFamily,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 08:48:39,9,-87,14.69770974,121.09440921,141,9.101999282836914,WIFI
