First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 08:46:22,00:22:6b:8e:b5:6f,linksys,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-53,1,14.6973706,121.09417116
2018-05-15 08:47:28,20:54:fa:35:26:ab,Pecson,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-58,1,14.69749174,121.0944773
2018-05-15 08:46:22,5c:f2:86:2d:c1:53,Globe_LTE MIFI_C153,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-75,10,14.6973706,121.09417116
2018-05-15 08:46:22,00:e0:20:3e:13:ef,mddpkr,[WPA2-PSK-CCMP][WPS][ESS],-83,1,14.6973706,121.09417116
2018-05-15 08:46:22,51502_30229_209996271,Globe,HSPA;ph,-91,0,14.6973706,121.09417116
2018-05-15 08:46:22,8c:68:c8:c0:23:4c,bayanDSLWIFI_234C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-78,1,14.6973706,121.09417116
2018-05-15 08:46:22,88:d2:74:86:ca:6c,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-86,1,14.6973706,121.09417116
2018-05-15 08:46:44,00:1f:fb:b2:38:49,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],-62,1,14.6976242,121.09443294
2018-05-15 08:46:44,94:46:96:1d:43:ea,....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-67,1,14.6976242,121.09443294
2018-05-15 08:46:22,00:1f:fb:b2:8d:89,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],-85,1,14.6973706,121.09417116
2018-05-15 08:48:39,50:04:b8:7e:1d:fc,B315_E1DFC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-61,1,14.69770974,121.09440921
2018-05-15 08:49:40,00:1f:fb:b7:9e:03,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],-47,11,14.69817778,121.0949906
2018-05-15 08:46:44,88:d2:74:86:b2:f3,bayanDSLWIFI_B2F3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-76,5,14.6976242,121.09443294
1970-01-01 08:00:00,60:31:97:11:51:cd,PLDTMyDSLBiz51CC0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-81,13,14.697148103999998,121.09429521600002
2018-05-15 08:48:39,90:61:0c:37:3f:4d,ShaJayKean,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-68,11,14.69770974,121.09440921
2018-05-15 08:47:28,90:61:0c:33:54:dc,PLDTHOMEREPEATER354DC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-88,10,14.69749174,121.0944773
2018-05-15 08:49:01,f0:8c:fb:81:67:98,SPHYRONETCAFE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-67,13,14.69786862,121.09460169
2018-05-15 08:49:01,f0:8c:fb:81:67:99,,[ESS],-69,13,14.69786862,121.09460169
