Total APs,351
Fiber,25
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-15 11:03:50,2018-05-15 03:03:50.626141,f0:8c:fb:81:67:98,SPHYRONETCAFE,WPA2/WPA,-72,13,Fiberhom,Fiber,14.697957,121.094625
2018-05-15 11:05:54,2018-05-15 03:05:54.940558,cc:06:77:d8:01:28,PLDTHOMEFIBR80128,WPA2/WPA,-68,10,Fiberhom,Fiber,14.697257,121.093953
2018-05-15 11:06:22,2018-05-15 03:06:22.667136,cc:06:77:5b:a5:00,Kyla,WPA2/WPA,-86,11,Fiberhom,Fiber,14.697015,121.094042
2018-05-15 11:04:08,2018-05-15 03:04:08.811949,bc:c0:0f:20:63:68,PLDTHOMEFIBR06368,WPA2/WPA,-80,6,Fiberhom,Fiber,14.697673,121.094438
2018-05-15 11:05:27,2018-05-15 03:05:27.871928,74:cc:39:88:90:10,PLDTHOMEFIBR89010,WPA2/WPA,-69,11,Fiberhom,Fiber,14.697408,121.094180
2018-05-15 11:04:40,2018-05-15 03:04:40.856181,f0:8c:fb:81:67:99,xNonex,OPN,-91,13,Fiberhom,Fiber,14.697433,121.094198
2018-05-15 11:05:22,2018-05-15 03:05:23.658576,bc:c0:0f:be:75:f8,xNonex,WPA2/WPA,-89,1,Fiberhom,Fiber,14.697418,121.094183
2018-05-15 11:08:29,2018-05-15 03:08:30.009157,74:cc:39:c9:f4:b0,PLDTHOMEFIBR9f4b0,WPA2/WPA,-33,6,Fiberhom,Fiber,14.696550,121.094560
2018-05-15 11:09:31,2018-05-15 03:09:32.549627,74:cc:39:88:90:68,PLDTHOMEFIBR89068,WPA2/WPA,-85,2,Fiberhom,Fiber,14.696822,121.094277
2018-05-15 11:09:15,2018-05-15 03:09:16.283952,74:cc:39:8c:8a:08,AKCTRAVELANDTOURS,WPA2,-66,8,Fiberhom,Fiber,14.696727,121.094395
