Total APs,858
PLDT,144
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-05-15 20:17:35,2018-05-15 04:04:03.249806,90:61:0c:0d:9d:12,PLDTMyDSLFryst,WPA2/WPA,-56,11,FidaInte,Broadband,14.697930,121.094743
2018-05-15 19:34:39,2018-05-15 03:21:06.831985,90:61:0c:3a:61:c5,PLDTHOMEDSL25029,WPA2/WPA,-92,1,FidaInte,Broadband,14.698200,121.094860
2018-05-15 20:14:52,2018-05-15 04:01:20.132283,d0:04:92:01:46:b8,PLDTHOMEFIBR_0146b8,WPA2/WPA,-51,4,Fiberhom,Fiber,14.698290,121.095358
2018-05-15 20:15:22,2018-05-15 04:01:50.611960,90:61:0c:2f:3a:ad,PLDTHOMEDSL15021,WPA2/WPA,-78,11,FidaInte,Broadband,14.698008,121.095042
2018-05-15 19:35:30,2018-05-15 03:21:58.368406,00:13:33:cc:d4:71,PLDTHOMEDSL,WPA2/WPA,-70,11,Baudtec,Broadband,14.698212,121.094998
2018-05-15 19:35:50,2018-05-15 03:22:18.627916,00:13:33:e6:f9:78,PLDTHOMEDSL,WPA2/WPA,-64,11,Baudtec,Broadband,14.698363,121.095470
2018-05-15 19:36:06,2018-05-15 03:22:34.354069,90:61:0c:10:f8:e8,PLDTMyDSLMMCES,WPA2/WPA,-78,11,FidaInte,Broadband,14.698648,121.095550
2018-05-15 19:35:53,2018-05-15 03:22:21.504082,90:61:0c:3e:6e:b0,PLDTHOMEDSL28336,WPA2/WPA,-87,1,FidaInte,Broadband,14.698392,121.095525
2018-05-15 19:36:28,2018-05-15 03:22:56.414793,00:13:33:f5:8f:e5,PLDTHOMEDSL,WPA2/WPA,-65,1,Baudtec,Broadband,14.699058,121.095550
2018-05-15 19:36:12,2018-05-15 03:22:41.506580,00:13:33:dd:f0:ec,PLDTHOMEDSL,WPA2/WPA,-75,3,Baudtec,Broadband,14.698823,121.095575
2018-05-15 20:14:37,2018-05-15 04:01:04.957023,94:46:96:14:9b:60,PLDTHOMEDSLZMZD0,WPA2/WPA,-89,7,Baudtec,Broadband,14.698957,121.095543
2018-05-15 19:36:29,2018-05-15 03:22:57.287870,90:61:0c:2d:e2:c6,PLDTHOMEDSL58054,WPA2/WPA,-88,1,FidaInte,Broadband,14.699057,121.095560
2018-05-15 19:36:17,2018-05-15 03:22:45.182406,00:13:33:fe:40:68,PLDTHOMEDSL,WPA2/WPA,-83,6,Baudtec,Broadband,14.698927,121.095543
2018-05-15 19:36:28,2018-05-15 03:22:56.518305,90:61:0c:35:bb:4e,PLDTHOMEDSL47950,WPA2/WPA,-86,1,FidaInte,Broadband,14.699058,121.095550
2018-05-15 19:36:50,2018-05-15 03:23:18.455428,90:61:0c:35:68:5c,PLDTHOMEDSL26716,WPA2/WPA,-75,1,FidaInte,Broadband,14.699583,121.095247
2018-05-15 20:14:01,2018-05-15 04:00:29.001588,d0:04:92:01:c8:48,PLDTHOMEFIBRnofreewifi,WPA2/WPA,-81,9,Fiberhom,Fiber,14.700192,121.095338
2018-05-15 20:14:05,2018-05-15 04:00:33.359580,00:13:33:e3:d2:14,PLDTHOMEDSLjohnnybravo,WPA2/WPA,-66,11,Baudtec,Broadband,14.700088,121.095248
2018-05-15 19:36:42,2018-05-15 03:23:11.588718,94:fb:b2:45:a1:20,PLDTMyDSLost,WPA2/WPA,-85,11,Shenzhen,Broadband,14.699290,121.095452
2018-05-15 20:14:06,2018-05-15 04:00:34.689885,70:9f:2d:a0:44:9c,PLDTWiFi,WPA2/WPA,-84,1,Zte,Unidentified,14.700063,121.095235
2018-05-15 19:36:50,2018-05-15 03:23:18.277836,bc:c0:0f:c8:72:60,PLDTHOMEFIBR87260,WPA2/WPA,-84,1,Fiberhom,Fiber,14.699583,121.095247
2018-05-15 20:13:46,2018-05-15 04:00:13.956405,d0:04:92:01:c6:80,PLDTHOMEFIBR_01680,WPA2/WPA,-64,11,Fiberhom,Fiber,14.700737,121.095585
2018-05-15 20:13:43,2018-05-15 04:00:11.490471,d0:04:92:01:53:c8,PLDTHOMEFIBRDHELFER,WPA2/WPA,-59,12,Fiberhom,Fiber,14.700843,121.095675
2018-05-15 19:41:07,2018-05-15 03:27:35.539245,00:13:33:db:08:da,PLDTHOMEDSL,WPA2,-76,11,Baudtec,Broadband,14.700728,121.095195
2018-05-15 20:13:52,2018-05-15 04:00:20.601048,d0:04:92:01:ab:48,PLDTHOMEFIBR2529,WPA2/WPA,-79,3,Fiberhom,Fiber,14.700507,121.095447
2018-05-15 19:37:10,2018-05-15 03:23:38.249488,94:46:96:17:81:7a,PLDTHOMEDSLZIZE0,WPA2/WPA,-80,5,Baudtec,Broadband,14.700003,121.095423
2018-05-15 19:41:16,2018-05-15 03:27:44.554080,00:13:33:e5:2c:4f,PLDTHOMEDSL***,WPA2/WPA,-67,6,Baudtec,Broadband,14.700725,121.095327
2018-05-15 19:41:16,2018-05-15 03:27:44.467548,d0:04:92:01:47:a8,PLDTHOMEFIBR_0147a8,WPA2,-86,5,Fiberhom,Fiber,14.700725,121.095327
2018-05-15 19:40:45,2018-05-15 03:27:12.996437,94:46:96:0f:88:26,PLDTHOMEDSLASON,WPA2/WPA,-63,11,Baudtec,Broadband,14.700925,121.094672
2018-05-15 19:41:45,2018-05-15 03:28:13.441497,d0:04:92:02:8e:d0,PLDTHOMEFIBRANESCO,WPA2/WPA,-84,11,Fiberhom,Fiber,14.701025,121.095862
