WigleWifi-1.4,appRelease=2.28,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
70:4f:57:36:5c:10,JMC,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 19:35:21,1,-64,14.69806351,121.09491978,152,13.652999877929688,WIFI
00:26:75:ab:8b:f4,Lamda,[WPA-PSK-TKIP][WPA2-PSK-TKIP][WPS][ESS],2018-05-15 19:35:21,10,-80,14.69806351,121.09491978,152,13.652999877929688,WIFI
aa:a6:68:58:c8:33,Uno (SMART WiFi),[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 19:35:21,1,-75,14.69806351,121.09491978,152,13.652999877929688,WIFI
e4:77:23:a5:b9:3c,bayantel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,3,-73,14.69806351,121.09491978,152,13.652999877929688,WIFI
c4:ff:1f:55:fb:48,EstradaFamily,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,9,-71,14.69806351,121.09491978,152,13.652999877929688,WIFI
0a:18:1a:6f:3d:f8,Free Public Wifi - PipoI Konek,[ESS],2018-05-15 19:35:21,161,-78,14.69806351,121.09491978,152,13.652999877929688,WIFI
c0:4a:00:d0:77:64,TP-LINK_SPHYRO,[WPA2-PSK-CCMP][WPS][ESS],2018-05-15 19:35:21,6,-89,14.69806351,121.09491978,152,13.652999877929688,WIFI
f0:8c:fb:81:67:99,,[ESS],2018-05-15 19:35:21,13,-87,14.69806351,121.09491978,152,13.652999877929688,WIFI
d4:6e:0e:32:bb:d0,INAY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,48,-73,14.69806351,121.09491978,152,13.652999877929688,WIFI
50:a7:2b:72:de:83,dB SYNERGY wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,6,-83,14.69806351,121.09491978,152,13.652999877929688,WIFI
0a:18:0a:6f:3d:f8,Free Public Wifi - PipoI Konek,[ESS],2018-05-15 19:35:21,1,-60,14.69806351,121.09491978,152,13.652999877929688,WIFI
51502_30229_209980257,Globe,HSPA;ph,2018-05-15 19:35:21,0,-99,14.69806351,121.09491978,152,13.652999877929688,GSM
00:26:75:ab:8b:f4,Lamda,[WPA-PSK-TKIP][WPA2-PSK-TKIP][WPS][ESS],2018-05-15 19:35:21,10,-73,14.69806351,121.09491978,152,13.652999877929688,WIFI
c4:ff:1f:55:fb:48,EstradaFamily,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,9,-64,14.69806351,121.09491978,152,13.652999877929688,WIFI
0a:18:0a:6f:3d:f8,Free Public Wifi - PipoI Konek,[ESS],2018-05-15 19:35:21,1,-55,14.69806351,121.09491978,152,13.652999877929688,WIFI
d0:04:92:01:46:b8,PLDTHOMEFIBR_0146b8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,4,-75,14.69806351,121.09491978,152,13.652999877929688,WIFI
90:61:0c:0d:9d:12,PLDTMyDSLFryst,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-05-15 19:35:21,11,-81,14.69806351,121.09491978,152,13.652999877929688,WIFI
f0:8c:fb:81:67:99,,[ESS],2018-05-15 19:35:21,13,-81,14.69806351,121.09491978,152,13.652999877929688,WIFI
90:61:0c:0d:9d:12,PLDTMyDSLFryst,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-05-15 19:35:21,11,-65,14.69806351,121.09491978,152,13.652999877929688,WIFI
00:13:33:cc:d4:71,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,11,-66,14.69806351,121.09491978,152,13.652999877929688,WIFI
08:86:3b:32:1f:cc,belkin.fcc,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2018-05-15 19:35:21,7,-80,14.69806351,121.09491978,152,13.652999877929688,WIFI
c4:ff:1f:56:84:c8,HUAWEI-MtFG,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:21,1,-87,14.69806351,121.09491978,152,13.652999877929688,WIFI
d0:04:92:01:46:b8,PLDTHOMEFIBR_0146b8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:40,4,-64,14.69829151,121.09521594,137,10.618999481201172,WIFI
90:61:0c:0d:9d:12,PLDTMyDSLFryst,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-05-15 19:35:40,11,-60,14.69829151,121.09521594,137,10.618999481201172,WIFI
d4:61:2e:61:06:90,Kisslick,[WPA2-PSK-CCMP][ESS],2018-05-15 19:35:40,8,-66,14.69829151,121.09521594,137,10.618999481201172,WIFI
50:04:b8:7e:1d:fc,B315_E1DFC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:40,1,-87,14.69829151,121.09521594,137,10.618999481201172,WIFI
02:1a:11:ff:53:38,Biof-cGFwYXByaW50MDg,[ESS],2018-05-15 19:35:40,6,-82,14.69829151,121.09521594,137,10.618999481201172,WIFI
20:54:fa:4f:41:dc,HIGHJUMPER,[WPA2-PSK-CCMP][ESS],2018-05-15 19:35:40,1,-87,14.69829151,121.09521594,137,10.618999481201172,WIFI
02:1a:11:ff:53:38,Biof-cGFwYXByaW50MDg,[ESS],2018-05-15 19:35:40,6,-73,14.69829151,121.09521594,137,10.618999481201172,WIFI
94:46:96:18:ef:ce,steadtler,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:40,5,-87,14.69829151,121.09521594,137,10.618999481201172,WIFI
20:54:fa:4f:41:dc,HIGHJUMPER,[WPA2-PSK-CCMP][ESS],2018-05-15 19:35:40,1,-73,14.69829151,121.09521594,137,10.618999481201172,WIFI
e8:94:f6:8d:39:0e,Globe Broadband,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],2018-05-15 19:35:40,3,-74,14.69829151,121.09521594,137,10.618999481201172,WIFI
00:13:33:e6:f9:78,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:40,11,-73,14.69829151,121.09521594,137,10.618999481201172,WIFI
34:ce:00:7f:23:fe,bon_25_converge_plus,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-05-15 19:35:40,5,-87,14.69829151,121.09521594,137,10.618999481201172,WIFI
c4:ff:1f:56:e4:dc,bon_25_converge,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:40,5,-89,14.69829151,121.09521594,137,10.618999481201172,WIFI
e0:8e:3c:22:6c:3f,KKK,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:40,1,-80,14.69829151,121.09521594,137,10.618999481201172,WIFI
98:de:d0:ee:0a:36,,[WPA2-PSK-CCMP][ESS],2018-05-15 19:35:58,11,-86,14.69865361,121.09547421,131,9.101999282836914,WIFI
d4:61:2e:61:06:90,Kisslick,[WPA2-PSK-CCMP][ESS],2018-05-15 19:35:58,8,-57,14.69865361,121.09547421,131,9.101999282836914,WIFI
d0:04:92:01:a0:d8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:58,4,-81,14.69865361,121.09547421,131,9.101999282836914,WIFI
c4:ff:1f:56:e4:dc,bon_25_converge,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:58,5,-84,14.69865361,121.09547421,131,9.101999282836914,WIFI
90:61:0c:10:f8:e8,PLDTMyDSLMMCES,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2018-05-15 19:35:58,11,-76,14.69865361,121.09547421,131,9.101999282836914,WIFI
94:46:96:14:9b:60,PLDTHOMEDSLZMZD0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:58,7,-88,14.69865361,121.09547421,131,9.101999282836914,WIFI
e4:77:23:a6:2b:64,IPMC CAAYOHAN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-05-15 19:35:58,9,-81,14.69865361,121.09547421,131,9.101999282836914,WIFI
