First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 19:35:21,70:4f:57:36:5c:10,JMC,[WPA2-PSK-CCMP][WPS][ESS],-64,1,14.69806351,121.09491978
2018-05-15 20:15:04,00:26:75:ab:8b:f4,Lamda,[WPA-PSK-TKIP][WPA2-PSK-TKIP][WPS][ESS],-62,10,14.69821687,121.09511299
2018-05-15 20:17:05,aa:a6:68:58:c8:33,Uno (SMART WiFi),[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-70,1,14.69777575,121.0945598
2018-05-15 20:17:23,e4:77:23:a5:b9:3c,bayantel,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-64,3,14.69800452,121.09509297
2018-05-15 20:15:21,c4:ff:1f:55:fb:48,EstradaFamily,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-55,9,14.69803919,121.09494331
2018-05-15 20:17:05,0a:18:1a:6f:3d:f8,Free Public Wifi - PipoI Konek,[ESS],-72,161,14.69777575,121.0945598
2018-05-15 20:17:05,c0:4a:00:d0:77:64,TP-LINK_SPHYRO,[WPA2-PSK-CCMP][WPS][ESS],-64,6,14.69777575,121.0945598
2018-05-15 20:15:21,f0:8c:fb:81:67:99,,[ESS],-51,13,14.69803919,121.09494331
2018-05-15 20:15:04,d4:6e:0e:32:bb:d0,INAY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-70,48,14.69821687,121.09511299
2018-05-15 19:35:21,50:a7:2b:72:de:83,dB SYNERGY wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-83,6,14.69806351,121.09491978
2018-05-15 20:17:05,0a:18:0a:6f:3d:f8,Free Public Wifi - PipoI Konek,[ESS],-50,1,14.69777575,121.0945598
2018-05-15 19:35:21,51502_30229_209980257,Globe,HSPA;ph,-99,0,14.69806351,121.09491978
2018-05-15 20:14:47,d0:04:92:01:46:b8,PLDTHOMEFIBR_0146b8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-59,4,14.69842329,121.0953265
2018-05-15 20:14:47,90:61:0c:0d:9d:12,PLDTMyDSLFryst,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-55,11,14.69842329,121.0953265
2018-05-15 19:35:21,00:13:33:cc:d4:71,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-66,11,14.69806351,121.09491978
