SSID,Net ID,TriLat,TriLong,Encryption,Channel,Type,Trans ID,First Time,Last Time,Last Updt
linksys,00:12:17:DB:C7:F3,14.69942856,121.10014343,wep,6,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
PLDTHOMEDSLNALZARO,00:13:33:CE:E2:43,14.7000761,121.09123993,wpa2,11,infra,20160315-00000,"2001-01-01, 05:00:00 PM","2016-03-16, 06:00:00 AM","2016-03-16, 06:00:00 AM"
PLDTHOMEDSL,00:13:33:C6:DE:0E,14.69803143,121.09059143,wpa2,11,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
linksys,00:1A:70:53:F0:E2,14.69912434,121.10221863,none,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
KEISHA,00:1B:11:3C:2C:61,14.69935322,121.10236359,wep,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
Conference Guest Wifi,00:1A:8C:08:05:41,14.69707394,121.09632111,none,1,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
linksys,00:18:39:EB:BF:30,14.70044231,121.10298157,none,6,infra,20130506-00000,"2013-05-06, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
cmod,00:1A:70:F2:C1:E3,14.6973381,121.09849548,wpa,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Dealino Home Network,00:18:39:F4:32:F7,14.70015621,121.1029129,wpa2,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
linksys,00:1E:E5:48:42:22,14.69719791,121.09884644,none,11,infra,20130507-00000,"2013-05-07, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Conference Guest Wifi,00:1A:8C:08:05:40,14.69707394,121.09632111,none,1,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
i miss you popoy,00:22:3F:9B:E0:24,14.69942665,121.10023499,wpa2,8,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Raud,00:22:6B:6F:9B:73,14.69808292,121.09955597,wpa2,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
kurtwifi,00:1F:FB:75:1B:64,14.69948864,121.10001373,wpa,11,infra,20130506-00000,"2013-05-06, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
