Last Updt,Last Time,MAC,SSID,Encryption,Channel,Latitude,Longitude
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b1,@AyalaMalls_GoWiFi,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b4,@GoWiFi_Auto,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b6,YTFanfest,wpa2,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:73,None,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:75,None,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:78,YTFanfest,wpa2,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b3,None,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b5,None,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,5c:f2:86:22:67:b0,BROADWAY917,wpa2,7,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b0,None,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:77,@AyalaMalls_GoWiFi,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,90:61:0c:17:32:03,Bayo_Trinoma,wpa2,11,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,00:26:75:e9:a3:54,Juego_Tri,wpa,7,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,90:61:0c:1d:e1:6f,Elite Garments,wpa2,11,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,00:26:75:ea:ed:34,Figaro,wpa,4,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:68:b2,None,unknown,36,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:74,@GoWiFi_Auto,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:72,None,unknown,255,14.70270157,121.09915924
2017-06-09 13:00:00,2017-06-09 13:00:00,b4:5d:50:38:6d:76,None,unknown,255,14.70270157,121.09915924
2015-07-26 08:00:00,2015-02-16 14:00:00,aa:a6:68:21:a6:ab,V23XCE_01,wpa2,13,14.70133972,121.09580231
2016-03-16 06:00:00,2016-03-16 06:00:00,00:13:33:ce:e2:43,PLDTHOMEDSLNALZARO,wpa2,11,14.7000761,121.09123993
