Total APs,5791
PLDT,1051
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-03-14 13:39:07.568157,2018-03-14 13:39:07.568157,00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,-70,11,Baudtec,Broadband,14.650207,121.052700
2018-03-14 13:28:06.059985,2018-03-14 13:28:06.059985,90:61:0c:19:3d:ec,PLDTHOMEDSL,WPA2/WPA,-86,11,FidaInte,Broadband,14.651535,121.055158
2018-03-14 13:28:36.005146,2018-03-14 13:28:36.005146,cc:06:77:5e:c6:e8,PLDTHOMEFIBRec6e8,WPA2/WPA,-77,5,Fiberhom,Fiber,14.650357,121.056680
2018-03-14 13:29:03.314492,2018-03-14 13:29:03.314492,90:61:0c:1f:9e:28,PLDTHOMEDSL,WPA2/WPA,-83,11,FidaInte,Broadband,14.648725,121.056950
2018-03-14 13:29:09.554068,2018-03-14 13:29:09.554068,bc:c0:0f:bf:79:80,PLDTHOMEFIBRf7980,WPA2/WPA,-76,1,Fiberhom,Fiber,14.648393,121.057012
2018-03-14 13:29:47.470001,2018-03-14 13:29:47.470001,00:13:33:fa:b8:da,PLDTHOMEDSLWS,WPA2/WPA,-87,1,Baudtec,Broadband,14.646523,121.058445
2018-03-14 13:29:52.325026,2018-03-14 13:29:52.325026,bc:c0:0f:1e:90:90,PLDTHOMEFIBRe9090,WPA2/WPA,-81,7,Fiberhom,Fiber,14.646425,121.058712
2018-03-14 13:30:22.498197,2018-03-14 13:30:22.498197,00:13:33:fa:b9:f7,PLDTHOMEDSL,WPA2/WPA,-85,1,Baudtec,Broadband,14.646310,121.059222
2018-03-14 13:31:22.009709,2018-03-14 13:31:22.009709,90:61:0c:40:d8:7e,PLDTHOMEDSL55422,WPA2/WPA,-76,1,FidaInte,Broadband,14.645535,121.060845
2018-03-14 13:31:33.537351,2018-03-14 13:31:33.537351,94:46:96:16:11:b9,PLDTHOMEDSL4T4K0,WPA2/WPA,-78,11,Baudtec,Broadband,14.644850,121.060953
2018-03-14 13:33:36.666495,2018-03-14 13:33:36.666495,4c:81:20:92:da:a2,PLDTHOMEDSL2DAA2,WPA2,-68,4,TaicangT,Broadband,14.642703,121.057432
2018-03-14 13:33:21.221472,2018-03-14 13:33:21.221472,f0:8c:fb:81:bd:28,PLDTHOMEFIBR_Malingap,WPA2,-81,6,Fiberhom,Fiber,14.642837,121.058202
2018-03-14 13:34:10.322794,2018-03-14 13:34:10.322794,00:13:33:f2:84:33,PLDTHOMEDSL,WPA2/WPA,-91,1,Baudtec,Broadband,14.642945,121.055893
2018-03-14 13:34:15.216281,2018-03-14 13:34:15.216281,f4:9e:ef:a0:cf:8c,PLDTHOMEDSL0CF8C,WPA2/WPA,-90,5,TaicangT,Broadband,14.643253,121.055813
