Total No. of APs,1144
Density,15.4594594595
Max,51
Min,1
Box No.,Total AP,Time Spent,Avg Speed,Traversal
0,29,165,20.5264969734,23
1,46,118,24.6771532775,18
2,11,55,21.5694096313,8
3,13,30,23.8647930303,13
4,35,126,24.2907518241,17
5,32,152,20.5749931861,19
6,21,99,13.6206605204,15
7,0,0,0,0
8,0,0,0,0
9,3,11,15.8967126822,1
10,9,23,9.32618987375,1
11,21,124,13.9943644251,14
12,14,41,24.1440756755,6
13,13,27,25.9430030981,6
14,13,100,18.0238768014,7
15,24,189,15.1206792181,17
16,49,196,17.0479530654,17
17,51,178,18.4434504918,15
18,10,32,21.3500195414,11
19,2,7,21.4577074215,1
20,23,34,16.8734354162,5
21,0,0,0,0
22,3,6,29.6176867029,3
23,16,67,12.8374422344,7
24,11,20,26.9062554757,3
25,11,29,24.7652774714,3
26,4,11,17.5789709104,3
27,37,182,19.169482664,14
28,4,18,7.37444837893,1
29,17,39,15.3072591538,4
30,4,8,20.7234584912,1
31,9,9,19.027202452,1
32,14,26,12.8117591307,2
33,5,17,18.9622925968,2
34,0,1,24.939268106,1
35,13,21,24.9271677561,3
36,31,75,21.3321089775,10
37,19,28,22.2575324592,6
38,12,40,11.0811971776,3
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,5,13,17.7839721433,1
43,14,33,16.2578816271,3
44,13,15,30.4935613551,3
45,11,34,12.6161924021,3
46,29,91,16.5155326108,9
47,17,87,12.1122791606,6
48,5,7,24.1440647323,1
49,10,8,20.3424059602,1
50,3,8,19.8759415807,1
51,0,1,25.3298805052,1
52,21,59,13.2471397734,3
53,18,46,12.3673189385,4
54,23,125,2.65545310588,3
55,25,113,5.50329090429,6
56,9,16,18.9278029538,3
57,11,7,23.5195757922,1
58,13,11,15.2326555246,1
59,4,5,21.9171112571,1
60,9,10,16.7859688469,1
61,0,0,0,0
62,0,0,0,0
63,39,31,19.8613244634,3
64,6,16,21.9121079627,2
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,14,9,17.1812809499,1
69,0,0,0,0
70,0,0,0,0
71,19,23,22.9048194679,3
72,20,29,16.2117915514,3
73,2,10,16.7541175241,1
74,10,29,18.4368556192,3
75,12,38,19.7806190359,4
76,28,68,14.4228735994,5
77,26,61,18.4514312122,4
78,26,19,24.1725150504,3
79,22,41,11.6347819721,4
80,20,60,16.9643146341,5
81,3,21,22.5476358843,3
82,1,4,28.833597063,1
83,0,0,0,0
84,0,0,0,0
85,5,7,21.8167589799,1
86,0,0,0,0
87,0,0,0,0
88,0,0,0,0
89,0,0,0,0
90,9,6,24.4291239416,1
91,3,1,16.7853949717,1
92,0,0,0,0
93,0,0,0,0
94,0,0,0,0
95,0,0,0,0
96,10,9,19.620132343,1
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
