GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-03-22 20:51:52.965751,2018-03-22 20:51:52.965751,70:5a:9e:da:57:29,SKYbroadband5726,WPA2/WPA,-86,6,Technico,Broadband,14.647155,121.057442
2018-03-22 21:29:55.584056,2018-03-22 21:29:55.584056,90:61:0c:2d:ad:fb,ITAG.MANILA,WPA2,-85,11,FidaInte,Unidentified,14.647022,121.057602
2018-04-02 00:23:24.932175,2018-04-02 00:23:24.932175,dc:ee:06:cf:a4:74,Smart_Bro_CFA474,OPN,-60,2,HuaweiTe,Unidentified,14.647227,121.057495
2018-04-02 00:23:30.769601,2018-04-02 00:23:30.769601,cc:79:cf:f2:f2:15,Mitsubishi Wireless TV 659,OPN,-71,36,Shenzhen,Not an AP,14.647022,121.05739
2018-04-03 00:34:08.006407,2018-04-03 00:34:08.006407,00:26:75:f6:01:38,Aztech5018_6013A,WPA,-65,10,AztechEl,Unidentified,14.647148,121.05762
2018-04-03 00:37:57.138651,2018-04-03 00:37:57.138651,f0:98:38:07:d0:98,BLUE_EYES,WPA2/WPA,-73,11,HuaweiTe,Unidentified,14.646982,121.057327
2018-04-03 01:53:12.000340,2018-04-03 01:53:12.000340,1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,-75,4,None,Broadband,14.647053,121.057468
2018-04-05 13:14:10,2018-04-03 14:39:37.795230,bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,WPA2/WPA,-50,5,Fiberhom,Fiber,14.647073,121.057473
2018-04-05 13:14:12,2018-04-03 14:39:39.703440,00:13:33:d3:4b:09,PLDTHOMEDSL,WPA2/WPA,-73,6,Baudtec,Broadband,14.647022,121.057452
2018-04-05 12:52:49,2018-04-03 14:18:16.102506,90:61:0c:2e:a7:39,PLDTHOMEDSL42809,WPA2/WPA,-66,1,FidaInte,Broadband,14.646872,121.057317
2018-04-05 14:30:19,2018-04-03 15:19:27.678138,fa:8f:ca:68:dd:3c,xNonex,OPN,-84,11,None,Unidentified,14.647087,121.057535
2018-04-05 13:41:28,2018-04-03 14:30:37.269460,f2:9f:c2:91:17:d9,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-80,6,None,Unidentified,14.646997,121.057633
2018-04-05 14:06:58,2018-04-03 14:56:06.375391,90:61:0c:3a:4b:6e,PLDTHOMEDSL19310,WPA2/WPA,-71,1,FidaInte,Broadband,14.647147,121.057583
2018-04-05 13:41:25,2018-04-03 14:30:33.541745,ac:f9:70:ec:e7:f4,HomeWifi,WPA2/WPA,-80,4,HuaweiTe,Unidentified,14.647107,121.05752
2018-04-10 17:20:23,2018-04-03 15:35:19.338020,00:26:75:ea:a8:cc,foureyes,WPA,-82,10,AztechEl,Unidentified,14.64693,121.057352
2018-04-10 17:20:30,2018-04-03 15:35:26.891552,d0:b2:c4:57:23:67,arbalest,WPA2/WPA,-80,1,Technico,Unidentified,14.647122,121.05745
2018-04-13 13:44:05,2018-04-03 17:31:58.549086,c8:93:46:cc:21:05,Think_CC2105,WPA2/WPA,-73,6,Mxchip,Not an AP,14.647213,121.057623
2018-03-14 13:29:37.524170,2018-03-14 13:29:37.524170,c8:93:46:48:70:90,Think_487090,WPA2,-76,7,Mxchip,Not an AP,14.646855,121.05785
2018-03-14 13:29:36.277617,2018-03-14 13:29:36.277617,c8:93:46:48:4c:43,Think_484C43,WPA2,-68,7,Mxchip,Not an AP,14.64689,121.05779
2018-03-14 13:29:36.825566,2018-03-14 13:29:36.825566,c8:93:46:48:4c:7f,Think_484C7F,WPA2,-69,8,Mxchip,Not an AP,14.64689,121.05779
2018-03-14 13:29:38.564990,2018-03-14 13:29:38.564990,5c:6a:80:a3:6f:2b,UndefeatedBarbershop,WPA2/WPA,-68,9,ZyxelCom,Unidentified,14.64682,121.057908
2018-04-02 00:45:58.018893,2018-04-02 00:45:58.018893,fe:ec:da:07:01:a2,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-76,6,None,Unidentified,14.647135,121.057658
2018-04-02 00:45:57.803452,2018-04-02 00:45:57.803452,a0:f3:c1:a4:4d:8a,Elenita,WPA2/WPA,-81,6,Tp-LinkT,Unidentified,14.647135,121.057658
2018-04-02 00:46:01.510944,2018-04-02 00:46:01.510944,34:ba:9a:4f:d6:58,xNonex,WPA2,-65,8,Asiatelc,Unidentified,14.647025,121.057788
2018-04-02 00:46:18.782629,2018-04-02 00:46:18.782629,e4:7d:eb:0f:16:e7,R01_F16E7,WPA2,-68,9,Shanghai,Unidentified,14.646843,121.058093
2018-04-02 00:46:13.848340,2018-04-02 00:46:13.848340,c8:93:46:cc:21:da,Think_CC21DA,WPA2/WPA,-78,6,Mxchip,Not an AP,14.646842,121.058088
2018-04-03 00:37:43.844256,2018-04-03 00:37:43.844256,cc:06:77:e1:80:f8,Cerebrew,WPA,-65,11,Fiberhom,Fiber,14.646932,121.057793
2018-04-03 01:19:44.970845,2018-04-03 01:19:44.970845,90:61:0c:2d:d3:09,tom&jerry,WPA2,-55,11,FidaInte,Unidentified,14.646818,121.057925
2018-04-03 00:37:40.687482,2018-04-03 00:37:40.687482,90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,-61,11,FidaInte,Unidentified,14.646807,121.05798
2018-04-03 00:34:10.714142,2018-04-03 00:34:10.714142,90:61:0c:40:de:0c,PLDTHOMEDSL56844,WPA2/WPA,-78,11,FidaInte,Broadband,14.647065,121.057715
2018-04-03 01:19:44.070561,2018-04-03 01:19:44.070561,60:31:97:dc:e7:f0,The Wander Space Project,WPA2/WPA,-75,12,ZyxelCom,Unidentified,14.646812,121.057972
2018-04-03 00:34:16.715990,2018-04-03 00:34:16.715990,48:f8:b3:0f:d9:65,MotorGirl,WPA2,-56,1,Cisco-Li,Unidentified,14.646805,121.058077
2018-04-03 01:19:49.456099,2018-04-03 01:19:49.456099,c8:93:46:48:56:58,Think_485658,WPA2,-76,3,Mxchip,Not an AP,14.646918,121.057785
2018-04-03 01:18:04.429524,2018-04-03 01:18:04.429524,90:61:0c:3a:11:bd,PLDTHOMEDSL04541,WPA2/WPA,-80,11,FidaInte,Broadband,14.64697,121.05777
2018-04-03 01:49:47.273298,2018-04-03 01:49:47.273298,1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,-65,4,ZyxelCom,Broadband,14.646877,121.05793
2018-04-05 12:49:20,2018-04-03 14:14:47.666296,78:c1:a7:03:9e:ec,Pebble,WPA,-43,1,Zte,Unidentified,14.64695,121.057743
2018-04-05 12:51:52,2018-04-03 14:17:19.233602,78:c1:a7:23:48:66,4C Block U,WPA,-69,1,Zte,Unidentified,14.646825,121.058037
2018-04-05 13:44:48,2018-04-03 14:33:56.128954,00:13:33:db:90:5c,PLDTHOMEDSL,WPA2/WPA,-66,11,Baudtec,Broadband,14.646873,121.057882
2018-04-05 13:41:29,2018-04-03 14:30:37.421610,36:69:87:a1:89:8f,NATOR 1O,WPA2/WPA,-72,6,None,Unidentified,14.646967,121.057672
2018-04-05 14:30:25,2018-04-03 15:19:33.312592,c8:93:46:48:60:c6,Think_4860C6,WPA2,-74,2,Mxchip,Not an AP,14.646868,121.057828
2018-04-05 14:30:25,2018-04-03 15:19:33.464055,c8:93:46:48:4c:ae,Think_484CAE,WPA2,-74,2,Mxchip,Not an AP,14.646868,121.057828
2018-04-13 13:44:07,2018-04-03 17:32:00.386299,cc:06:77:21:70:80,zab,WPA2/WPA,-63,7,Fiberhom,Fiber,14.647163,121.05773
2018-04-13 13:44:08,2018-04-03 17:32:01.850159,c8:93:46:48:50:5b,Think_48505B,WPA2,-63,7,Mxchip,Not an AP,14.647133,121.057795
2018-04-13 13:44:11,2018-04-03 17:32:04.577739,00:24:a5:d7:87:d3,BuraotNET-G-AES,WPA,-82,10,Buffalo,Unidentified,14.647068,121.05797
2018-04-02 00:46:25.418717,2018-04-02 00:46:25.418717,f4:f2:6d:94:56:14,OrangeSegment1,WPA2,-68,1,Tp-LinkT,Unidentified,14.646787,121.058172
