GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 11:56:52,2018-02-16 10:00:00,18:a6:f7:8e:ef:ac,PSCSEND-Conference,WPA2/WPA,-75,1,Tp-LinkT,Unidentified,14.646527,121.060667
2018-04-24 11:57:29,2017-10-26 14:00:00,e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,WPA2/WPA,-79,2,AztechEl,Broadband,14.646492,121.060640
2018-04-24 12:02:52,2018-02-16 10:00:00,f0:9f:c2:3d:d6:40,Social Weather Stations,WPA2,-74,6,Ubiquiti,Unidentified,14.643018,121.060910
2018-04-24 12:02:54,2018-02-16 10:00:00,f2:9f:c2:3d:d6:40,SWS Guest,WPA2,-72,6,None,Unidentified,14.643003,121.060903
2018-04-24 12:56:36,2018-02-16 10:00:00,20:aa:4b:56:cf:ad,SPCC,WPA2/WPA,-90,11,Cisco-Li,Unidentified,14.645877,121.058758
2018-04-24 13:05:33,2017-07-29 21:00:00,0c:f4:d5:15:99:28,#SmartWifi @StrEATMag,OPN,-60,1,RuckusWi,Unidentified,14.646473,121.058793
2018-04-24 12:50:17,2017-07-29 21:00:00,d2:5b:a8:f8:d5:d9,PadrePio,WPA2/WPA,-82,1,None,Unidentified,14.647135,121.057263
2018-04-24 13:04:51,2017-07-15 09:00:00,34:bf:90:39:95:78,PLDTHOMEFIBR578,WPA,-92,11,Fiberhom,Fiber,14.646173,121.058863
2018-04-24 13:06:26,2017-03-03 15:00:00,84:1b:5e:76:29:70,Munays,WPA2/WPA,-91,11,Netgear,Unidentified,14.646618,121.058210
2018-04-24 13:06:29,2017-03-03 15:00:00,02:15:99:b6:54:c8,DIRECT-tgSCX-3400,WPA2,-78,1,None,Unidentified,14.646635,121.058187
2018-04-24 13:17:37,2017-07-29 21:00:00,74:cc:39:ba:cd:f0,Bos Backoffice,WPA2/WPA,-79,1,Fiberhom,Fiber,14.646297,121.059650
