GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-04-02 00:46:03.437788,2016-09-08 03:00:00,34:bf:90:38:94:28,xNonex,WPA,-87,11,Fiberhom,Fiber,14.646962,121.05788,1,118,24.6771532775,18,1,"04/02/2018, "
2018-04-05 14:10:32,2017-04-04 12:00:00,a0:8c:fd:0d:68:44,DIRECT-3D-HP DeskJet 3830 series,WPA2,-68,6,HewlettP,Not an AP,14.647008,121.057705,1,118,24.6771532775,18,7,"04/05/2018, "
2018-03-14 13:29:43.055522,2017-07-29 21:00:00,a4:2b:b0:c1:4c:87,SKYbroadband7B2C_EXT,WPA2/WPA,-81,11,Tp-LinkT,Broadband,14.646688,121.058147,4,126,24.2907518241,17,1,"03/14/2018, "
2018-03-14 13:29:52.325026,2017-07-29 21:00:00,bc:c0:0f:1e:90:90,PLDTHOMEFIBRe9090,WPA2/WPA,-81,7,Fiberhom,Fiber,14.646425,121.058712,5,152,20.5749931861,19,2,"03/22/2018, 03/14/2018, "
2018-04-03 01:50:02.635606,2017-04-04 12:00:00,28:9a:fa:47:44:f8,smart wireless,WPA2,-87,3,TctMobil,Hotspot,14.646428,121.058838,5,152,20.5749931861,19,1,"04/03/2018, "
2018-04-03 00:37:06.843952,2017-07-29 21:00:00,1a:4f:32:45:96:6b,DIRECT-Jx-BRAVIA,WPA2,-73,11,None,Not an AP,14.64629,121.059525,16,196,17.0479530654,17,7,"04/03/2018, "
2018-04-05 14:07:44,2017-07-29 21:00:00,74:cc:39:c0:f1:08,PLDTHOMEFIBR0f108,WPA2/WPA,-85,9,Fiberhom,Fiber,14.64631,121.059638,16,196,17.0479530654,17,2,"04/05/2018, "
2018-03-14 13:31:02.625460,2017-07-29 21:00:00,94:a7:b7:3c:f9:7c,55tinta,WPA2/WPA,-90,1,Zte,Unidentified,14.646092,121.060072,17,178,18.4434504918,15,1,"03/14/2018, "
2018-04-05 13:42:31,2017-07-15 09:00:00,e0:8e:3c:16:58:8d,cosme,WPA2/WPA,-86,10,AztechEl,Unidentified,14.646085,121.060213,17,178,18.4434504918,15,1,"04/05/2018, "
2018-04-03 01:52:07.396086,2017-07-29 21:00:00,48:00:33:62:97:e9,SKYMAGINHAWA,WPA2/WPA,-83,11,Technico,Unidentified,14.645722,121.060512,27,182,19.169482664,14,7,"04/03/2018, 04/05/2018, 03/22/2018, 04/03/2018, "
2018-03-22 21:17:38.423371,2013-03-11 22:00:00,54:04:a6:bd:7d:dc,MLO,WPA2/WPA,-62,6,AsustekC,Unidentified,14.645092,121.057245,29,39,15.3072591538,4,2,"03/22/2018, 04/02/2018, "
2018-04-02 00:24:21.572494,2013-03-11 22:00:00,4c:09:b4:a3:16:c9,bayanDSL,WPA,-87,4,Zte,Broadband,14.645382,121.057247,29,39,15.3072591538,4,1,"04/02/2018, "
2018-03-14 13:31:33.390259,2018-02-16 10:00:00,e0:8e:3c:26:15:1c,FINNLEY,WPA,-75,11,AztechEl,Unidentified,14.64485,121.060953,46,91,16.5155326108,9,1,"03/14/2018, "
2018-04-03 00:35:54.143321,2018-02-16 10:00:00,e0:8e:3c:1b:9e:cf,Bloom n Dash,WPA2/WPA,-53,1,AztechEl,Unidentified,14.644957,121.060937,46,91,16.5155326108,9,17,"03/14/2018, 04/05/2018, 04/03/2018, "
2018-04-05 14:08:27,2017-07-29 21:00:00,0a:47:c9:46:96:23,xNonex,WPA2,-78,11,None,Unidentified,14.64453,121.060968,55,113,5.50329090429,6,5,"04/05/2018, 04/03/2018, 03/14/2018, 04/05/2018, "
2018-04-03 02:05:01.572169,2017-09-30 02:00:00,e6:8d:8c:5a:8d:b7,Globo-Associates,OPN,-69,6,None,Unidentified,14.643912,121.060965,63,31,19.8613244634,3,4,"03/14/2018, 04/03/2018, 04/05/2018, "
2018-04-05 14:21:12,2018-02-16 10:00:00,f0:98:38:72:f0:84,HUAWEI-q7G8,WPA2/WPA,-86,1,HuaweiTe,Unidentified,14.643932,121.061017,63,31,19.8613244634,3,3,"03/14/2018, 04/03/2018, 04/05/2018, "
2018-03-14 13:32:18.282559,2018-02-16 10:00:00,9c:6f:52:35:18:64,bayanDSLWIFI_1864,WPA2/WPA,-68,2,Zte,Broadband,14.643382,121.061075,71,23,22.9048194679,3,7,"04/03/2018, 04/05/2018, 03/14/2018, "
2018-04-03 02:04:44.384519,2017-09-30 02:00:00,e6:8d:8c:5a:8d:b8,Globo-Guest,OPN,-75,6,None,Unidentified,14.6434,121.060977,71,23,22.9048194679,3,2,"04/03/2018, 04/05/2018, "
