GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 11:57:55,2018-04-24 03:57:56.241064,90:f6:52:30:cb:26,For Programmer Only,WPA2/WPA,-71,6,Tp-LinkT,Unidentified,14.646407,121.060808
2018-04-24 12:14:07,2018-04-24 04:14:08.296060,d0:13:fd:4f:83:ba,V20_1573,WPA2,-25,11,LgElectr,Unidentified,14.642775,121.058032
2018-04-24 11:57:04,2018-04-24 03:57:04.928481,98:e7:f5:69:22:85,B315_92285,WPA2/WPA,-90,11,HuaweiTe,Unidentified,14.646555,121.060670
2018-04-24 11:57:26,2018-04-24 03:57:27.009531,e4:77:23:a5:9a:84,RMotel Bayan,WPA2/WPA,-75,13,Zte,Unidentified,14.646507,121.060637
2018-04-24 11:56:52,2018-04-24 03:56:52.961387,4c:5e:0c:a2:0c:3b,BaseOne,WPA2/WPA,-79,1,Routerbo,Unidentified,14.646527,121.060667
2018-04-24 11:56:52,2018-04-24 03:56:52.996025,4e:5e:0c:a2:0c:3b,BaseOnev03,WPA2/WPA,-82,1,None,Unidentified,14.646527,121.060667
2018-04-24 11:57:08,2018-04-24 03:57:09.005179,e0:8e:3c:1f:e9:c3,PSCSEND-Office,WPA2/WPA,-75,1,AztechEl,Unidentified,14.646543,121.060665
2018-04-24 11:57:09,2018-04-24 03:57:10.467487,e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,WPA2/WPA,-66,1,AztechEl,Broadband,14.646540,121.060662
2018-04-24 11:57:14,2018-04-24 03:57:15.332707,14:56:8e:f1:73:c1,roger,WPA2,-63,6,SamsungE,Phone,14.646520,121.060647
2018-04-24 11:56:56,2018-04-24 03:56:56.616054,cc:06:77:e0:7c:90,xNonex,WPA2/WPA,-84,5,Fiberhom,Fiber,14.646528,121.060665
2018-04-24 11:57:03,2018-04-24 03:57:03.866990,00:1f:fb:a5:21:19,jennyjuly06,WPA2,-86,10,GreenPac,Mobile broadband,14.646550,121.060668
2018-04-24 11:57:04,2018-04-24 03:57:04.906845,24:09:95:00:af:77,HUAWEI-E5373-AF77,WPA2,-88,11,HuaweiTe,Hotspot,14.646555,121.060670
2018-04-24 11:57:08,2018-04-24 03:57:09.307102,cc:06:77:63:37:90,Estivlings,WPA2/WPA,-91,1,Fiberhom,Fiber,14.646543,121.060665
2018-04-24 11:57:14,2018-04-24 03:57:14.674658,94:46:96:1e:9b:87,PLDTHOMEDSLW3WH0,WPA2/WPA,-93,5,Baudtec,Broadband,14.646520,121.060647
2018-04-24 11:57:33,2018-04-24 03:57:33.822912,f2:6d:78:26:7e:09,BmXu-cm92ZWxpbjE5MDQ,OPN,-76,6,None,Unidentified,14.646470,121.060652
2018-04-24 11:57:22,2018-04-24 03:57:22.783679,28:ff:3e:3d:de:9d,bayanDSLWIFI_DE9D,WPA2/WPA,-90,10,Zte,Broadband,14.646522,121.060638
2018-04-24 11:57:40,2018-04-24 03:57:40.906549,74:d0:2b:dc:aa:00,RMotel Router,WPA2/WPA,-83,11,AsustekC,Unidentified,14.646473,121.060715
2018-04-24 11:57:45,2018-04-24 03:57:46.341786,e0:8e:3c:33:d8:ef,Aztech5068_3D8EF,WPA,-85,1,AztechEl,Unidentified,14.646502,121.060767
2018-04-24 11:58:05,2018-04-24 03:58:06.535396,6e:8d:c1:4c:c0:c8,Ethan,WPA2,-80,1,None,Unidentified,14.646323,121.060857
2018-04-24 11:57:46,2018-04-24 03:57:47.401944,90:61:0c:2e:02:f3,PLDTHOMEDSL00755,WPA2/WPA,-88,1,FidaInte,Broadband,14.646513,121.060773
2018-04-24 11:57:59,2018-04-24 03:57:59.967129,00:26:75:9a:be:7d,bayanDSLWiFi_BE7D,WPA2/WPA,-85,10,AztechEl,Broadband,14.646372,121.060825
2018-04-24 12:00:47,2018-04-24 04:00:47.865631,a0:8d:16:68:94:a0,No Internet Connection,WPA2,-47,8,HuaweiTe,Unidentified,14.644432,121.060823
2018-04-24 11:58:23,2018-04-24 03:58:24.192088,06:d6:aa:ad:f2:23,AMP-Note8,WPA2,-78,1,None,Unidentified,14.646150,121.060893
2018-04-24 11:58:43,2018-04-24 03:58:43.490982,34:ce:00:5c:9d:1d,Xiaomi_9D1C,WPA2/WPA,-88,1,XiaomiEl,Unidentified,14.645933,121.060883
2018-04-24 13:15:51,2018-04-24 05:15:50.551674,5c:f2:86:25:59:df,Cookie2016,WPA2/WPA,-75,8,IeeeRegi,Unidentified,14.645723,121.060785
2018-04-24 11:59:05,2018-04-24 03:59:05.590461,00:bb:c1:24:ce:dc,24CEDC-iP110series,WPA2,-86,3,Canon,Unidentified,14.645677,121.060932
2018-04-24 12:00:07,2018-04-24 04:00:07.895564,b0:e1:7e:dc:31:75,Lineman,WPA2,-74,6,HuaweiTe,Unidentified,14.644897,121.060843
2018-04-24 12:01:12,2018-04-24 04:01:12.879748,8e:79:67:97:c4:b2,PAGADUAN,WPA2/WPA,-63,13,None,Unidentified,14.644180,121.060905
2018-04-24 12:00:24,2018-04-24 04:00:25.005218,50:c7:bf:40:52:29,Bawal Dito!,WPA2/WPA,-70,6,Tp-LinkT,Unidentified,14.644712,121.060862
2018-04-24 12:00:13,2018-04-24 04:00:14.144823,48:00:33:a8:40:51,Viterbo Family,WPA2/WPA,-88,11,Technico,Unidentified,14.644835,121.060858
2018-04-24 12:00:50,2018-04-24 04:00:50.233726,dc:09:4c:59:ae:c9,B315_9AEC9,WPA2/WPA,-73,10,HuaweiTe,Unidentified,14.644408,121.060833
2018-04-24 12:00:36,2018-04-24 04:00:37.122782,36:69:87:e8:52:af,Anonymous,WPA2/WPA,-58,13,None,Unidentified,14.644577,121.060872
2018-04-24 12:02:53,2018-04-24 04:02:54.127861,6c:b7:49:1b:a8:84,B315_BA884,WPA2/WPA,-46,5,HuaweiTe,Unidentified,14.643012,121.060907
2018-04-24 12:27:42,2018-04-24 04:27:42.249489,34:ba:9a:54:5f:8b,MARKSDELACRUZ,WPA2/WPA,-78,8,Asiatelc,Unidentified,14.644243,121.060677
