GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Persistence,Dates Seen
2018-03-14 13:29:33.847922,2018-03-14 13:29:33.847922,58:70:c6:f1:65:7a,YICarCam_f1657a,WPA2,-79,7,Shanghai,Not an AP,14.646997,121.057657,4,"03/14/2018, "
2018-03-22 20:51:53.463529,2018-03-22 20:51:53.463529,34:ba:9a:57:74:e4,EPEwit56,WPA2,-78,7,Asiatelc,Unidentified,14.647122,121.05742,3,"03/22/2018, "
2018-03-22 20:51:52.785754,2018-03-22 20:51:52.785754,36:69:87:ab:fd:3e,ARANETASQUARE,WPA2,-89,6,None,Unidentified,14.647155,121.057442,1,"03/22/2018, "
2018-03-22 21:29:55.584056,2018-03-22 21:29:55.584056,90:61:0c:2d:ad:fb,ITAG.MANILA,WPA2,-85,11,FidaInte,Unidentified,14.647022,121.057602,3,"03/22/2018, 04/05/2018, 04/02/2018, "
2018-04-02 00:23:24.932175,2018-04-02 00:23:24.932175,dc:ee:06:cf:a4:74,Smart_Bro_CFA474,OPN,-60,2,HuaweiTe,Unidentified,14.647227,121.057495,3,"03/14/2018, 04/02/2018, "
2018-04-02 00:23:30.769601,2018-04-02 00:23:30.769601,cc:79:cf:f2:f2:15,Mitsubishi Wireless TV 659,OPN,-71,36,Shenzhen,Not an AP,14.647022,121.05739,5,"04/02/2018, 03/14/2018, "
2018-04-03 00:37:46.291346,2018-04-03 00:37:46.291346,7a:31:c1:65:66:50,Danielle,WPA2,-81,1,None,Unidentified,14.64707,121.057653,2,"04/03/2018, "
2018-04-03 01:53:08.559040,2018-04-03 01:53:08.559040,d2:5b:a8:f4:f0:2c,JEROME,WPA2/WPA,-84,1,None,Unidentified,14.646927,121.057605,4,"04/03/2018, "
2018-04-03 01:53:12.477752,2018-04-03 01:53:12.477752,5c:c3:07:41:c3:b6,Hexadecagon,WPA2/WPA,-88,5,HuaweiTe,Unidentified,14.647105,121.057425,1,"04/03/2018, "
2018-04-05 13:14:05,2018-04-03 14:39:32.757738,50:04:b8:45:1d:5c,work,WPA2/WPA,-81,1,HuaweiTe,Unidentified,14.647225,121.057445,5,"04/05/2018, "
2018-04-05 14:30:19,2018-04-03 15:19:27.678138,fa:8f:ca:68:dd:3c,xNonex,OPN,-84,11,None,Unidentified,14.647087,121.057535,3,"04/05/2018, 04/02/2018, 04/03/2018, "
2018-04-05 14:10:51,2018-04-03 14:59:59.945400,c0:21:0d:b3:51:50,WiFiConnect 767,OPN,-54,44,Shenzhen,Unidentified,14.646845,121.057252,6,"04/05/2018, "
2018-04-05 14:18:26,2018-04-03 15:07:35.058781,b0:45:19:d9:b8:0c,Jajingga,WPA2,-52,6,TctMobil,Hotspot,14.647077,121.057587,2,"04/05/2018, "
2018-04-13 13:44:05,2018-04-03 17:31:58.058167,04:e6:76:1e:bc:2a,Yi_Ranns,WPA2,-77,6,AmpakTec,Unidentified,14.647213,121.057623,1,"04/13/2018, "
2018-03-14 13:29:34.801293,2018-03-14 13:29:34.801293,f2:98:9d:be:ce:78,Jhane Emerrie’s iPhone,WPA2,-76,6,None,Phone,14.646962,121.057697,4,"03/14/2018, "
2018-03-14 13:29:35.428489,2018-03-14 13:29:35.428489,34:ba:9a:56:5b:09,Mark Kenneth,WPA2/WPA,-78,7,Asiatelc,Unidentified,14.646925,121.05774,1,"03/14/2018, "
2018-03-22 21:30:00.080828,2018-03-22 21:30:00.080828,36:69:87:89:13:e6,Smart Mead,WPA2,-71,13,None,Unidentified,14.646853,121.057822,1,"03/22/2018, "
