GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-03-14 13:29:27.448284,2017-07-29 21:00:00,e0:8e:3c:1a:88:57,METEORO,WPA2/WPA,-86,1,AztechEl,Unidentified,14.647242,121.057417,0,165,20.5264969734,23,1,"03/14/2018, "
2018-04-03 00:34:08.006407,2017-07-29 21:00:00,00:26:75:f6:01:38,Aztech5018_6013A,WPA,-65,10,AztechEl,Unidentified,14.647148,121.05762,0,165,20.5264969734,23,12,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, "
2018-04-05 13:14:12,2017-06-09 13:00:00,00:13:33:d3:4b:09,PLDTHOMEDSL,WPA2/WPA,-73,6,Baudtec,Broadband,14.647022,121.057452,0,165,20.5264969734,23,15,"03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
2018-04-05 12:52:49,2017-06-09 13:00:00,90:61:0c:2e:a7:39,PLDTHOMEDSL42809,WPA2/WPA,-66,1,FidaInte,Broadband,14.646872,121.057317,0,165,20.5264969734,23,5,"04/05/2018, 04/10/2018, 04/03/2018, 04/05/2018, "
2018-04-03 01:19:44.970845,2017-07-29 21:00:00,90:61:0c:2d:d3:09,tom&jerry,WPA2,-55,11,FidaInte,Unidentified,14.646818,121.057925,1,118,24.6771532775,18,52,"03/22/2018, 04/05/2018, 04/13/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
2018-04-03 00:37:40.687482,2017-07-29 21:00:00,90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,-61,11,FidaInte,Unidentified,14.646807,121.05798,1,118,24.6771532775,18,38,"03/22/2018, 04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
2018-04-03 00:34:16.715990,2017-07-29 21:00:00,48:f8:b3:0f:d9:65,MotorGirl,WPA2,-56,1,Cisco-Li,Unidentified,14.646805,121.058077,1,118,24.6771532775,18,30,"04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 03/14/2018, "
2018-04-03 01:49:47.273298,2017-07-29 21:00:00,1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,-65,4,ZyxelCom,Broadband,14.646877,121.05793,1,118,24.6771532775,18,47,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, 03/14/2018, 03/22/2018, "
2018-04-13 13:44:11,2017-07-29 21:00:00,00:24:a5:d7:87:d3,BuraotNET-G-AES,WPA,-82,10,Buffalo,Unidentified,14.647068,121.05797,1,118,24.6771532775,18,3,"04/13/2018, 03/14/2018, 04/05/2018, "
2018-04-02 00:23:36.107594,2017-06-09 13:00:00,9c:a9:e4:9a:e3:bf,Sun Wi-Fi_9AE3BE,OPN,-56,11,Zte,Unidentified,14.646777,121.057292,2,55,21.5694096313,8,7,"04/02/2018, 04/05/2018, "
2018-04-03 01:19:43.523906,2017-06-09 13:00:00,80:2a:a8:41:e9:d6,Wireless,WPA2,-73,11,Ubiquiti,Unidentified,14.646795,121.058018,3,30,23.8647930303,13,13,"04/02/2018, 04/03/2018, 04/05/2018, "
2018-04-02 00:46:25.418717,2017-07-29 21:00:00,f4:f2:6d:94:56:14,OrangeSegment1,WPA2,-68,1,Tp-LinkT,Unidentified,14.646787,121.058172,4,126,24.2907518241,17,32,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, 03/22/2018, 04/13/2018, "
2018-04-03 01:52:58.815054,2017-07-29 21:00:00,14:ab:f0:4d:9d:80,ARRIS-9D82,WPA2,-74,6,ArrisGro,Unidentified,14.646603,121.058147,4,126,24.2907518241,17,9,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
2018-04-03 01:52:52.199785,2017-07-29 21:00:00,94:46:96:17:00:3d,PLDTHOMEDSL7M7R0,WPA2/WPA,-57,1,Baudtec,Broadband,14.646418,121.058558,4,126,24.2907518241,17,31,"04/05/2018, 03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/10/2018, "
2018-04-05 12:51:43,2017-07-29 21:00:00,fc:b4:e6:82:30:f0,none,none,-86,11,none,Unidentified,14.646573,121.058565,4,126,24.2907518241,17,2,"04/05/2018, 04/10/2018, "
2018-04-05 12:51:47,2017-07-29 21:00:00,a4:2b:b0:d9:10:26,xNonex,WPA2/WPA,-72,11,Tp-LinkT,Unidentified,14.646662,121.05833,4,126,24.2907518241,17,13,"04/05/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
2018-04-03 00:34:28.632141,2017-07-29 21:00:00,e0:8e:3c:19:9c:bb,Aztech5068_99CBB,WPA,-58,10,AztechEl,Unidentified,14.646462,121.058842,5,152,20.5749931861,19,17,"03/14/2018, 03/22/2018, 04/05/2018, 04/02/2018, 04/03/2018, 04/10/2018, "
2018-04-05 14:10:05,2017-07-29 21:00:00,ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,OPN,-49,1,RuckusWi,Unidentified,14.646528,121.058718,5,152,20.5749931861,19,45,"04/03/2018, 04/02/2018, 04/03/2018, 04/05/2018, 03/22/2018, 03/14/2018, 04/13/2018, 04/10/2018, "
2018-04-13 13:44:56,2017-03-03 15:00:00,d2:5b:a8:32:a2:7c,hartsopia,WPA2/WPA,-88,1,None,Unidentified,14.646497,121.058887,5,152,20.5749931861,19,2,"04/13/2018, "
2018-04-02 00:46:49.550116,2017-07-29 21:00:00,00:13:33:ea:7b:20,PLDTHOMEDSLadmin,WPA2/WPA,-49,5,Baudtec,Broadband,14.646445,121.059125,6,99,13.6206605204,15,59,"04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/10/2018, 04/13/2018, "
