GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-02 00:46:03.437788,2016-09-08 03:00:00,34:bf:90:38:94:28,xNonex,WPA,-87,11,Fiberhom,Fiber,14.646962,121.05788
2018-04-03 01:19:44.070561,2017-06-09 13:00:00,60:31:97:dc:e7:f0,The Wander Space Project,WPA2/WPA,-75,12,ZyxelCom,Unidentified,14.646812,121.057972
2018-04-05 14:10:32,2017-04-04 12:00:00,a0:8c:fd:0d:68:44,DIRECT-3D-HP DeskJet 3830 series,WPA2,-68,6,HewlettP,Not an AP,14.647008,121.057705
2018-03-14 13:29:43.055522,2017-07-29 21:00:00,a4:2b:b0:c1:4c:87,SKYbroadband7B2C_EXT,WPA2/WPA,-81,11,Tp-LinkT,Broadband,14.646688,121.058147
2018-04-03 01:18:21.938295,2017-07-29 21:00:00,4c:81:20:f3:97:9b,PNRBRUDU,WPA2/WPA,-82,9,TaicangT,Unidentified,14.646565,121.05858
2018-03-14 13:29:52.325026,2017-07-29 21:00:00,bc:c0:0f:1e:90:90,PLDTHOMEFIBRe9090,WPA2/WPA,-81,7,Fiberhom,Fiber,14.646425,121.058712
2018-04-03 01:50:02.635606,2017-04-04 12:00:00,28:9a:fa:47:44:f8,smart wireless,WPA2,-87,3,TctMobil,Hotspot,14.646428,121.058838
2018-04-05 12:49:36,2017-07-15 09:00:00,38:46:08:f3:47:24,bayanDSL,WPA,-71,10,Zte,Broadband,14.646497,121.058723
2018-04-05 13:41:56,2017-06-09 13:00:00,ee:1d:7f:a1:32:b7,YASSI,WPA2/WPA,-74,13,None,Unidentified,14.646423,121.058887
2018-04-05 14:18:53,2017-06-09 13:00:00,00:26:75:f7:27:a0,Panuncialman,WPA2,-84,11,AztechEl,Unidentified,14.64639,121.059112
2018-04-10 17:49:20,2015-07-26 08:00:00,38:46:08:f3:3d:24,BOOMER,WPA,-96,1,Zte,Unidentified,14.646048,121.057973
2018-04-03 01:52:42.323692,2017-07-15 09:00:00,bc:98:89:9c:f0:e0,PLDTHOMEFIBRbye20mbps,WPA2/WPA,-81,9,Fiberhom,Fiber,14.646247,121.059103
2018-04-02 00:47:02.328868,2017-07-29 21:00:00,94:a7:b7:26:4d:f6,bayanDSLWIFI_4DF6,WPA2/WPA,-54,10,Zte,Broadband,14.646318,121.059678
2018-04-03 00:37:06.843952,2017-07-29 21:00:00,1a:4f:32:45:96:6b,DIRECT-Jx-BRAVIA,WPA2,-73,11,None,Not an AP,14.64629,121.059525
2018-04-03 01:18:49.349080,2017-07-15 09:00:00,84:9f:b5:3e:81:8c,wifidental,WPA2,-62,1,HuaweiTe,Unidentified,14.64624,121.059643
2018-04-05 14:07:44,2017-07-29 21:00:00,74:cc:39:c0:f1:08,PLDTHOMEFIBR0f108,WPA2/WPA,-85,9,Fiberhom,Fiber,14.64631,121.059638
