GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:21:00,2018-04-24 14:21:02.173418,48:db:50:1a:8d:de,JENAYA WIFI,WPA2/WPA,-91,9,HuaweiTe,Unidentified,14.643027,121.059348
2018-04-24 22:21:07,2018-04-24 14:21:07.935448,8e:79:67:8b:c4:f4,Smart Bro_8BC4F4,OPN,-77,13,None,Unidentified,14.642920,121.059320
2018-04-24 22:21:08,2018-04-24 14:21:08.572327,d2:5b:a8:32:85:85,Smart Bro_328585,WPA2/WPA,-80,13,None,Unidentified,14.642913,121.059318
2018-04-24 22:21:10,2018-04-24 14:21:10.843619,e6:9a:dc:88:52:9a,iPhone,WPA2,-88,1,None,Phone,14.642905,121.059315
2018-04-24 22:21:15,2018-04-24 14:21:16.040499,9e:a9:e4:e0:a7:61,JAMS,WPA2/WPA,-76,6,None,Unidentified,14.642885,121.059313
2018-04-24 22:21:16,2018-04-24 14:21:17.099347,78:00:9e:2c:d7:7e,AndroidAP,WPA2,-88,6,SamsungE,Phone,14.642882,121.059315
2018-04-24 22:02:04,2018-04-24 14:02:04.741786,4c:5e:0c:a2:0c:3b,BaseOne,WPA2/WPA,-76,1,Routerbo,Unidentified,14.647062,121.060837
2018-04-24 22:03:22,2018-04-24 14:03:22.622930,e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,WPA2/WPA,-68,1,AztechEl,Broadband,14.647043,121.060775
2018-04-24 22:02:08,2018-04-24 14:02:08.310736,f0:85:c1:8b:3f:6b,Roav_DashCam_3f6b,WPA2,-73,2,Shenzhen,Unidentified,14.647062,121.060835
2018-04-24 22:02:48,2018-04-24 14:02:48.648785,cc:06:77:e0:7c:90,xNonex,WPA2/WPA,-82,5,Fiberhom,Fiber,14.647045,121.060800
2018-04-24 22:02:48,2018-04-24 14:02:48.886078,94:46:96:1e:9b:87,PLDTHOMEDSLW3WH0,WPA2/WPA,-91,5,Baudtec,Broadband,14.647045,121.060800
2018-04-24 22:01:54,2018-04-24 14:01:55.899045,5c:f2:86:24:fb:6b,Mint,WPA2,-78,7,IeeeRegi,Unidentified,14.647032,121.060827
2018-04-24 22:03:32,2018-04-24 14:03:32.526031,e0:8e:3c:1f:e9:c3,PSCSEND-Office,WPA2/WPA,-70,10,AztechEl,Unidentified,14.647012,121.060780
2018-04-24 22:01:59,2018-04-24 14:01:59.949136,60:2e:20:01:d1:04,HUAWEI-2.4G-749t,WPA2/WPA,-90,10,HuaweiTe,Unidentified,14.647052,121.060835
2018-04-24 22:02:56,2018-04-24 14:02:57.012184,28:ff:3e:3d:de:9d,bayanDSLWIFI_DE9D,WPA2/WPA,-87,10,Zte,Broadband,14.647040,121.060790
2018-04-24 22:02:18,2018-04-24 14:02:19.285183,58:f9:87:24:ef:14,Bluezoom Water Refilling,WPA2/WPA,-89,11,HuaweiTe,Unidentified,14.647062,121.060832
2018-04-24 22:02:18,2018-04-24 14:02:19.113306,98:e7:f5:69:22:85,B315_92285,WPA2/WPA,-87,11,HuaweiTe,Unidentified,14.647062,121.060832
2018-04-24 22:02:03,2018-04-24 14:02:04.322841,cc:06:77:63:37:90,Estivlings,WPA2/WPA,-90,1,Fiberhom,Fiber,14.647060,121.060837
2018-04-24 22:02:23,2018-04-24 14:02:23.372702,00:e0:20:60:71:69,Estivlings_Ext 1,WPA2,-85,1,Tecnomen,Unidentified,14.647062,121.060830
2018-04-24 22:02:04,2018-04-24 14:02:04.755501,4e:5e:0c:a2:0c:3b,BaseOnev03,WPA2/WPA,-76,1,None,Unidentified,14.647062,121.060837
2018-04-24 22:02:25,2018-04-24 14:02:25.623774,3e:47:11:dc:38:c9,xNonex,WPA2/WPA,-58,1,None,Unidentified,14.647058,121.060830
2018-04-24 22:03:30,2018-04-24 14:03:30.452782,b0:c1:9e:49:f6:70,salt,WPA2/WPA,-84,8,Zte,Unidentified,14.647025,121.060782
2018-04-24 22:04:32,2018-04-24 14:04:32.674730,90:61:0c:2e:02:f3,PLDTHOMEDSL00755,WPA2/WPA,-81,11,FidaInte,Broadband,14.646520,121.060842
2018-04-24 22:03:27,2018-04-24 14:03:27.605165,d6:ae:05:2e:78:51,AndroidAP,WPA2,-77,6,None,Phone,14.647040,121.060780
2018-04-24 22:03:37,2018-04-24 14:03:38.078175,e4:77:23:a5:9a:84,RMotel Bayan,WPA2/WPA,-73,13,Zte,Unidentified,14.646987,121.060790
2018-04-24 22:03:34,2018-04-24 14:03:35.005362,74:d0:2b:dc:aa:00,RMotel Router,WPA2/WPA,-75,11,AsustekC,Unidentified,14.647005,121.060783
2018-04-24 22:04:23,2018-04-24 14:04:24.315005,90:f6:52:30:cb:26,For Programmer Only,WPA2/WPA,-70,6,Tp-LinkT,Unidentified,14.646622,121.060838
