Last Updt,Last Time,MAC,SSID,Encryption,Channel,Latitude,Longitude
2017-05-07 13:00:00,2017-05-07 13:00:00,00:18:25:05:95:d1,Magiting S1,wpa,2,14.64684963,121.05735779
2017-05-07 13:00:00,2017-05-07 13:00:00,00:18:25:05:95:d4,PLDTSMART,wpa2,2,14.64681721,121.05754852
2017-07-29 21:00:00,2017-07-29 21:00:00,f0:98:38:07:a3:70,Pazzo brew bar,wpa2,2,14.6472187,121.05764771
2017-06-09 13:00:00,2017-06-09 13:00:00,5c:f2:86:2e:63:c4,Luvsky,wpa2,7,14.64723301,121.05751038
2017-06-09 13:00:00,2017-06-09 13:00:00,ec:1f:72:ea:11:48,Anteeewn,wpa2,1,14.64710808,121.05762482
2017-07-29 21:00:00,2017-07-29 21:00:00,8c:34:fd:d3:be:e2,HUAWEI-E5330-BEE2,wpa2,10,14.64723969,121.05764008
2015-07-26 08:00:00,2015-01-22 04:00:00,92:4e:2b:c7:50:96,HUAWEI-E5372-5095,wpa2,6,14.64700508,121.05762482
2016-02-27 15:00:00,2016-02-27 15:00:00,38:2c:4a:1d:fe:04,My ASUS,wpa2,6,14.64712048,121.05747986
2013-04-29 17:00:00,2013-04-29 19:00:00,00:23:cd:c1:37:92,TP-LINK,wep,6,14.64705467,121.05760956
2013-06-21 12:00:00,2013-06-21 14:00:00,00:d0:41:ce:56:84,SAPIDO_RB-1132V2_ce5685,wep,11,14.64724255,121.05743408
2015-07-26 08:00:00,2014-08-17 14:00:00,34:cd:be:92:81:5b,cheska,wpa2,6,14.64717865,121.05760956
2013-07-19 15:00:00,2013-07-19 17:00:00,02:11:87:da:e3:02,Free Public WiFi,none,1,14.64722919,121.05757141
2016-09-08 03:00:00,2016-09-08 03:00:00,36:69:87:0f:41:65,MANNY,wpa2,5,14.64720154,121.05742645
2013-03-20 12:00:00,2013-03-20 14:00:00,38:e7:d8:78:4f:08,HTC network,wpa,1,14.64702702,121.05763245
2016-02-27 15:00:00,2016-02-27 15:00:00,b4:b3:62:5e:ac:a7,jocon,wpa,10,14.64681816,121.05753326
2013-08-31 23:00:00,2013-09-01 01:00:00,b0:b2:dc:45:bf:68,PLDTMyDSL,wpa2,11,14.64709282,121.05760193
2016-06-05 00:00:00,2016-06-05 00:00:00,ee:1d:7f:a1:12:c4,Du30 LTE,wpa2,6,14.64723969,121.05740356
2015-07-26 08:00:00,2015-07-26 08:00:00,ac:81:12:de:bf:c5,Frappy,wpa,1,14.64712048,121.05750275
2015-07-26 08:00:00,2015-02-16 14:00:00,fe:e9:98:ed:51:b2,iPhone,wpa2,1,14.64708328,121.05764008
2015-07-26 08:00:00,2015-07-26 08:00:00,f8:d1:11:4d:a2:5c,PICA,wpa2,6,14.64715099,121.05754852
2017-03-03 15:00:00,2017-03-03 15:00:00,20:a6:80:4b:8c:f9,miragestarboy,wpa2,8,14.64721107,121.05742645
2017-09-03 09:00:00,2017-09-03 09:00:00,fe:e9:98:bc:4a:7c,Oreto?s iPhone,wpa2,1,14.64692974,121.05745697
2017-03-03 15:00:00,2017-03-03 15:00:00,7c:7d:3d:99:c8:c8,MeySiponSi.....,wpa2,7,14.64721107,121.05742645
2017-03-03 12:00:00,2017-03-03 12:00:00,0e:12:62:85:60:b4,TheEmperor,wpa2,1,14.6472435,121.05750275
2017-06-09 13:00:00,2017-06-09 13:00:00,e0:8e:3c:1f:c5:47,bayanDSLWIFI_C547,wpa2,1,14.64721584,121.05751801
2017-07-29 21:00:00,2017-07-29 21:00:00,00:1a:ef:48:77:0b,TROJAN VIRUS!,wpa2,10,14.64684582,121.05797577
2017-07-29 21:00:00,2017-07-29 21:00:00,28:92:4a:14:56:18,HOLYFAMILY,wpa2,13,14.64699745,121.05782318
2017-04-04 12:00:00,2017-04-04 12:00:00,24:09:95:b3:06:db,BABYLITA,wpa2,11,14.64702511,121.05776978
