Common,131
GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 11:56:52,2018-02-16 10:00:00,18:a6:f7:8e:ef:ac,PSCSEND-Conference,WPA2/WPA,-75,1,Tp-LinkT,Unidentified,14.646527,121.060667
2018-04-24 11:57:40,2018-02-16 10:00:00,00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,-71,11,Baudtec,Broadband,14.646473,121.060715
2018-04-24 11:59:49,2018-02-16 10:00:00,18:de:d7:34:4c:cc,HUAWEI-uAu6,WPA2/WPA,-71,8,HuaweiTe,Unidentified,14.645133,121.060938
2018-04-24 11:58:02,2018-02-16 10:00:00,00:13:33:c6:d0:da,PLDTHOMEDSL,WPA2/WPA,-72,11,Baudtec,Broadband,14.646350,121.060843
2018-04-24 11:58:42,2018-02-16 10:00:00,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,-51,1,Fiberhom,Fiber,14.645943,121.060883
2018-04-24 11:59:19,2018-02-16 10:00:00,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,-63,11,Baudtec,Broadband,14.645487,121.060955
2018-04-24 12:00:01,2018-02-16 10:00:00,84:16:f9:ed:7d:f4,flyff for fun,WPA2/WPA,-64,1,Tp-LinkT,Unidentified,14.644952,121.060843
2018-04-24 11:59:53,2018-02-16 10:00:00,00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,-60,11,Baudtec,Broadband,14.645083,121.060897
2018-04-24 11:59:39,2018-02-16 10:00:00,00:13:33:fb:45:3b,xNonex,OPN,-65,1,Baudtec,Unidentified,14.645260,121.060950
2018-04-24 11:59:43,2018-02-16 10:00:00,00:13:33:ed:60:4c,B79e,WPA2/WPA,-60,1,Baudtec,Unidentified,14.645212,121.060955
2018-04-24 11:59:41,2018-02-16 10:00:00,00:13:33:fb:45:39,PLDTHOMEDSL,WPA2/WPA,-68,1,Baudtec,Broadband,14.645233,121.060953
2018-04-24 12:00:43,2018-02-16 10:00:00,94:46:96:19:2a:3e,PLDTHOMEDSLNFNQ0,WPA2/WPA,-55,3,Baudtec,Broadband,14.644487,121.060820
2018-04-24 12:01:01,2018-02-16 10:00:00,94:46:96:1f:ef:be,PLDTHOMEDSLURUW0,WPA2/WPA,-57,5,Baudtec,Broadband,14.644323,121.060887
2018-04-24 11:59:42,2018-02-16 10:00:00,00:13:33:fb:45:3c,xNonex,OPN,-69,1,Baudtec,Unidentified,14.645223,121.060955
2018-04-24 11:59:57,2018-02-16 10:00:00,88:d2:74:86:d2:0f,abegnot,WPA2/WPA,-63,1,Zte,Unidentified,14.645022,121.060882
2018-04-24 12:00:17,2018-02-16 10:00:00,00:13:33:f4:45:9f,PLDTHOMEDSLMIRANDA,WPA2/WPA,-74,2,Baudtec,Broadband,14.644790,121.060870
2018-04-24 12:00:05,2018-02-16 10:00:00,84:c9:b2:52:16:e9,A4 Site,WPA2/WPA,-65,6,D-LinkIn,Unidentified,14.644912,121.060837
