Common,116
GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:03:32,2018-02-16 10:00:00,18:a6:f7:8e:ef:ac,PSCSEND-Conference,WPA2/WPA,-64,10,Tp-LinkT,none,14.647012,121.060780
2018-04-24 22:04:12,2018-02-16 10:00:00,00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,-60,11,Baudtec,none,14.646703,121.060773
2018-04-24 22:04:29,2018-02-16 10:00:00,00:13:33:c6:d0:da,PLDTHOMEDSL,WPA2/WPA,-72,11,Baudtec,none,14.646553,121.060852
2018-04-24 22:05:15,2018-02-16 10:00:00,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,-48,1,Fiberhom,none,14.646040,121.060808
2018-04-24 22:06:51,2018-02-16 10:00:00,00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,-54,11,Baudtec,none,14.645112,121.060813
2018-04-24 22:06:19,2018-02-16 10:00:00,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,-64,4,Baudtec,none,14.645473,121.060882
2018-04-24 22:06:39,2018-02-16 10:00:00,00:13:33:ed:60:4c,B79e,WPA2/WPA,-59,6,Baudtec,none,14.645297,121.060868
2018-04-24 22:07:12,2018-02-16 10:00:00,88:d2:74:86:d2:0f,abegnot,WPA2/WPA,-63,1,Zte,none,14.644955,121.060902
2018-04-24 22:06:45,2018-02-16 10:00:00,18:de:d7:34:4c:cc,HUAWEI-uAu6,WPA2/WPA,-70,8,HuaweiTe,none,14.645197,121.060832
2018-04-24 22:06:58,2018-02-16 10:00:00,84:c9:b2:52:16:e9,A4 Site,WPA2/WPA,-64,6,D-LinkIn,none,14.645030,121.060822
2018-04-24 22:07:03,2018-02-16 10:00:00,e0:8e:3c:1f:f5:73,Cura,WPA2/WPA,-54,10,AztechEl,none,14.645008,121.060848
2018-04-24 22:06:53,2018-02-16 10:00:00,e0:8e:3c:26:15:1c,FINNLEY,WPA,-70,1,AztechEl,none,14.645093,121.060822
2018-04-24 22:07:25,2018-02-16 10:00:00,18:d6:c7:48:32:4c,Bawal Dito!,WPA2/WPA,-78,10,Tp-LinkT,none,14.644795,121.060890
2018-04-24 22:07:08,2018-02-16 10:00:00,00:26:75:f5:fe:bc,Premiera Dentista,WPA,-76,11,AztechEl,none,14.644978,121.060873
2018-04-24 22:07:14,2018-02-16 10:00:00,00:13:33:f4:45:9f,PLDTHOMEDSLMIRANDA,WPA2/WPA,-72,2,Baudtec,none,14.644937,121.060910
2018-04-24 22:08:18,2018-02-16 10:00:00,94:46:96:1f:ef:be,PLDTHOMEDSLURUW0,WPA2/WPA,-60,5,Baudtec,none,14.644310,121.060818
2018-04-24 22:07:36,2018-02-16 10:00:00,00:13:33:da:f9:62,PLDTHOMEDSL,WPA2/WPA,-71,6,Baudtec,none,14.644710,121.060870
2018-04-24 22:07:36,2018-02-16 10:00:00,f0:98:38:9f:a6:e4,AG wifi,WPA2/WPA,-83,4,HuaweiTe,none,14.644710,121.060870
2018-04-24 22:09:24,2018-02-16 10:00:00,18:60:24:0b:31:da,DIRECT-D9-HP OfficeJet Pro 8720,WPA2,-61,1,HewlettP,none,14.643843,121.061063
2018-04-24 22:07:52,2018-02-16 10:00:00,94:46:96:19:2a:3e,PLDTHOMEDSLNFNQ0,WPA2/WPA,-69,3,Baudtec,none,14.644587,121.060857
2018-04-24 22:09:18,2018-02-16 10:00:00,00:0b:86:f2:fb:00,Bayan Guest,OPN,-62,11,ArubaNet,none,14.643883,121.061065
2018-04-24 22:09:21,2018-02-16 10:00:00,00:0b:86:f2:fb:02,xNonex,OPN,-63,11,ArubaNet,none,14.643860,121.061068
2018-04-24 22:09:21,2018-02-16 10:00:00,00:0b:86:f2:fb:01,xNonex,WPA,-63,11,ArubaNet,none,14.643860,121.061068
2018-04-24 22:09:21,2018-02-16 10:00:00,00:0b:86:f2:fa:a0,Bayan Guest,OPN,-68,11,ArubaNet,none,14.643860,121.061068
2018-04-24 22:09:22,2018-02-16 10:00:00,00:0b:86:f2:fa:a1,xNonex,WPA,-68,11,ArubaNet,none,14.643852,121.061070
2018-04-24 22:09:22,2018-02-16 10:00:00,00:0b:86:f2:fa:a2,xNonex,OPN,-68,11,ArubaNet,none,14.643852,121.061070
2018-04-24 22:09:53,2018-02-16 10:00:00,f4:cf:e2:32:db:00,BYOD@Bayan,OPN,-76,6,Cisco,none,14.643550,121.061048
2018-04-24 22:09:12,2018-02-16 10:00:00,e6:8d:8c:5a:8b:3b,Globo-Associates,OPN,-68,6,None,none,14.643925,121.061065
2018-04-24 22:09:53,2018-02-16 10:00:00,f4:cf:e2:32:db:02,Guest@Bayan,WPA,-73,6,Cisco,none,14.643550,121.061048
2018-04-24 22:10:26,2018-02-16 10:00:00,f2:9f:c2:81:4a:9b,TIERRAS CAFE,WPA2,-49,1,None,none,14.643185,121.061132
2018-04-24 22:09:14,2018-02-16 10:00:00,e4:8d:8c:5a:8b:3b,GloboAsiatico,WPA2,-69,6,Routerbo,none,14.643912,121.061063
2018-04-24 22:09:58,2018-02-16 10:00:00,38:d8:2f:2b:d8:7c,bayanDSLWiFi_D87C,WPA2/WPA,-63,9,Zte,none,14.643510,121.061073
2018-04-24 22:10:57,2018-02-16 10:00:00,18:a6:f7:76:32:a6,RBGM Sales Department,WPA2,-67,9,Tp-LinkT,none,14.643008,121.060972
2018-04-24 22:09:23,2018-02-16 10:00:00,14:b7:f8:0b:8c:d7,SKYbroadband8CD4,WPA2/WPA,-82,1,Technico,none,14.643843,121.061068
2018-04-24 22:10:58,2018-02-16 10:00:00,a0:f3:c1:56:d7:da,RBGM Training Room,WPA2,-75,9,Tp-LinkT,none,14.643008,121.060963
2018-04-24 22:10:33,2018-02-16 10:00:00,f0:9f:c2:3d:d6:40,Social Weather Stations,WPA2,-73,6,Ubiquiti,none,14.643107,121.061137
2018-04-24 22:10:32,2018-02-16 10:00:00,f2:9f:c2:3d:d6:40,SWS Guest,WPA2,-76,6,None,none,14.643117,121.061140
2018-04-24 22:11:35,2018-02-16 10:00:00,44:d9:e7:fa:02:ea,Social Weather Stations,WPA2,-72,6,Ubiquiti,none,14.642967,121.060667
2018-04-24 22:11:37,2018-02-16 10:00:00,00:1f:fb:ab:f3:33,HomeBro_ULTERA,WPA2,-69,10,GreenPac,none,14.642963,121.060648
2018-04-24 22:51:34,2018-02-16 10:00:00,cc:06:77:21:02:b0,xNonex,WPA2/WPA,-54,5,Fiberhom,none,14.644255,121.060752
2018-04-24 23:30:24,2018-02-16 10:00:00,88:d2:74:86:bf:9c,bayanDSLWIFI_BF9C,WPA2/WPA,-63,1,Zte,none,14.644255,121.060230
2018-04-24 23:32:00,2018-02-16 10:00:00,e0:8e:3c:21:f6:a7,bayanDSLWIFI_F6A7,WPA2/WPA,-84,1,AztechEl,none,14.645145,121.060278
2018-04-24 23:28:44,2018-02-16 10:00:00,20:aa:4b:56:cf:ad,SPCC,WPA2/WPA,-89,11,Cisco-Li,none,14.644737,121.059652
2018-04-24 23:30:16,2018-02-16 10:00:00,74:4a:a4:79:08:14,ILikeWarmHugs,WPA2/WPA,-81,8,Zte,none,14.644247,121.060148
2018-04-24 22:03:38,2017-10-26 14:00:00,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,-64,1,FidaInte,none,14.646983,121.060787
2018-04-24 22:03:39,2017-10-26 14:00:00,e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,WPA2/WPA,-74,2,AztechEl,none,14.646975,121.060788
