Common,808
GPS Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:21:00,1c:74:0d:19:23:80,PLDTHOMEDSLADJLC,WPA2/WPA,-80,8,ZyxelCom,Broadband,14.643027,121.059348
2018-04-24 22:21:00,48:db:50:1a:8d:de,JENAYA WIFI,WPA2/WPA,-91,9,HuaweiTe,Unidentified,14.643027,121.059348
2018-04-24 22:21:02,00:26:75:b7:80:99,Alex,WPA,-92,9,AztechEl,Unidentified,14.642980,121.059337
2018-04-24 22:21:04,78:c1:a7:01:f7:f4,ZTEH108N_2FB5A,WPA,-76,11,Zte,Broadband,14.642940,121.059327
2018-04-24 22:21:03,88:d2:74:a9:ac:38,MCFH_WIFI,WPA,-88,10,Zte,Unidentified,14.642958,121.059330
2018-04-24 22:21:04,90:61:0c:16:ab:af,PLDTMyDSL_JAG,WPA2/WPA,-87,11,FidaInte,Broadband,14.642940,121.059327
2018-04-24 22:21:07,8e:79:67:8b:c4:f4,Smart Bro_8BC4F4,OPN,-77,13,None,Unidentified,14.642920,121.059320
2018-04-24 22:21:08,d2:5b:a8:32:85:85,Smart Bro_328585,WPA2/WPA,-80,13,None,Unidentified,14.642913,121.059318
2018-04-24 22:21:10,4c:81:20:97:46:38,PLDTHOMEDSL74638,WPA2,-75,1,TaicangT,Broadband,14.642905,121.059315
2018-04-24 22:21:10,e6:9a:dc:88:52:9a,iPhone,WPA2,-88,1,None,Phone,14.642905,121.059315
2018-04-24 22:21:08,60:02:92:32:da:fb,a6edfc,WPA2/WPA,-87,1,Pegatron,Unidentified,14.642913,121.059318
2018-04-24 22:21:09,08:86:3b:5f:8d:1e,Malingap 1,WPA2/WPA,-89,1,BelkinIn,Unidentified,14.642908,121.059317
2018-04-24 22:21:09,70:9f:2d:a1:32:54,bayanDSLWiFi_3254,WPA2/WPA,-88,1,Zte,Broadband,14.642908,121.059317
2018-04-24 22:21:09,34:ce:00:51:23:75,ç¥ž,WPA2/WPA,-89,1,XiaomiEl,Unidentified,14.642908,121.059317
2018-04-24 22:21:11,88:3f:d3:06:89:b8,HUAWEI-Sy2f,WPA2/WPA,-84,179,HuaweiTe,Unidentified,14.642902,121.059313
2018-04-24 22:21:13,ac:f9:70:ec:85:00,MDQC,WPA2/WPA,-49,4,HuaweiTe,Unidentified,14.642892,121.059313
2018-04-24 22:21:15,9e:a9:e4:e0:a7:61,JAMS,WPA2/WPA,-76,6,None,Unidentified,14.642885,121.059313
2018-04-24 22:21:16,78:00:9e:2c:d7:7e,AndroidAP,WPA2,-88,6,SamsungE,Phone,14.642882,121.059315
2018-04-24 22:03:38,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,-64,1,FidaInte,Broadband,14.646983,121.060787
2018-04-24 22:03:22,e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,WPA2/WPA,-68,1,AztechEl,Broadband,14.647043,121.060775
2018-04-24 22:03:39,e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,WPA2/WPA,-74,2,AztechEl,Broadband,14.646975,121.060788
2018-04-24 22:03:42,e0:8e:3c:22:44:ab,bayanDSLWIFI_44AB,WPA2/WPA,-78,4,AztechEl,Broadband,14.646963,121.060787
2018-04-24 22:01:54,5c:f2:86:24:fb:6b,Mint,WPA2,-78,7,IeeeRegi,Unidentified,14.647032,121.060827
2018-04-24 22:03:32,18:a6:f7:8e:ef:ac,PSCSEND-Conference,WPA2/WPA,-64,10,Tp-LinkT,Unidentified,14.647012,121.060780
2018-04-24 22:03:32,e0:8e:3c:1f:e9:c3,PSCSEND-Office,WPA2/WPA,-70,10,AztechEl,Unidentified,14.647012,121.060780
2018-04-24 22:04:12,00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,-60,11,Baudtec,Broadband,14.646703,121.060773
2018-04-24 22:03:30,b0:c1:9e:49:f6:70,salt,WPA2/WPA,-84,8,Zte,Unidentified,14.647025,121.060782
2018-04-24 22:04:00,0e:41:58:00:9f:ef,Wireless-N ext 1,WPA,-70,3,None,Unidentified,14.646833,121.060783
2018-04-24 22:04:04,00:24:01:b8:d1:9d,FRANCISCO-PC_Network,WPA2,-66,6,D-Link,Unidentified,14.646795,121.060795
2018-04-24 22:04:33,00:13:33:ea:87:f5,PLDTHOMEDSL,WPA2/WPA,-60,11,Baudtec,Broadband,14.646508,121.060842
2018-04-24 22:04:23,90:f6:52:30:cb:26,For Programmer Only,WPA2/WPA,-70,6,Tp-LinkT,Unidentified,14.646622,121.060838
