Common,742,,,,,,,,,,,
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Persistence,Dates Seen
29:27.4,29:27.4,e0:8e:3c:1a:88:57,METEORO,WPA2/WPA,-86,1,AztechEl,Unidentified,14.647242,121.057417,1,"03/14/2018, "
51:53.0,51:53.0,70:5a:9e:da:57:29,SKYbroadband5726,WPA2/WPA,-86,6,Technico,Broadband,14.647155,121.057442,2,"03/22/2018, 04/03/2018, "
34:08.0,34:08.0,00:26:75:f6:01:38,Aztech5018_6013A,WPA,-65,10,AztechEl,Unidentified,14.647148,121.05762,12,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, "
37:57.1,37:57.1,f0:98:38:07:d0:98,BLUE_EYES,WPA2/WPA,-73,11,HuaweiTe,Unidentified,14.646982,121.057327,7,"03/22/2018, 04/03/2018, 04/10/2018, 04/02/2018, 04/05/2018, "
53:12.0,53:12.0,1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,-75,4,None,Broadband,14.647053,121.057468,28,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, 03/22/2018, "
4/5/2018 13:14,39:37.8,bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,WPA2/WPA,-50,5,Fiberhom,Fiber,14.647073,121.057473,21,"03/14/2018, 03/22/2018, 04/05/2018, 04/10/2018, "
4/5/2018 13:14,39:39.7,00:13:33:d3:4b:09,PLDTHOMEDSL,WPA2/WPA,-73,6,Baudtec,Broadband,14.647022,121.057452,15,"03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
4/5/2018 12:52,18:16.1,90:61:0c:2e:a7:39,PLDTHOMEDSL42809,WPA2/WPA,-66,1,FidaInte,Broadband,14.646872,121.057317,5,"04/05/2018, 04/10/2018, 04/03/2018, 04/05/2018, "
4/5/2018 12:52,18:14.0,96:53:30:78:e4:71,DIRECT-m8-BRAVIA,WPA2,-74,1,None,Unidentified,14.646985,121.05737,2,"04/05/2018, "
4/5/2018 13:41,30:37.3,f2:9f:c2:91:17:d9,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-80,6,None,Unidentified,14.646997,121.057633,6,"04/05/2018, 04/10/2018, 04/03/2018, "
4/5/2018 14:06,56:06.4,90:61:0c:3a:4b:6e,PLDTHOMEDSL19310,WPA2/WPA,-71,1,FidaInte,Broadband,14.647147,121.057583,16,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, "
4/5/2018 13:41,30:33.5,ac:f9:70:ec:e7:f4,HomeWifi,WPA2/WPA,-80,4,HuaweiTe,Unidentified,14.647107,121.05752,5,"03/14/2018, 04/03/2018, 04/05/2018, "
4/10/2018 17:20,35:19.3,00:26:75:ea:a8:cc,foureyes,WPA,-82,10,AztechEl,Unidentified,14.64693,121.057352,2,"04/03/2018, 04/10/2018, "
4/10/2018 17:20,35:26.9,d0:b2:c4:57:23:67,arbalest,WPA2/WPA,-80,1,Technico,Unidentified,14.647122,121.05745,3,"04/03/2018, 04/05/2018, 04/10/2018, "
4/13/2018 13:44,31:58.5,c8:93:46:cc:21:05,Think_CC2105,WPA2/WPA,-73,6,Mxchip,Not an AP,14.647213,121.057623,6,"04/13/2018, 03/14/2018, 04/02/2018, 04/05/2018, 04/13/2018, "
29:37.5,29:37.5,c8:93:46:48:70:90,Think_487090,WPA2,-76,7,Mxchip,Not an AP,14.646855,121.05785,19,"04/03/2018, 03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 03/22/2018, "
29:36.3,29:36.3,c8:93:46:48:4c:43,Think_484C43,WPA2,-68,7,Mxchip,Not an AP,14.64689,121.05779,21,"04/05/2018, 03/14/2018, 04/02/2018, 04/05/2018, 04/13/2018, 03/22/2018, 04/03/2018, "
29:36.8,29:36.8,c8:93:46:48:4c:7f,Think_484C7F,WPA2,-69,8,Mxchip,Not an AP,14.64689,121.05779,15,"04/03/2018, 04/05/2018, 03/14/2018, 04/03/2018, 04/13/2018, 03/22/2018, "
29:38.6,29:38.6,5c:6a:80:a3:6f:2b,UndefeatedBarbershop,WPA2/WPA,-68,9,ZyxelCom,Unidentified,14.64682,121.057908,22,"04/13/2018, 03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/10/2018, "
46:13.8,46:13.8,c8:93:46:cc:21:da,Think_CC21DA,WPA2/WPA,-78,6,Mxchip,Not an AP,14.646842,121.058088,5,"04/13/2018, 04/02/2018, 04/13/2018, 04/03/2018, "
37:43.8,37:43.8,cc:06:77:e1:80:f8,Cerebrew,WPA,-65,11,Fiberhom,Fiber,14.646932,121.057793,35,"03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, 03/14/2018, 04/13/2018, "
19:45.0,19:45.0,90:61:0c:2d:d3:09,tom&jerry,WPA2,-55,11,FidaInte,Unidentified,14.646818,121.057925,52,"03/22/2018, 04/05/2018, 04/13/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
37:40.7,37:40.7,90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,-61,11,FidaInte,Unidentified,14.646807,121.05798,38,"03/22/2018, 04/05/2018, 03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
34:10.7,34:10.7,90:61:0c:40:de:0c,PLDTHOMEDSL56844,WPA2/WPA,-78,11,FidaInte,Broadband,14.647065,121.057715,5,"04/05/2018, 04/02/2018, 04/03/2018, "
19:44.1,19:44.1,60:31:97:dc:e7:f0,The Wander Space Project,WPA2/WPA,-75,12,ZyxelCom,Unidentified,14.646812,121.057972,13,"04/03/2018, 04/05/2018, 03/22/2018, 04/03/2018, "
34:16.7,34:16.7,48:f8:b3:0f:d9:65,MotorGirl,WPA2,-56,1,Cisco-Li,Unidentified,14.646805,121.058077,30,"04/03/2018, 04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 03/14/2018, "
19:49.5,19:49.5,c8:93:46:48:56:58,Think_485658,WPA2,-76,3,Mxchip,Not an AP,14.646918,121.057785,14,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/02/2018, "
18:04.4,18:04.4,90:61:0c:3a:11:bd,PLDTHOMEDSL04541,WPA2/WPA,-80,11,FidaInte,Broadband,14.64697,121.05777,5,"04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, "
49:47.3,49:47.3,1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,-65,4,ZyxelCom,Broadband,14.646877,121.05793,47,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, 03/14/2018, 03/22/2018, "
4/5/2018 12:49,14:47.7,78:c1:a7:03:9e:ec,Pebble,WPA,-43,1,Zte,Unidentified,14.64695,121.057743,28,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, 03/22/2018, "
4/5/2018 12:49,14:46.7,e0:8e:3c:19:b0:ab,79Maginhawa,WPA,-76,1,AztechEl,Unidentified,14.646993,121.05769,2,"04/05/2018, "
4/5/2018 13:44,33:56.1,00:13:33:db:90:5c,PLDTHOMEDSL,WPA2/WPA,-66,11,Baudtec,Broadband,14.646873,121.057882,25,"03/22/2018, 04/05/2018, 04/02/2018, 04/03/2018, 03/14/2018, "
4/5/2018 13:41,30:38.4,ee:1d:7f:a1:35:10,aninay09,WPA2,-74,6,None,Unidentified,14.646935,121.057707,6,"04/05/2018, "
4/5/2018 13:41,30:37.4,36:69:87:a1:89:8f,NATOR 1O,WPA2/WPA,-72,6,None,Unidentified,14.646967,121.057672,12,"04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, "
4/5/2018 14:30,19:33.3,c8:93:46:48:60:c6,Think_4860C6,WPA2,-74,2,Mxchip,Not an AP,14.646868,121.057828,14,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/02/2018, "
4/5/2018 14:30,19:33.5,c8:93:46:48:4c:ae,Think_484CAE,WPA2,-74,2,Mxchip,Not an AP,14.646868,121.057828,20,"04/03/2018, 04/05/2018, 04/02/2018, 04/03/2018, "
4/13/2018 13:44,32:00.4,cc:06:77:21:70:80,zab,WPA2/WPA,-63,7,Fiberhom,Fiber,14.647163,121.05773,36,"03/22/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/02/2018, 03/14/2018, 04/10/2018, "
4/13/2018 13:44,32:01.8,c8:93:46:48:50:5b,Think_48505B,WPA2,-63,7,Mxchip,Not an AP,14.647133,121.057795,22,"03/22/2018, 04/03/2018, 04/05/2018, 04/13/2018, "
