Common,742
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-03-14 13:29:27.448284,2018-03-14 13:29:27.448284,e0:8e:3c:1a:88:57,METEORO,WPA2/WPA,-86,1,AztechEl,Unidentified,14.647242,121.057417
2018-03-22 20:51:52.965751,2018-03-22 20:51:52.965751,70:5a:9e:da:57:29,SKYbroadband5726,WPA2/WPA,-86,6,Technico,Broadband,14.647155,121.057442
2018-04-03 00:34:08.006407,2018-04-03 00:34:08.006407,00:26:75:f6:01:38,Aztech5018_6013A,WPA,-65,10,AztechEl,Unidentified,14.647148,121.05762
2018-04-03 00:37:57.138651,2018-04-03 00:37:57.138651,f0:98:38:07:d0:98,BLUE_EYES,WPA2/WPA,-73,11,HuaweiTe,Unidentified,14.646982,121.057327
2018-04-03 01:53:12.000340,2018-04-03 01:53:12.000340,1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,-75,4,None,Broadband,14.647053,121.057468
2018-04-05 13:14:10,2018-04-03 14:39:37.795230,bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,WPA2/WPA,-50,5,Fiberhom,Fiber,14.647073,121.057473
2018-04-05 13:14:12,2018-04-03 14:39:39.703440,00:13:33:d3:4b:09,PLDTHOMEDSL,WPA2/WPA,-73,6,Baudtec,Broadband,14.647022,121.057452
2018-04-05 12:52:49,2018-04-03 14:18:16.102506,90:61:0c:2e:a7:39,PLDTHOMEDSL42809,WPA2/WPA,-66,1,FidaInte,Broadband,14.646872,121.057317
2018-04-05 12:52:47,2018-04-03 14:18:14.036734,96:53:30:78:e4:71,DIRECT-m8-BRAVIA,WPA2,-74,1,None,Unidentified,14.646985,121.05737
2018-04-05 13:41:28,2018-04-03 14:30:37.269460,f2:9f:c2:91:17:d9,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-80,6,None,Unidentified,14.646997,121.057633
2018-04-05 14:06:58,2018-04-03 14:56:06.375391,90:61:0c:3a:4b:6e,PLDTHOMEDSL19310,WPA2/WPA,-71,1,FidaInte,Broadband,14.647147,121.057583
2018-04-05 13:41:25,2018-04-03 14:30:33.541745,ac:f9:70:ec:e7:f4,HomeWifi,WPA2/WPA,-80,4,HuaweiTe,Unidentified,14.647107,121.05752
2018-04-10 17:20:23,2018-04-03 15:35:19.338020,00:26:75:ea:a8:cc,foureyes,WPA,-82,10,AztechEl,Unidentified,14.64693,121.057352
2018-04-10 17:20:30,2018-04-03 15:35:26.891552,d0:b2:c4:57:23:67,arbalest,WPA2/WPA,-80,1,Technico,Unidentified,14.647122,121.05745
2018-04-13 13:44:05,2018-04-03 17:31:58.549086,c8:93:46:cc:21:05,Think_CC2105,WPA2/WPA,-73,6,Mxchip,Not an AP,14.647213,121.057623
2018-03-14 13:29:37.524170,2018-03-14 13:29:37.524170,c8:93:46:48:70:90,Think_487090,WPA2,-76,7,Mxchip,Not an AP,14.646855,121.05785
2018-03-14 13:29:36.277617,2018-03-14 13:29:36.277617,c8:93:46:48:4c:43,Think_484C43,WPA2,-68,7,Mxchip,Not an AP,14.64689,121.05779
2018-03-14 13:29:36.825566,2018-03-14 13:29:36.825566,c8:93:46:48:4c:7f,Think_484C7F,WPA2,-69,8,Mxchip,Not an AP,14.64689,121.05779
2018-03-14 13:29:38.564990,2018-03-14 13:29:38.564990,5c:6a:80:a3:6f:2b,UndefeatedBarbershop,WPA2/WPA,-68,9,ZyxelCom,Unidentified,14.64682,121.057908
2018-04-02 00:46:13.848340,2018-04-02 00:46:13.848340,c8:93:46:cc:21:da,Think_CC21DA,WPA2/WPA,-78,6,Mxchip,Not an AP,14.646842,121.058088
2018-04-03 00:37:43.844256,2018-04-03 00:37:43.844256,cc:06:77:e1:80:f8,Cerebrew,WPA,-65,11,Fiberhom,Fiber,14.646932,121.057793
2018-04-03 01:19:44.970845,2018-04-03 01:19:44.970845,90:61:0c:2d:d3:09,tom&jerry,WPA2,-55,11,FidaInte,Unidentified,14.646818,121.057925
2018-04-03 00:37:40.687482,2018-04-03 00:37:40.687482,90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,-61,11,FidaInte,Unidentified,14.646807,121.05798
2018-04-03 00:34:10.714142,2018-04-03 00:34:10.714142,90:61:0c:40:de:0c,PLDTHOMEDSL56844,WPA2/WPA,-78,11,FidaInte,Broadband,14.647065,121.057715
2018-04-03 01:19:44.070561,2018-04-03 01:19:44.070561,60:31:97:dc:e7:f0,The Wander Space Project,WPA2/WPA,-75,12,ZyxelCom,Unidentified,14.646812,121.057972
2018-04-03 00:34:16.715990,2018-04-03 00:34:16.715990,48:f8:b3:0f:d9:65,MotorGirl,WPA2,-56,1,Cisco-Li,Unidentified,14.646805,121.058077
