WigleWifi-1.4,appRelease=2.28,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
6e:5f:1c:de:d6:ad,Lenovo S650,[WPA2-PSK-CCMP][ESS],2018-04-24 11:54:33,1,-74,14.64684129,121.06076268,108,4.550999641418457,WIFI
18:a6:f7:8e:ef:ac,PSCSEND-Conference,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:54:33,1,-84,14.64684129,121.06076268,108,4.550999641418457,WIFI
e0:8e:3c:22:44:ab,bayanDSLWIFI_44AB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:54:33,4,-86,14.64684129,121.06076268,108,4.550999641418457,WIFI
51502_30232_210454612,Globe,HSPA;ph,2018-04-24 11:54:33,0,-63,14.64684129,121.06076268,108,4.550999641418457,GSM
58:70:c6:fe:8d:a0,YICarCam_fe8da0,[WPA2-PSK-CCMP][WPS][ESS],2018-04-24 11:54:39,6,-80,14.64689614,121.06078158,108,4.550999641418457,WIFI
ba:4e:26:4c:0e:e3,,[WPA2-PSK-CCMP][ESS],2018-04-24 11:54:39,10,-86,14.64689614,121.06078158,108,4.550999641418457,WIFI
cc:06:77:63:37:90,Estivlings,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-04-24 11:54:39,1,-86,14.64689614,121.06078158,108,4.550999641418457,WIFI
90:61:0c:2e:d5:16,PLDTHOMEDSL54550,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:54:39,1,-87,14.64689614,121.06078158,108,4.550999641418457,WIFI
90:f6:52:30:cb:26,For Programmer Only,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:54:39,6,-83,14.64689614,121.06078158,108,4.550999641418457,WIFI
dc:09:4c:32:a3:83,GlobeTattoo,[WPA2-PSK-CCMP][ESS],2018-04-24 11:54:39,11,-84,14.64689614,121.06078158,108,4.550999641418457,WIFI
90:61:0c:2e:d5:16,PLDTHOMEDSL54550,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:54:43,1,-82,14.64689366,121.06078263,107,4.550999641418457,WIFI
f0:98:38:3e:25:fc,HUAWEI-xUKs,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:54:43,7,-86,14.64689366,121.06078263,107,4.550999641418457,WIFI
0e:41:58:00:9f:ef,Wireless-N ext 1,[WPA-PSK-CCMP][ESS],2018-04-24 11:54:43,6,-87,14.64689366,121.06078263,107,4.550999641418457,WIFI
bc:c0:0f:7b:94:f0,RKT DESIGN STUDIO,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2018-04-24 11:54:43,3,-88,14.64689366,121.06078263,107,4.550999641418457,WIFI
e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:54:48,2,-88,14.6468912,121.060776,108,4.550999641418457,WIFI
38:a2:8c:fb:4c:68,Mitsubishi Wireless TV 363,[ESS],2018-04-24 11:54:48,36,-85,14.6468912,121.060776,108,4.550999641418457,WIFI
14:56:8e:f1:73:c1,roger,[WPA2-PSK-CCMP][ESS],2018-04-24 11:57:21,6,-77,14.64687753,121.060799,119,4.550999641418457,WIFI
7c:c7:09:c6:6e:43,Mitsubishi Wireless TV 524,[ESS],2018-04-24 11:57:21,36,-73,14.64687753,121.060799,119,4.550999641418457,WIFI
4e:5e:0c:a2:0c:3b,BaseOnev03,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2018-04-24 11:57:21,1,-86,14.64687753,121.060799,119,4.550999641418457,WIFI
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1970-01-01 08:00:00,1,-72,14.647225427142859,121.06042707571413,0,2.7980120182037354,WIFI
e0:8e:3c:1f:e9:c3,PSCSEND-Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1970-01-01 08:00:00,1,-86,14.647225427142859,121.06042707571413,0,2.7980120182037354,WIFI
6c:b7:49:1b:a8:84,B315_BA884,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1970-01-01 08:00:00,5,-88,14.647225427142859,121.06042707571413,0,2.7980120182037354,WIFI
b6:4e:26:4c:0e:e3,TFMGT Office_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1970-01-01 08:00:00,10,-92,14.647225427142859,121.06042707571413,0,2.7980120182037354,WIFI
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1970-01-01 08:00:00,1,-81,14.64689505,121.06078027,0,2.7980120182037354,WIFI
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:57:26,1,-79,14.64678999,121.06081289,112,4.550999641418457,WIFI
e0:8e:3c:1f:e9:c3,PSCSEND-Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:57:26,1,-87,14.64678999,121.06081289,112,4.550999641418457,WIFI
18:a6:f7:8e:ef:ac,PSCSEND-Conference,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:57:26,1,-79,14.64678999,121.06081289,112,4.550999641418457,WIFI
e0:8e:3c:2f:98:a5,Not in Range,[WPA-PSK-CCMP+TKIP][ESS],2018-04-24 11:57:26,4,-88,14.64678999,121.06081289,112,4.550999641418457,WIFI
e0:8e:3c:1f:e9:c3,PSCSEND-Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:57:31,1,-80,14.64672637,121.06081407,112,4.550999641418457,WIFI
0e:41:58:00:9f:ef,Wireless-N ext 1,[WPA-PSK-CCMP][ESS],2018-04-24 11:57:31,6,-81,14.64672637,121.06081407,112,4.550999641418457,WIFI
e4:77:23:a5:9a:84,RMotel Bayan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:57:31,13,-87,14.64672637,121.06081407,112,4.550999641418457,WIFI
90:61:0c:2e:d5:16,PLDTHOMEDSL54550,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:57:31,1,-65,14.64672637,121.06081407,112,4.550999641418457,WIFI
e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:57:31,2,-79,14.64672637,121.06081407,112,4.550999641418457,WIFI
74:d0:2b:dc:aa:00,RMotel Router,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-04-24 11:57:31,11,-82,14.64672637,121.06081407,112,4.550999641418457,WIFI
14:1f:78:c3:c9:56,Belle Wifi,[WPA2-PSK-CCMP][ESS],2018-04-24 11:57:31,1,-89,14.64672637,121.06081407,112,4.550999641418457,WIFI
e0:8e:3c:21:38:b7,Jay Sebastian,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:57:35,1,-84,14.64666838,121.06081949,113,4.550999641418457,WIFI
f2:6d:78:26:7e:09,BmXu-cm92ZWxpbjE5MDQ,[ESS],2018-04-24 11:57:35,6,-85,14.64666838,121.06081949,113,4.550999641418457,WIFI
d0:b1:28:77:a9:c1,CM.02.02,[WPA2-PSK-CCMP][PMF-OPT][ESS],2018-04-24 11:57:39,6,-88,14.64661823,121.0608327,113,4.550999641418457,WIFI
00:24:01:b8:d1:9d,FRANCISCO-PC_Network,[WPA2-PSK-CCMP][WPS][ESS],2018-04-24 11:57:43,6,-86,14.64656311,121.06083038,111,4.550999641418457,WIFI
00:26:75:f4:b3:f1,AUCTUSNEW2,[WPA2-PSK-CCMP+TKIP][ESS],2018-04-24 11:57:43,6,-84,14.64656311,121.06083038,111,4.550999641418457,WIFI
70:8b:cd:b2:7b:60,Flower Poopoo :3 ,[WPA2-PSK-CCMP][WPS][ESS],2018-04-24 11:57:51,1,-86,14.64645493,121.06082529,110,4.550999641418457,WIFI
00:24:01:b8:d1:9d,FRANCISCO-PC_Network,[WPA2-PSK-CCMP][WPS][ESS],2018-04-24 11:57:55,6,-78,14.64641523,121.06082042,111,4.550999641418457,WIFI
