Total APs,1026
PLDT,205
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:03:38,2018-04-24 14:03:38.749303,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,-64,1,FidaInte,Broadband,14.646983,121.060787
2018-04-24 22:02:48,2018-04-24 14:02:48.886078,94:46:96:1e:9b:87,PLDTHOMEDSLW3WH0,WPA2/WPA,-91,5,Baudtec,Broadband,14.647045,121.060800
2018-04-24 22:04:12,2018-04-24 14:04:12.539249,00:13:33:e3:b0:3b,PLDTHOMEDSL,WPA2/WPA,-60,11,Baudtec,Broadband,14.646703,121.060773
2018-04-24 22:04:32,2018-04-24 14:04:32.674730,90:61:0c:2e:02:f3,PLDTHOMEDSL00755,WPA2/WPA,-81,11,FidaInte,Broadband,14.646520,121.060842
2018-04-24 22:04:33,2018-04-24 14:04:33.656416,00:13:33:ea:87:f5,PLDTHOMEDSL,WPA2/WPA,-60,11,Baudtec,Broadband,14.646508,121.060842
2018-04-24 22:03:53,2018-04-24 14:03:53.856784,00:13:33:cf:5e:f8,PLDTHOMEDSL,WPA2/WPA,-88,11,Baudtec,Broadband,14.646892,121.060777
2018-04-24 22:04:29,2018-04-24 14:04:30.512449,00:13:33:c6:d0:da,PLDTHOMEDSL,WPA2/WPA,-72,11,Baudtec,Broadband,14.646553,121.060852
2018-04-24 22:05:15,2018-04-24 14:05:16.248653,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,WPA2/WPA,-48,1,Fiberhom,Fiber,14.646040,121.060808
2018-04-24 22:05:15,2018-04-24 14:05:15.767944,cc:06:77:e1:7c:c8,PLDTHOMEFIBR17cc8,WPA2/WPA,-73,1,Fiberhom,Fiber,14.646040,121.060808
2018-04-24 22:05:31,2018-04-24 14:05:32.574782,00:13:33:dc:91:af,PLDTHOMEDSLDAL1,WPA2/WPA,-64,11,Baudtec,Broadband,14.645893,121.060830
2018-04-24 22:06:46,2018-04-24 14:06:46.910927,00:13:33:e1:9b:5c,PLDTHOMEDSL,WPA2/WPA,-61,11,Baudtec,Broadband,14.645182,121.060827
2018-04-24 22:06:51,2018-04-24 14:06:51.933901,00:13:33:e8:f8:31,PLDTHOMEDSL,WPA2/WPA,-54,11,Baudtec,Broadband,14.645112,121.060813
2018-04-24 22:06:19,2018-04-24 14:06:19.982821,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,WPA2/WPA,-64,4,Baudtec,Broadband,14.645473,121.060882
2018-04-24 22:06:56,2018-04-24 14:06:56.734717,00:13:33:e1:c5:5a,PLDTHOMEDSL,WPA2/WPA,-61,5,Baudtec,Broadband,14.645052,121.060823
2018-04-24 22:06:40,2018-04-24 14:06:41.325206,00:13:33:ed:60:48,PLDTHOMEDSL,WPA2/WPA,-58,6,Baudtec,Broadband,14.645275,121.060858
2018-04-24 22:07:04,2018-04-24 14:07:05.032448,90:61:0c:41:1e:37,PLDTHOMEDSL07735,WPA2/WPA,-57,11,FidaInte,Broadband,14.645003,121.060853
2018-04-24 22:07:08,2018-04-24 14:07:09.120929,94:46:96:1d:8a:0d,PLDTHOMEDSLTPTE0,WPA2/WPA,-73,11,Baudtec,Broadband,14.644978,121.060873
