First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-04-24 22:03:50,e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-85,1,14.64666218,121.06082879
2018-04-24 22:03:50,18:a6:f7:8e:ef:ac,PSCSEND-Conference,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-77,10,14.64666218,121.06082879
2018-04-24 22:03:50,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-75,1,14.64666218,121.06082879
2018-04-24 22:03:50,e0:8e:3c:22:44:ab,bayanDSLWIFI_44AB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-83,4,14.64666218,121.06082879
2018-04-24 22:03:50,b0:c1:9e:49:f6:70,salt,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-69,8,14.64666218,121.06082879
2018-04-24 22:04:03,90:f6:52:30:cb:26,For Programmer Only,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-81,6,14.64654955,121.06086712
2018-04-24 22:03:50,51502_30232_210454664,Globe,HSPA;ph,-75,0,14.64666218,121.06082879
2018-04-24 22:03:55,e0:8e:3c:1f:e9:c3,PSCSEND-Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-83,10,14.64661143,121.06084437
2018-04-24 22:03:55,e0:8e:3c:22:1c:23,bayanDSLWIFI_1C23,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-82,2,14.64661143,121.06084437
2018-04-24 22:04:54,0e:41:58:00:9f:ef,Wireless-N ext 1,[WPA-PSK-CCMP][ESS],-80,6,14.64609839,121.06091183
2018-04-24 23:38:21,70:8b:cd:b2:7b:60,Flower Poopoo :3 ,[WPA2-PSK-CCMP][WPS][ESS],-86,1,14.64610041,121.06018488
2018-04-24 22:04:45,00:24:01:b8:d1:9d,FRANCISCO-PC_Network,[WPA2-PSK-CCMP][WPS][ESS],-76,6,14.64620246,121.06090727
2018-04-24 22:46:37,51502_30232_210446713,Globe,HSPA;ph,-73,0,14.64355601,121.05979033
2018-04-24 22:04:03,00:13:33:e3:b0:3b,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,11,14.64654955,121.06086712
2018-04-24 23:36:46,b6:4e:26:4c:12:53,TFMGT Office_Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-75,10,14.64628915,121.05950655
2018-04-24 23:36:46,b0:4e:26:4c:12:53,TFMGT Office,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-73,10,14.64628915,121.05950655
