GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:42:10,2018-04-24 14:42:10.576312,fc:b4:e6:a9:0b:d4,SKYbroadband3892,WPA2/WPA,-79,6,AskeyCom,none,14.643762,121.058060
2018-04-24 22:41:33,2018-04-24 14:41:34.147460,d0:13:fd:4f:83:ba,V20_1573,WPA2,-31,6,LgElectr,none,14.643712,121.058030
2018-04-24 22:42:31,2018-04-24 14:42:32.367539,f0:98:38:f9:5b:24,Nandy,WPA2/WPA,-73,7,HuaweiTe,none,14.643792,121.058113
2018-04-24 22:42:27,2018-04-24 14:42:27.848728,bc:c0:0f:1f:08:e0,PLDTHOMEFIBRf08e0,WPA2/WPA,-78,5,Fiberhom,none,14.643793,121.058085
2018-04-24 22:42:33,2018-04-24 14:42:34.351237,74:da:da:8c:97:f7,Blazebunny,WPA2/WPA,-74,8,D-LinkIn,none,14.643793,121.058127
2018-04-24 22:43:32,2018-04-24 14:43:32.912224,74:cc:39:87:88:78,PLDTHOMEFIBR78878,WPA2/WPA,-53,9,Fiberhom,none,14.643882,121.058640
2018-04-24 22:42:38,2018-04-24 14:42:39.456834,fa:8f:ca:6d:d2:fe,xNonex,OPN,-75,11,None,none,14.643790,121.058162
2018-04-24 22:42:40,2018-04-24 14:42:40.611601,70:5a:9e:84:13:50,SKYbroadband134D,WPA2/WPA,-63,11,Technico,none,14.643790,121.058177
2018-04-24 22:42:15,2018-04-24 14:42:15.866995,00:13:33:fc:d0:c5,PLDTHOMEDSL,WPA2/WPA,-76,10,Baudtec,none,14.643765,121.058062
2018-04-24 22:42:38,2018-04-24 14:42:38.900406,fa:8f:ca:6d:d6:8d,xNonex,OPN,-69,11,None,none,14.643790,121.058162
2018-04-24 22:58:16,2018-04-24 14:58:16.897409,ec:08:6b:62:bc:28,M_Sec,WPA2,-74,13,Tp-LinkT,none,14.644507,121.058168
2018-04-24 22:42:39,2018-04-24 14:42:40.210205,ec:08:6b:93:bc:29,2.4DONOSHIPS,WPA2,-72,13,Tp-LinkT,none,14.643790,121.058170
2018-04-24 22:42:04,2018-04-24 14:42:05.256019,f0:98:38:f9:56:18,HUAWEI-BDmF,WPA2/WPA,-74,1,HuaweiTe,none,14.643758,121.058052
2018-04-24 22:43:01,2018-04-24 14:43:01.996784,e0:8e:3c:16:62:7d,bayanDSLWIFI_627D,WPA2/WPA,-66,1,AztechEl,none,14.643820,121.058373
2018-04-24 22:41:28,2018-04-24 14:41:28.327367,14:b7:f8:64:bb:76,SKYbroadbandBB73,WPA2,-72,1,Technico,none,14.643697,121.058027
2018-04-24 22:43:39,2018-04-24 14:43:40.011287,80:29:94:68:33:dd,SKYbroadband33DA,WPA2/WPA,-58,1,Technico,none,14.643895,121.058715
2018-04-24 22:41:29,2018-04-24 14:41:29.534392,bc:c0:0f:7b:82:48,FIBERHOME_b8248,WPA2/WPA,-85,1,Fiberhom,none,14.643693,121.058027
2018-04-24 22:43:05,2018-04-24 14:43:06.248833,4c:f9:5d:85:c3:70,virus detected,WPA2/WPA,-69,4,HuaweiTe,none,14.643817,121.058405
2018-04-24 22:43:07,2018-04-24 14:43:08.071106,f0:98:38:07:b6:6c,AMOSH,WPA2/WPA,-69,5,HuaweiTe,none,14.643815,121.058423
2018-04-24 22:42:29,2018-04-24 14:42:29.580871,74:cc:39:89:c5:68,Geobunny,WPA2,-85,5,Fiberhom,none,14.643790,121.058100
2018-04-24 22:41:35,2018-04-24 14:41:35.807153,5c:54:6d:43:dd:ac,delink2,WPA2/WPA,-86,6,HuaweiTe,none,14.643722,121.058035
2018-04-24 22:42:37,2018-04-24 14:42:37.771365,60:e3:27:3c:3f:dd,TP-LINK_3FDD,WPA2,-83,11,Tp-LinkT,none,14.643792,121.058153
2018-04-24 22:44:11,2018-04-24 14:44:11.574721,90:61:0c:10:58:38,PLDTMyDSL,WPA2/WPA,-63,11,FidaInte,none,14.643915,121.059008
2018-04-24 22:43:16,2018-04-24 14:43:17.779340,90:61:0c:17:03:73,PLDTMyDSL,WPA2/WPA,-75,11,FidaInte,none,14.643840,121.058498
2018-04-24 22:42:59,2018-04-24 14:42:59.558498,00:13:33:cf:5b:47,PLDTHOMEDSL,WPA2/WPA,-67,11,Baudtec,none,14.643815,121.058348
2018-04-24 22:59:35,2018-04-24 14:59:35.701876,18:a3:e8:1f:56:a0,PLDTHOMEFIBR_1f56a0,WPA2/WPA,-88,2,Fiberhom,none,14.644492,121.057473
2018-04-24 22:44:39,2018-04-24 14:44:40.383756,f0:98:38:72:c4:58,HUAWEI-H46f,WPA2/WPA,-52,3,HuaweiTe,none,14.643948,121.059255
2018-04-24 22:43:27,2018-04-24 14:43:28.450737,00:27:19:18:10:18,PACISNET,WPA2/WPA,-87,6,Tp-LinkT,none,14.643887,121.058607
2018-04-24 22:42:18,2018-04-24 14:42:19.124443,e0:8e:3c:28:e6:bc,quench,WPA,-83,11,AztechEl,none,14.643768,121.058062
2018-04-24 22:42:18,2018-04-24 14:42:19.336612,90:61:0c:39:fe:ba,PLDTHOMEDSL65210,WPA2/WPA,-88,11,FidaInte,none,14.643768,121.058062
2018-04-24 22:42:20,2018-04-24 14:42:21.185704,34:4b:50:49:07:7f,PLDTMyDSL,WPA2/WPA,-87,11,Zte,none,14.643772,121.058063
2018-04-24 22:59:30,2018-04-24 14:59:30.661163,90:61:0c:18:b5:14,HERNANIJIMENEZ,WPA,-82,11,FidaInte,none,14.644485,121.057512
2018-04-24 22:43:57,2018-04-24 14:43:58.466198,50:09:59:85:dc:95,SKYbroadbandDC92,WPA2/WPA,-63,1,Technico,none,14.643905,121.058873
2018-04-24 22:58:36,2018-04-24 14:58:37.029392,6c:b7:49:02:88:43,Kapatagan,WPA2/WPA,-86,1,HuaweiTe,none,14.644488,121.057997
2018-04-24 22:44:18,2018-04-24 14:44:18.912259,7c:8b:ca:36:c9:71,MAHABAGIN 44A,WPA2/WPA,-63,2,Tp-LinkT,none,14.643923,121.059057
2018-04-24 22:43:24,2018-04-24 14:43:24.636477,bc:98:89:2c:51:20,xNonex,WPA,-76,4,Fiberhom,none,14.643877,121.058582
2018-04-24 22:43:46,2018-04-24 14:43:46.967955,f0:98:38:07:84:f4,Agham II,WPA2/WPA,-71,7,HuaweiTe,none,14.643897,121.058768
2018-04-24 22:57:54,2018-04-24 14:57:55.533802,ac:22:0b:d2:aa:80,KARIMAN,WPA2,-56,11,AsustekC,none,14.644515,121.058325
2018-04-24 22:43:51,2018-04-24 14:43:52.354956,bc:c0:0f:7e:d5:e0,Halimaw,WPA2/WPA,-66,11,Fiberhom,none,14.643902,121.058817
2018-04-24 22:57:54,2018-04-24 14:57:55.497192,40:9b:cd:60:00:e8,KARIMAN2,WPA2/WPA,-71,11,D-LinkIn,none,14.644515,121.058325
2018-04-24 22:43:07,2018-04-24 14:43:07.794761,3c:52:82:fd:04:a5,DIRECT-A4-HP DeskJet 3630 series,WPA2,-79,6,HewlettP,none,14.643815,121.058423
2018-04-24 22:44:05,2018-04-24 14:44:05.566119,34:ba:9a:54:a9:8e,deegee,WPA2/WPA,-68,6,Asiatelc,none,14.643917,121.058948
2018-04-24 22:42:49,2018-04-24 14:42:50.427685,08:10:73:47:0e:f4,elsa57,WPA2/WPA,-90,6,None,none,14.643790,121.058247
2018-04-24 22:43:01,2018-04-24 14:43:02.572223,08:95:2a:5d:32:d4,SKYbroadbandFEBB,WPA2/WPA,-89,1,Technico,none,14.643820,121.058373
2018-04-24 22:43:21,2018-04-24 14:43:21.943643,c8:b3:73:12:69:2b,barotillaFIBR,WPA2/WPA,-75,1,Cisco-Li,none,14.643868,121.058552
2018-04-24 22:43:20,2018-04-24 14:43:21.329563,90:61:0c:3a:05:28,skyechai,WPA2/WPA,-84,1,FidaInte,none,14.643867,121.058543
2018-04-24 22:43:15,2018-04-24 14:43:16.210833,90:61:0c:41:04:ff,CD-R KING,WPA2/WPA,-88,11,FidaInte,none,14.643835,121.058488
2018-04-24 22:43:53,2018-04-24 14:43:53.987949,18:a6:f7:27:b6:c5,Jambanooky,WPA2,-87,11,Tp-LinkT,none,14.643900,121.058835
2018-04-24 22:44:13,2018-04-24 14:44:13.724029,8c:79:67:c1:47:d9,.Scratchmedia,WPA2/WPA,-70,11,Zte,none,14.643918,121.059030
2018-04-24 22:43:35,2018-04-24 14:43:36.403889,4e:ef:c0:6a:e4:b1,xNonex,WPA2,-85,11,None,none,14.643888,121.058675
2018-04-24 22:44:10,2018-04-24 14:44:11.366988,c8:b3:73:2b:8c:62,RBP3,WPA2,-75,11,Cisco-Li,none,14.643913,121.059000
2018-04-24 22:43:39,2018-04-24 14:43:40.063493,e4:77:23:a5:3e:60,AGHAM,WPA2/WPA,-80,1,Zte,none,14.643895,121.058715
2018-04-24 22:56:47,2018-04-24 14:56:48.001587,cc:06:77:76:43:80,Pldtfibre1,WPA2/WPA,-59,1,Fiberhom,none,14.644593,121.059003
2018-04-24 22:43:58,2018-04-24 14:43:58.589749,74:da:da:8c:9f:6e,dlink-9F6D,WPA2/WPA,-67,2,D-LinkIn,none,14.643908,121.058883
2018-04-24 22:44:01,2018-04-24 14:44:01.658356,bc:c0:0f:7b:61:f0,MAHABAGIN 44A,WPA2/WPA,-83,2,Fiberhom,none,14.643915,121.058912
2018-04-24 22:44:41,2018-04-24 14:44:42.175198,68:7f:74:d2:17:74,SAMWIJANGCO-PC_Network,WPA2,-71,6,Cisco-Li,none,14.643952,121.059270
2018-04-24 22:53:08,2018-04-24 14:53:08.665296,f8:1a:67:a5:d5:26,Apollo,WPA2/WPA,-65,6,Tp-LinkT,none,14.644268,121.059993
2018-04-24 22:43:46,2018-04-24 14:43:47.537083,80:29:94:68:12:a5,SKYbroadband12A2,WPA2/WPA,-84,6,Technico,none,14.643897,121.058768
2018-04-24 22:44:52,2018-04-24 14:44:52.863293,00:13:33:e8:f8:c7,PLDTHOMEDSL,WPA2/WPA,-64,11,Baudtec,none,14.644000,121.059365
2018-04-24 22:43:59,2018-04-24 14:43:59.795509,fa:8f:ca:90:48:99,xNonex,OPN,-86,2,None,none,14.643912,121.058893
2018-04-24 22:44:18,2018-04-24 14:44:18.567256,48:00:33:62:4c:59,Dumo - Villafuerte - Magrata,WPA2/WPA,-65,1,Technico,none,14.643923,121.059057
2018-04-24 22:44:05,2018-04-24 14:44:05.603222,b0:4e:26:e4:61:9f,PLDTHOMEFIBR9c610,WPA2/WPA,-90,6,Tp-LinkT,none,14.643917,121.058948
2018-04-24 22:52:13,2018-04-24 14:52:13.889608,94:46:96:16:11:b9,PLDTHOMEDSL4T4K0,WPA2/WPA,-77,7,Baudtec,none,14.644292,121.060500
