GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-03 00:29:30.900115,2018-04-03 00:29:30.900115,d0:65:ca:19:f5:c0,HUAWEI-F5C0,WPA2,-74,2,HuaweiTe,none,14.649932,121.052590
2018-04-03 00:52:22.346363,2018-04-03 00:52:22.346363,50:c7:bf:d8:60:52,NHA-WiFi-Guest,WPA2/WPA,-81,2,Tp-LinkT,none,14.650033,121.054107
2018-04-03 00:43:12.878260,2018-04-03 00:43:12.878260,50:c7:bf:d8:60:9a,NHA-WiFi-Guest,WPA2/WPA,-85,3,Tp-LinkT,none,14.650323,121.052405
2018-04-03 01:14:59.436125,2018-04-03 01:14:59.436125,d4:6e:0e:49:d6:86,EstateMgmt,WPA,-73,5,Tp-LinkT,none,14.650190,121.052823
2018-04-03 00:31:26.708842,2018-04-03 00:31:26.708842,50:c7:bf:d8:62:57,NHA-WiFi-Guest,WPA2/WPA,-75,4,Tp-LinkT,none,14.650030,121.052990
2018-04-03 01:14:59.264205,2018-04-03 01:14:59.264205,d0:6e:0e:49:d6:86,EMDWiFi2,WPA2,-74,5,None,none,14.650190,121.052823
2018-04-03 00:29:52.642036,2018-04-03 00:29:52.642036,58:70:c6:f4:ee:b2,YICarCam_f4eeb2,WPA2,-76,5,Shanghai,none,14.650027,121.052568
2018-04-03 00:40:19.796269,2018-04-03 00:40:19.796269,00:21:29:7b:5c:54,BalaiTalakayan,WPA,-71,6,Cisco-Li,none,14.649833,121.054032
2018-04-03 00:29:37.958003,2018-04-03 00:29:37.958003,1c:67:58:ec:6e:69,BRIGHTSPEED39,WPA2,-83,8,HuaweiTe,none,14.650002,121.052550
2018-04-03 00:40:48.592277,2018-04-03 00:40:48.592277,d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,-73,11,Tp-LinkT,none,14.650118,121.053053
2018-04-03 01:14:27.899333,2018-04-03 01:14:27.899333,00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,WPA2/WPA,-69,11,Baudtec,none,14.650178,121.052908
2018-04-03 01:10:19.869974,2018-04-03 01:10:19.869974,74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,-65,11,Tp-LinkT,none,14.650120,121.053202
2018-04-03 00:40:26.477883,2018-04-03 00:40:26.477883,88:3f:d3:05:e7:d0,HUAWEI-6443,WPA2/WPA,-71,11,HuaweiTe,none,14.650127,121.053907
2018-04-03 01:06:02.906723,2018-04-03 01:06:02.906723,00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,-78,11,Baudtec,none,14.650200,121.052837
2018-04-03 00:29:43.119649,2018-04-03 00:29:43.119649,ee:1d:7f:a2:38:eb,SAPkq,WPA2/WPA,-87,11,None,none,14.650025,121.052555
2018-04-03 00:29:43.492076,2018-04-03 00:29:43.492076,d4:6e:0e:a2:53:b3,OGM-WR1,WPA2/WPA,-89,11,Tp-LinkT,none,14.650025,121.052555
