GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-10 17:14:10,2018-04-03 15:29:06.566267,9c:a5:c0:03:60:be,BvhV-dml2b1k1MQ,OPN,-61,6,VivoMobi,none,14.650330,121.053595
2018-04-10 17:14:30,2018-04-03 15:29:26.702129,00:21:29:7b:5c:54,BalaiTalakayan,WPA,-62,6,Cisco-Li,none,14.650267,121.053438
2018-04-10 17:13:34,2018-04-03 15:28:30.633357,aa:a6:68:da:4f:99,Sun Wi-Fi_DA4F99,WPA2/WPA,-71,7,None,none,14.650837,121.053662
2018-04-10 17:13:38,2018-04-03 15:28:33.802800,94:fe:22:b1:95:df,TUCP OFFICE,WPA2/WPA,-43,8,HuaweiTe,none,14.650810,121.053642
2018-04-10 17:13:55,2018-04-03 15:28:51.377178,cc:06:77:5e:23:a8,PLDTHOMEFIBRe23a8,WPA2/WPA,-83,7,Fiberhom,none,14.650538,121.053523
2018-04-10 17:13:43,2018-04-03 15:28:39.200521,5c:f2:86:2a:f6:e6,Globe_LTE MIFI_F6E6,WPA2/WPA,-77,10,IeeeRegi,none,14.650755,121.053613
2018-04-10 17:13:42,2018-04-03 15:28:38.645729,58:c5:cb:d0:1a:a7,AndroidAP,WPA2,-62,11,SamsungE,none,14.650765,121.053618
2018-04-10 17:13:41,2018-04-03 15:28:37.857831,00:13:33:e8:fb:10,PLDTHOMEDSL-Profood,WPA2/WPA,-77,11,Baudtec,none,14.650775,121.053622
2018-04-10 17:13:40,2018-04-03 15:28:36.541543,00:13:33:e6:02:7f,PLDTHOMEDSL,WPA2/WPA,-81,11,Baudtec,none,14.650792,121.053628
2018-04-10 17:14:57,2018-04-03 15:29:53.327464,ee:51:bc:dc:47:d7,BOKk-Q1BIMTcyMw,OPN,-81,11,None,none,14.650145,121.053610
2018-04-10 17:13:45,2018-04-03 15:28:41.296029,aa:a6:68:b4:a3:f9,Rowena,WPA2/WPA,-73,1,None,none,14.650723,121.053600
2018-04-10 17:13:47,2018-04-03 15:28:43.149075,d0:17:c2:29:4d:9e,kellengot,WPA2,-72,1,AsustekC,none,14.650678,121.053585
2018-04-10 17:13:45,2018-04-03 15:28:41.350849,88:d2:74:a8:fe:54,Cradle of Learners,WPA,-58,2,Zte,none,14.650723,121.053600
2018-04-10 17:13:45,2018-04-03 15:28:41.367634,76:4a:a4:db:88:be,Smart Bro_DB88BE,WPA2,-75,1,None,none,14.650723,121.053600
2018-04-10 17:13:48,2018-04-03 15:28:44.654048,c4:07:2f:99:18:63,HUAWEI-E5330-1863,WPA2,-60,1,HuaweiTe,none,14.650668,121.053580
2018-04-10 17:13:46,2018-04-03 15:28:41.813427,48:00:33:a8:86:35,SKYbroadband8632,WPA2/WPA,-93,1,Technico,none,14.650697,121.053588
2018-04-10 17:13:50,2018-04-03 15:28:46.995467,70:4f:57:d0:b3:9c,TUCP_AVR,WPA2,-85,4,Tp-LinkT,none,14.650623,121.053558
2018-04-10 17:13:52,2018-04-03 15:28:48.419517,84:16:f9:3f:f2:3e,TUCPVP,WPA2,-73,5,Tp-LinkT,none,14.650583,121.053540
2018-04-10 17:13:51,2018-04-03 15:28:48.079807,58:70:c6:c9:13:7b,YICarCam_c9137b,WPA2,-80,5,Shanghai,none,14.650598,121.053543
2018-04-10 17:14:21,2018-04-03 15:29:17.145659,74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,-68,11,Tp-LinkT,none,14.650290,121.053565
2018-04-10 18:00:23,2018-04-03 16:15:19.752776,88:3f:d3:05:e7:d0,HUAWEI-6443,WPA2/WPA,-77,11,HuaweiTe,none,14.650167,121.053862
2018-04-10 17:59:51,2018-04-03 16:14:48.374773,50:c7:bf:d8:62:57,NHA-WiFi-Guest,WPA2/WPA,-83,3,Tp-LinkT,none,14.648510,121.053585
2018-04-10 17:14:11,2018-04-03 15:29:08.212011,06:d6:aa:cd:21:f9,Jamijaamm,WPA2,-61,6,None,none,14.650320,121.053595
2018-04-10 17:51:59,2018-04-03 16:06:56.035096,48:f8:b3:d4:9e:a5,Isidro2Link2.4,WPA2,-65,7,Cisco-Li,none,14.650143,121.053808
2018-04-10 17:14:14,2018-04-03 15:29:10.559916,68:14:01:74:58:bc,HP-Print-BC-Color LaserJet Pro,WPA2/WPA,-89,7,HonHaiPr,none,14.650307,121.053592
2018-04-10 17:14:19,2018-04-03 15:29:15.897666,50:c7:bf:d8:60:52,NHA-WiFi-Guest,WPA2/WPA,-75,10,Tp-LinkT,none,14.650295,121.053572
2018-04-10 17:14:21,2018-04-03 15:29:17.002640,d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,-78,11,Tp-LinkT,none,14.650290,121.053565
2018-04-10 17:14:20,2018-04-03 15:29:16.270709,d4:6e:0e:a2:53:b3,OGM-WR1,WPA2/WPA,-86,11,Tp-LinkT,none,14.650290,121.053568
2018-04-10 17:15:56,2018-04-03 15:30:52.670077,0e:12:62:81:27:e7,Erliza,WPA2/WPA,-77,1,None,none,14.650083,121.053713
2018-04-10 17:14:23,2018-04-03 15:29:19.592742,70:4f:57:2b:c0:a8,TP-Link_info,WPA2,-89,1,Tp-LinkT,none,14.650293,121.053547
2018-04-10 17:14:24,2018-04-03 15:29:20.142014,f0:98:38:9f:fd:28,HUAWEI-yJc8,WPA2/WPA,-88,2,HuaweiTe,none,14.650302,121.053545
2018-04-10 17:14:30,2018-04-03 15:29:26.666372,a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,-88,6,HewlettP,none,14.650267,121.053438
