"1,6,11",112,,
BSSID,SSID,Encryption,Channel
ea:43:f6:49:02:10,PLDTMYDSLBiz,WPA,11
e6:43:f6:49:02:10,RocketJump4G,WPA,11
3c:46:d8:25:05:bb,TP-LINK_M7350_2505BB,WPA2/WPA,1
78:44:76:21:7a:cc,CRIO2,WPA2,11
08:23:b2:fc:09:18,Nogie,WPA2,11
f0:98:38:9f:fd:28,HUAWEI-yJc8,WPA2/WPA,1
88:3f:d3:05:e7:d0,HUAWEI-6443,WPA2/WPA,11
00:13:33:e8:fb:10,PLDTHOMEDSL-Profood,WPA2/WPA,11
94:fe:22:b1:95:df,TUCP OFFICE,WPA2/WPA,6
88:3f:d3:06:29:38,HUAWEI-Bn7b,WPA2/WPA,5
9c:6f:52:1c:a8:af,Meisha 0911,WPA,1
00:13:33:ea:82:fa,PLDTHOMEDSL,WPA2/WPA,11
00:1f:fb:ac:64:8b,Macaraeg,WPA2,11
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,WPA2/WPA,11
1c:af:f7:17:a3:d2,abad,WPA2/WPA,11
00:13:33:e5:fb:d6,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e5:f9:e2,PLDTHOMEDSLironman,WPA2/WPA,11
00:13:33:ce:c7:95,PLDTHOMEDSLservants,WPA2/WPA,11
80:29:94:68:33:d5,SKYbroadband33D2,WPA2/WPA,1
08:95:2a:5b:4b:f4,SKYbroadband3003,WPA2/WPA,6
fc:b4:e6:4a:ca:db,SKYbroadband1860,WPA2/WPA,1
00:26:75:f7:20:e4,benz,WPA,10
cc:5d:4e:ac:d7:08,PLDTMyDSL19,WPA2/WPA,11
48:00:33:62:30:f1,BayangMalusog,WPA2/WPA,1
d4:7b:b0:53:b8:ab,Chewboiboi,WPA2/WPA,1
90:61:0c:31:9a:fc,PLDTHOMEDSLPoodle,WPA2,1
88:d2:74:86:a6:b7,bayanDSLWIFI_A6B7,WPA2/WPA,11
00:13:33:e5:fd:e8,PLDTHOMEDSL,WPA2/WPA,11
f8:d1:11:83:78:44,Virus Detected,WPA2/WPA,1
88:3f:d3:06:29:6c,DESKARTE,WPA2/WPA,1
b0:b2:dc:aa:c8:8c,PLDTMyDSLvirus,WPA2/WPA,11
48:00:33:62:3d:01,SKYbroadband3CFE,WPA2/WPA,11
32:cd:a7:f4:e7:de,DIRECT-TcM2070 Series,WPA2,1
00:13:33:f4:27:ef,PLDTHOMEDSLBILL,WPA2/WPA,1
1c:b7:2c:79:f8:88,AWESOME.RIBS,WPA2,1
7a:31:c1:75:6c:83,iPhone,WPA2,1
cc:06:77:60:2f:88,PLDTHOMEFIBR02f88,WPA2/WPA,1
00:24:01:18:ad:e1,HOLYFAMILY,WPA2/WPA,6
cc:06:77:60:54:f8,fibr1,WPA2/WPA,1
78:c1:a7:24:27:66,Ragnarok1017,WPA,1
08:95:2a:e4:85:d8,SKYbroadband624F,WPA2/WPA,11
90:61:0c:33:aa:70,PLDTHOMEDSL43632,WPA2/WPA,11
08:95:2a:89:35:37,SKYbroadbandA450,WPA2/WPA,6
70:5a:9e:da:57:29,SKYbroadband5726,WPA2/WPA,11
e0:8e:3c:1a:88:57,METEORO,WPA2/WPA,1
c8:93:46:48:56:58,Think_485658,WPA2,1
a0:f3:c1:a4:4d:8a,Elenita,WPA2/WPA,6
90:61:0c:39:f2:a4,PLDTHOMEDSL62116,WPA2/WPA,1
c8:93:46:cc:21:05,Think_CC2105,WPA2/WPA,6
c8:93:46:cc:21:da,Think_CC21DA,WPA2/WPA,6
36:69:87:a1:89:8f,NATOR 1O,WPA2/WPA,1
1e:74:0d:02:3c:c8,PLDTMyDSLBizADMIN,WPA2/WPA,1
5c:6a:80:a3:6f:37,UNDER THE SEA,WPA2/WPA,7
14:ab:f0:4d:9d:80,ARRIS-9D82,WPA2,6
0c:f4:d5:15:99:28,#SmartWifi @StrEATMag,OPN,11
a4:2b:b0:c1:4c:87,SKYbroadband7B2C_EXT,WPA2/WPA,11
84:1b:5e:76:29:70,Munays,WPA2/WPA,11
a4:2b:b0:c1:4e:b5,SKYbroadband7B2C_EXT,WPA2/WPA,11
f0:98:38:07:78:bc,8386CGA,WPA2/WPA,7
