Common,175
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
d4:61:2e:5f:a2:46,Tags Wifi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-80,-76
5c:f2:86:22:08:72,WIFIKO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-87,-85
5c:6a:80:a3:70:6f,OGM2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,9,9,-86,-92
58:70:c6:02:63:7a,YICarCam_02637a,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,5,-83,-89
58:70:c6:f5:68:b4,YICarCamera,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,5,-85,-82
9c:e0:63:20:2e:9c,AndroidAP,[WPA2-PSK-CCMP][ESS],WPA2,6,48,-91,-89
08:78:08:48:a2:50,AndroidAP,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-88,-80
d8:5d:4c:ff:6d:08,WiFi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],WPA2/WPA,11,11,-82,-88
bc:c0:0f:7b:a5:30,FIBERHOME_ba530,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,2,2,-89,-84
88:d2:74:a8:fe:54,Cradle of Learners,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,2,2,-87,-84
8e:79:67:b2:dd:0f,ZTE-MF65M-DD0F,[WPA2-PSK-CCMP][WPS][ESS],WPA2,13,13,-87,-90
54:b8:0a:36:61:68,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-77,-75
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,-82
c4:12:f5:75:e3:8a,bilan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,3,3,-70,-71
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-81,-76
00:21:29:7b:5c:54,BalaiTalakayan,[WPA-PSK-TKIP][WPS][ESS],WPA,6,6,-90,-81
14:91:82:14:e4:12,IsidroGlobe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,9,-87,-84
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-83,-86
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-86,-81
f0:98:38:3d:eb:48,HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-76,-87
78:c1:a7:05:c5:5c,LUCAS INTERNET,[WPA-PSK-CCMP+TKIP][ESS],WPA,2,2,-75,-78
a0:ab:1b:96:58:e0,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-81,-85
9c:d6:43:4b:26:df,PigPen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-78,-80
fc:8b:97:35:83:6a,PLDTMyDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-82,-91
4c:81:20:f3:93:6f,malupadilla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,5,5,-85,-85
a0:ab:1b:96:58:e1,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-81,-86
00:13:33:d3:4a:ff,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-82,-78
90:61:0c:1f:66:ba,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-77,-74
90:61:0c:1f:66:5a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-82,-86
78:c1:a7:05:24:a4,JnYglobe,[WPA-PSK-CCMP+TKIP][ESS],WPA,6,6,-87,-90
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-85
00:13:33:c6:69:4c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-83,-79
00:13:33:e7:96:ad,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-79,-79
9c:6f:52:1c:a6:73,ZTEH108N_CA673,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,6,6,-81,-85
94:fb:b2:59:aa:60,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-79,-80
c8:d3:a3:6f:65:84,dvt555,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-83,-84
e8:de:27:9a:b3:d8,NAFS,[WPS][ESS],WPA2/WPA,11,11,-81,-82
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,11,-86,-79
c8:d3:a3:15:b2:98,KOALA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,13,13,-88,-87
ec:f3:42:23:20:1c,jensen,[WPA-PSK-CCMP+TKIP][ESS],WPA,6,6,-87,-87
2c:4d:54:d9:fd:68,Dunby,[WPA2-PSK-CCMP][WPS][ESS],WPA2,3,6,-74,-84
14:b7:f8:0b:8d:9f,Tantoco AirPort Extreme,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,1,-84,-84
98:de:d0:be:64:29,TP-LINK_6429,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-83,-68
