BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
88:d2:74:a8:fe:54,Cradle of Learners,WPA,2,6.95355639004,-84,21,146.024684191,-1744
00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,WPA2/WPA,2,1.78775659535,-83,72,128.718474865,-5969
50:c7:bf:d8:62:57,NHA-WiFi-Guest,WPA2/WPA,3,5.33768532674,-88,24,128.104447842,-2098
50:c7:bf:d8:60:9a,NHA-WiFi-Guest,WPA2/WPA,4,3.36696207965,-87,27,90.9079761505,-2341
d4:61:2e:5f:a2:46,Tags Wifi,WPA2,6,0.715492825354,-76,155,110.90138793,-11653
c0:21:0d:94:57:1d,WiFiConnect 864,OPN,36,3.78880820274,-84,5,18.9440410137,-417
d0:6e:0e:49:d6:86,EMDWiFi2,WPA2,6,3.28306251584,-88,33,108.341063023,-2889
d4:6e:0e:49:d6:86,EstateMgmt,WPA,6,1.7047915547,-87,54,92.0587439537,-4684
34:0a:6d:10:28:a3,MMBC314,WPA2,7,0.0512554645538,-92,2,0.102510929108,-184
5c:6a:80:a3:70:6f,OGM2017,WPA2/WPA,9,27.1106362939,-92,4,108.442545176,-367
50:c7:bf:d8:60:52,NHA-WiFi-Guest,WPA2/WPA,10,17.9457548857,-90,8,143.566039085,-713
ec:43:f6:bb:52:9b,PLDTMyDSLBiz1,WPA2/WPA,11,2.23702312469,-86,25,55.9255781174,-2129
d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,11,7.17318265438,-88,20,143.463653088,-1750
74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,11,3.56835039854,-87,40,142.734015942,-3474
38:a2:8c:fb:42:35,WiFiConnect 321,OPN,36,0.614219665527,-84,3,1.84265899658,-252
f0:25:b7:11:29:24,AndroidAP2924,WPA2,6,0.16383562088,-86,10,1.6383562088,-856
4c:25:78:d0:84:42,D03-yj18q,WPA2,6,-1,-89,1,0,-89
88:61:5a:16:66:41,Meron_166641,WEP,1,0.184314823151,-86,5,0.921574115753,-430
c0:25:e9:06:2c:16,vmowifi,WPA2,3,-1,-89,1,0,-89
50:c7:bf:d8:61:31,NHA-WiFi-Guest,WPA2/WPA,4,0.103881955147,-91,2,0.207763910294,-182
cc:79:cf:68:9d:74,WiFiConnect 310,OPN,36,0.28672542572,-87,5,1.4336271286,-431
74:a5:28:fd:0c:36,AdventureFreeWi-Fi,WPA2/WPA,11,2.08223324352,-86,9,18.7400991917,-768
8c:dc:d4:e0:80:9d,HP-Print-9D-Deskjet 2540 series,WPA2,6,-1,-92,1,0,-92
38:a2:8c:7c:eb:51,Mitsubishi Wireless TV 849,OPN,36,-1,-86,1,0,-86
00:23:cd:da:11:50,Luv's WiFi,WPA2/WPA,11,-1,-89,1,0,-89
ec:43:f6:49:02:10,,WPA,11,-1,-93,1,0,-93
5c:f2:86:22:08:72,WIFIKO,WPA2/WPA,8,-1,-85,1,0,-85
00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,11,8.98568224907,-92,4,35.9427289963,-365
94:0e:6b:a8:0c:ba,Smooch LTE,WPA2,4,0.176877541976,-81,11,1.94565296173,-881
58:70:c6:02:63:7a,YICarCam_02637a,WPA2,5,0.648534933726,-89,3,1.94560480118,-267
58:70:c6:f5:68:b4,YICarCamera,WPA2,5,0.709223853217,-82,27,19.1490440369,-2196
9c:e0:63:20:2e:9c,AndroidAP,WPA2,48,0.212682779019,-89,13,2.76487612724,-1154
cc:79:cf:2e:f4:bb,WiFiConnect 717,OPN,36,0.068261941274,-87,3,0.204785823822,-260
08:78:08:48:a2:50,AndroidAP,WPA2,1,0.148110654619,-80,9,1.33299589157,-713
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,6,0.102305698395,-87,10,1.02305698395,-862
00:23:69:2c:65:2d,ALUGLOBE,WEP,6,0.143351984024,-91,5,0.71675992012,-454
36:69:87:f2:5f:8b,FCMJ,WPA2,6,-1,-89,1,0,-89
14:91:82:14:e4:12,IsidroGlobe,WPA2/WPA,9,1.11360962689,-84,16,17.8177540302,-1340
8e:79:67:b2:dd:0f,ZTE-MF65M-DD0F,WPA2,13,0.184313201904,-90,5,0.921566009521,-447
bc:c0:0f:7b:a5:30,FIBERHOME_ba530,WPA2/WPA,2,-1,-84,1,0,-84
00:21:29:7b:5c:54,BalaiTalakayan,WPA,6,0.180714116377,-81,17,3.07213997841,-1371
90:61:0c:2e:99:ff,PLDTHOMEDSL39423,WPA2/WPA,5,-1,-91,1,0,-91
88:3f:d3:05:bd:94,IsidroGlobe,WPA2/WPA,9,0.351312994957,-89,2,0.702625989914,-178
