BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
d4:61:2e:5f:a2:46,Tags Wifi,WPA2,6,0.488901513868,-77,226,110.491742134,-17247
8c:dc:d4:e0:80:9d,HP-Print-9D-Deskjet 2540 series,WPA2,6,0.958188144934,-88,84,80.4878041744,-7358
d4:6e:0e:49:d6:86,EstateMgmt,WPA,6,0.66781051133,-87,184,122.877134085,-15973
d0:6e:0e:49:d6:86,EMDWiFi2,WPA2,6,0.997377397568,-87,123,122.677419901,-10696
ec:43:f6:49:02:10,,WPA,11,2.32652794293,-91,35,81.4284780025,-3168
ec:43:f6:bb:52:9b,PLDTMyDSLBiz1,WPA2/WPA,11,3.51799460079,-91,23,80.9138758183,-2076
ea:43:f6:49:02:10,PLDTMYDSLBiz,WPA,11,2.38893315371,-91,34,81.2237272263,-3071
e6:43:f6:49:02:10,RocketJump4G,WPA,11,2.62011841805,-91,31,81.2236709595,-2817
c0:21:0d:94:57:1d,WiFiConnect 864,OPN,36,0.945226449233,-80,13,12.28794384,-1028
d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,11,7.56057588259,-89,18,136.090365887,-1601
00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,WPA2/WPA,2,25.9587379694,-82,4,103.834951878,-327
74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,11,1.87265771382,-88,73,136.704013109,-6408
38:a2:8c:fb:42:35,WiFiConnect 321,OPN,36,1.08085568746,-78,9,9.72770118713,-702
34:0a:6d:10:28:a3,MMBC314,WPA2,7,0.363070921464,-74,11,3.99378013611,-807
88:61:5a:16:66:41,Meron_166641,WEP,1,0.885044506618,-77,14,12.3906230927,-1078
3c:46:d8:25:05:bb,TP-LINK_M7350_2505BB,WPA2/WPA,1,0.629019158227,-85,7,4.40313410759,-590
f0:25:b7:11:29:24,AndroidAP2924,WPA2,6,0.662904638993,-83,19,12.5951881409,-1568
4c:25:78:d0:84:42,D03-yj18q,WPA2,6,0.547077655792,-83,9,4.92369890213,-747
cc:79:cf:68:9d:74,WiFiConnect 310,OPN,36,0.0682552655538,-85,3,0.204765796661,-255
78:44:76:21:7a:cc,CRIO2,WPA2,11,-1,-90,1,0,-90
74:a5:28:fd:0c:36,AdventureFreeWi-Fi,WPA2/WPA,11,0.485834182695,-82,43,20.8908698559,-3484
38:a2:8c:7c:eb:51,Mitsubishi Wireless TV 849,OPN,36,1.43360098203,-83,3,4.30080294609,-247
00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,11,11.1617089907,-91,3,33.4851269722,-272
58:70:c6:02:63:7a,YICarCam_02637a,WPA2,5,0.0511919260025,-74,2,0.102383852005,-148
08:23:b2:fc:09:18,Nogie,WPA2,11,0.921611179005,-90,11,10.1377229691,-982
58:70:c6:f5:68:b4,YICarCamera,WPA2,5,2.50154587201,-75,7,17.510821104,-523
9c:e0:63:20:2e:9c,AndroidAP,WPA2,48,0.418507824773,-91,23,9.62567996979,-2088
08:78:08:48:a2:50,AndroidAP,WPA2,1,0.657858173052,-85,12,7.89429807663,-1010
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,6,0.629049267088,-88,7,4.40334486961,-615
f0:98:38:9f:fd:28,HUAWEI-yJc8,WPA2/WPA,1,0.100367248058,-82,4,0.401468992233,-327
00:21:29:7b:5c:54,BalaiTalakayan,WPA,6,0.461774695594,-85,53,24.4740588665,-4473
00:23:69:2c:65:2d,ALUGLOBE,WEP,6,-1,-94,1,0,-94
88:3f:d3:05:e7:d0,HUAWEI-6443,WPA2/WPA,11,1.53874135017,-89,3,4.61622405052,-265
00:13:33:e8:fb:10,PLDTHOMEDSL-Profood,WPA2/WPA,11,-1,-91,1,0,-91
94:fe:22:b1:95:df,TUCP OFFICE,WPA2/WPA,6,-1,-92,1,0,-92
36:69:87:f2:5f:8b,FCMJ,WPA2,6,-1,-91,1,0,-91
54:b8:0a:36:61:68,Central,WPA2/WPA,11,0.409876721246,-79,21,8.60741114616,-1657
88:3f:d3:06:29:38,HUAWEI-Bn7b,WPA2/WPA,5,0.0501885414124,-87,2,0.100377082825,-173
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,WPA2/WPA,1,1.12640374899,-86,4,4.50561499596,-342
9c:6f:52:1c:a8:af,Meisha 0911,WPA,1,-1,-80,1,0,-80
00:13:33:ea:82:fa,PLDTHOMEDSL,WPA2/WPA,11,1.53601098061,-89,3,4.60803294182,-266
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,WPA2/WPA,11,0.386350588365,-85,44,16.9994258881,-3719
00:1f:fb:ac:64:8b,Macaraeg,WPA2,11,0.654222501649,-88,18,11.7760050297,-1584
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,WPA2/WPA,5,-1,-84,1,0,-84
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,WPA2/WPA,11,0.256002859636,-84,22,5.63206291199,-1827
1c:af:f7:17:a3:d2,abad,WPA2/WPA,11,0.10237455368,-90,2,0.204749107361,-180
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,WPA2,6,0.614404814584,-86,21,12.9025011063,-1797
00:13:33:f6:c3:47,PLDTHOMEDSLkidlat,WPA2/WPA,11,0.163847398758,-91,5,0.81923699379,-455
00:13:33:e5:fb:d6,PLDTHOMEDSL,WPA2/WPA,11,0.307214975357,-90,2,0.614429950714,-179
fc:8b:97:35:83:6a,PLDTMyDSL,WPA2/WPA,11,0.102402687073,-85,10,1.02402687073,-845
9c:d6:43:4b:26:df,PigPen,WPA2/WPA,2,0.563206184994,-73,22,12.3905360699,-1586
a0:ab:1b:96:58:e0,Cumm4Me,WPA2/WPA,1,0.770443575723,-80,21,16.1793150902,-1661
78:c1:a7:05:c5:5c,LUCAS INTERNET,WPA,2,0.360633083012,-71,23,8.29456090927,-1614
00:13:33:e5:f9:e2,PLDTHOMEDSLironman,WPA2/WPA,11,0.409608165423,-90,12,4.91529798508,-1076
00:13:33:d3:4a:ff,PLDTHOMEDSL,WPA2/WPA,11,0.347488555752,-83,61,21.1968019009,-5017
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,WPA2/WPA,11,0.566626278559,-89,15,8.49939417839,-1332
90:61:0c:1f:66:ba,PLDTHOMEDSL,WPA2/WPA,11,0.352712273598,-82,36,12.6976418495,-2934
a0:ab:1b:96:58:e1,Stingray-G,WPA2/WPA,1,0.961430443658,-79,18,17.3057479858,-1420
90:61:0c:2e:b3:11,PLDTHOMEDSLchurchill,WPA2/WPA,1,-1,-88,1,0,-88
90:61:0c:1f:66:5a,PLDTHOMEDSL,WPA2/WPA,11,0.44193542631,-84,38,16.7935461998,-3166
00:13:33:ce:c7:95,PLDTHOMEDSLservants,WPA2/WPA,11,-1,-92,1,0,-92
78:c1:a7:05:24:a4,JnYglobe,WPA,6,0.441944523862,-88,19,8.39694595337,-1656
80:29:94:68:33:d5,SKYbroadband33D2,WPA2/WPA,1,-1,-85,1,0,-85
08:95:2a:5b:4b:f4,SKYbroadband3003,WPA2/WPA,6,0.256021022797,-89,2,0.512042045593,-177
00:13:33:e7:96:ad,PLDTHOMEDSL,WPA2/WPA,11,0.810673640834,-84,36,29.18425107,-2990
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,WPA2/WPA,11,0.859694902287,-86,43,36.9668807983,-3673
00:26:75:dd:54:cc,Tresmarias,WPA,11,0.921615409851,-88,5,4.60807704926,-437
9c:6f:52:1c:a6:73,ZTEH108N_CA673,WPA,6,0.471034407616,-88,10,4.71034407616,-874
