GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
03/14/1813:23:46.814507,03/14/1813:23:46.814507,34:be:00:5f:d0:60,AndroidAP,WPA2,-67,6,SamsungE,none,14.650232,121.052192
03/14/1813:23:27.823392,03/14/1813:23:27.823392,60:a4:d0:52:e0:19,Bayan WPQ,WPA2,-69,6,SamsungE,none,14.650247,121.051883
03/14/1813:23:27.273903,03/14/1813:23:27.273903,48:13:7e:7f:63:04,BU8s-U01HNTMxRg,OPN,-89,6,SamsungE,none,14.650247,121.051883
03/14/1813:23:27.439140,03/14/1813:23:27.439140,8c:4c:ad:01:dc:eb,Onad,WPA2,-88,7,Evoluzn,none,14.650247,121.051883
03/14/1813:23:51.435946,03/14/1813:23:51.435946,b0:55:08:4b:c8:40,MMBC312,WPA2,-83,11,HuaweiTe,none,14.650192,121.052383
03/14/1813:23:35.416521,03/14/1813:23:35.416521,8c:25:05:b3:d1:50,B315_3D150,WPA2/WPA,-81,11,HuaweiTe,none,14.650245,121.051917
03/14/1813:39:07.568157,03/14/1813:39:07.568157,00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,-70,11,Baudtec,none,14.650207,121.052700
03/14/1813:23:54.271806,03/14/1813:23:54.271806,58:70:c6:f7:60:de,YICarCam_0760DE,WPA2,-83,11,Shanghai,none,14.650172,121.052395
03/14/1813:23:59.396250,03/14/1813:23:59.396250,6e:4d:73:e1:66:dc,Rommel Juan’s iPhone,WPA2,-79,1,None,none,14.650148,121.052418
03/14/1813:24:02.964165,03/14/1813:24:02.964165,94:fe:22:f0:65:dd,HUAWEI-E5330-65DD,WPA2,-88,5,HuaweiTe,none,14.650137,121.052432
03/14/1813:24:02.945702,03/14/1813:24:02.945702,34:ba:9a:55:f5:95,teklangbiik,WPA2/WPA,-86,6,Asiatelc,none,14.650137,121.052432
03/14/1813:24:03.638910,03/14/1813:24:03.638910,ac:af:b9:a4:fc:60,queso,WPA2,-84,6,SamsungE,none,14.650137,121.052432
03/14/1813:24:04.594549,03/14/1813:24:04.594549,5c:51:81:df:ce:49,Daddee Woyse,WPA2,-83,6,SamsungE,none,14.650135,121.052435
03/14/1813:24:06.467519,03/14/1813:24:06.467519,58:70:c6:f4:09:0a,YICarCam_f4090a,WPA2,-69,6,Shanghai,none,14.650118,121.052440
03/14/1813:24:04.836020,03/14/1813:24:04.836020,7c:c7:09:76:d9:f1,Mitsubishi Wireless TV 108,OPN,-72,36,Shenzhen,none,14.650135,121.052435
03/14/1813:39:59.250821,03/14/1813:39:59.250821,44:6e:e5:a2:b2:8a,HUAWEI_Y6II_00F8,WPA2,-63,6,HuaweiTe,none,14.650230,121.052457
03/14/1813:24:37.231936,03/14/1813:24:37.231936,00:d0:41:d2:bf:58,SAPIDO-URVAN LE4818,OPN,-79,2,AmigoTec,none,14.650137,121.052438
03/14/1813:24:58.189254,03/14/1813:24:58.189254,94:fe:22:58:8a:d8,SloveS,WPA2,-71,3,HuaweiTe,none,14.650117,121.052442
03/14/1813:25:03.456177,03/14/1813:25:03.456177,34:ba:9a:56:1a:d7,Daniel Park,WPA2,-61,8,Asiatelc,none,14.650117,121.052448
03/14/1813:25:15.050965,03/14/1813:25:15.050965,90:97:f3:23:37:1c,MateoMiguelito,WPA2,-79,1,SamsungE,none,14.650125,121.052453
03/14/1813:25:27.546489,03/14/1813:25:27.546489,b0:55:08:2e:3e:9b,HUAWEI-3E9B,WPA2,-87,10,HuaweiTe,none,14.650112,121.052460
03/14/1813:25:27.205447,03/14/1813:25:27.205447,d0:87:e2:73:1a:f9,enzo,WPA2,-85,11,SamsungE,none,14.650112,121.052460
03/14/1813:25:39.784489,03/14/1813:25:39.784489,58:70:c6:f5:d9:31,YICarCam_f5d931,WPA2,-86,5,Shanghai,none,14.650100,121.052470
03/14/1813:25:41.457438,03/14/1813:25:41.457438,aa:a6:68:b4:f7:c4,Kenneth,WPA2/WPA,-84,7,None,none,14.650105,121.052473
