Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
1e:74:0d:02:44:18,1,"03/14/2018,"
f4:f2:6d:94:56:14,5,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
e0:8e:3c:1a:88:57,1,"03/14/2018,"
1e:74:0d:02:42:c0,12,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
84:16:f9:35:36:c2,13,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
78:c1:a7:03:9e:ec,9,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
dc:ee:06:cf:a4:74,2,"03/14/2018, 04/02/2018,"
f6:9f:c2:57:be:90,1,"03/14/2018,"
bc:c0:0f:7b:d7:c0,11,"03/14/2018, 03/22/2018, 04/05/2018, 04/10/2018,"
c8:93:46:48:60:c6,5,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
ac:f9:70:ec:e7:f4,5,"03/14/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:56:58,6,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
cc:06:77:23:21:b0,8,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
f2:98:9d:be:ce:78,2,"03/14/2018,"
58:70:c6:f1:65:7a,2,"03/14/2018,"
1c:74:0d:17:57:88,11,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
98:e7:f5:5f:db:14,1,"03/22/2018,"
8c:eb:c6:ce:20:18,9,"03/22/2018, 04/03/2018, 04/05/2018,"
50:68:0a:c4:fc:88,1,"03/22/2018,"
00:1f:fb:ba:d2:8b,2,"03/22/2018, 04/05/2018,"
00:19:be:81:32:e2,15,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
34:ba:9a:57:74:e4,2,"03/22/2018,"
f2:9f:c2:4f:fc:46,11,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
36:69:87:ab:fd:3e,1,"03/22/2018,"
7c:c7:09:29:93:5e,1,"03/22/2018,"
70:5a:9e:da:57:29,2,"03/22/2018, 04/03/2018,"
08:95:2a:89:35:37,8,"03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
8c:dc:d4:68:9b:98,4,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
d2:5b:a8:f8:d5:d9,8,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:50:5b,4,"03/22/2018, 04/03/2018, 04/05/2018,"
00:13:33:d3:4b:09,7,"03/22/2018, 04/03/2018, 04/05/2018,"
90:61:0c:16:73:f9,7,"03/22/2018, 04/05/2018, 04/10/2018,"
f0:98:38:07:d0:98,3,"03/22/2018, 04/03/2018, 04/10/2018,"
90:61:0c:1f:a2:77,2,"03/22/2018, 04/03/2018,"
34:cd:be:53:ee:75,3,"03/22/2018, 04/03/2018, 04/10/2018,"
70:5a:9e:da:5e:65,1,"03/22/2018,"
34:cd:be:53:ee:76,3,"03/22/2018, 04/03/2018, 04/10/2018,"
f4:e3:fb:e5:49:fc,11,"03/22/2018, 04/03/2018, 04/05/2018,"
00:13:33:db:90:5c,5,"03/22/2018, 04/05/2018,"
78:c1:a7:23:48:66,1,"03/22/2018,"
cc:06:77:21:70:80,6,"03/22/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:d3:09,5,"03/22/2018, 04/05/2018,"
2c:26:c5:1e:b3:c4,1,"03/22/2018,"
cc:06:77:6e:c9:98,3,"03/22/2018, 04/03/2018, 04/10/2018,"
90:61:0c:2d:88:5b,5,"03/22/2018, 04/05/2018,"
90:61:0c:2d:ad:fb,2,"03/22/2018, 04/05/2018,"
cc:06:77:e1:80:f8,8,"03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
00:13:33:e1:7d:fc,1,"03/22/2018,"
7a:8a:20:67:75:b7,6,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
90:61:0c:3a:4b:6e,9,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
a0:f3:c1:a4:4d:8a,3,"04/02/2018, 04/05/2018,"
28:ff:3e:3d:dd:31,7,"04/02/2018, 04/03/2018, 04/05/2018,"
34:ba:9a:4f:ff:fc,1,"04/02/2018,"
cc:79:cf:f2:f2:15,1,"04/02/2018,"
58:70:c6:f7:94:ad,1,"04/02/2018,"
9c:a9:e4:9a:e3:bf,3,"04/02/2018, 04/05/2018,"
08:62:66:5c:f2:61,1,"04/02/2018,"
cc:06:77:60:54:f8,5,"04/02/2018, 04/05/2018, 04/10/2018,"
00:26:75:f6:01:38,6,"04/03/2018, 04/05/2018,"
48:f8:b3:0f:d9:65,4,"04/03/2018, 04/05/2018,"
7a:31:c1:65:66:50,1,"04/03/2018,"
d0:65:ca:b6:ac:93,1,"04/03/2018,"
ec:8c:a2:30:ff:28,2,"04/03/2018,"
c8:93:46:48:4c:7f,3,"04/03/2018, 04/05/2018,"
34:97:f6:5d:3b:d8,3,"04/03/2018, 04/05/2018,"
c8:93:46:48:70:90,1,"04/03/2018,"
58:70:c6:f4:f4:8f,1,"04/03/2018,"
00:13:33:ea:7b:20,1,"04/03/2018,"
88:d2:74:86:cf:41,4,"04/03/2018, 04/05/2018,"
f4:0e:22:be:3a:db,1,"04/03/2018,"
00:26:75:ea:a8:cc,2,"04/03/2018, 04/10/2018,"
06:d6:aa:57:4f:45,1,"04/03/2018,"
c8:93:46:48:4c:ae,2,"04/03/2018, 04/05/2018,"
48:f8:b3:a9:6d:bc,1,"04/03/2018,"
28:92:4a:14:9f:84,6,"04/03/2018, 04/05/2018, 04/10/2018,"
90:61:0c:40:ae:fb,1,"04/03/2018,"
9c:a3:a9:09:07:f9,2,"04/03/2018, 04/05/2018,"
20:25:64:cb:84:7e,4,"04/03/2018, 04/05/2018, 04/10/2018,"
2e:61:f6:6d:36:a8,1,"04/03/2018,"
d2:5b:a8:f4:f0:2c,2,"04/03/2018,"
d0:b2:c4:57:23:67,3,"04/03/2018, 04/05/2018, 04/10/2018,"
5c:c3:07:41:c3:b6,1,"04/03/2018,"
fe:ec:da:07:01:a2,3,"04/03/2018, 04/05/2018, 04/10/2018,"
7a:8a:20:67:74:c0,3,"04/05/2018,"
92:21:81:e0:df:43,1,"04/05/2018,"
00:13:33:e1:c7:e9,4,"04/05/2018,"
00:13:33:e1:c7:ec,4,"04/05/2018,"
08:95:2a:e4:85:d8,2,"04/05/2018,"
90:61:0c:33:aa:70,3,"04/05/2018, 04/10/2018,"
90:61:0c:3a:11:bd,2,"04/05/2018,"
90:61:0c:18:05:ad,1,"04/05/2018,"
90:61:0c:2e:a7:39,3,"04/05/2018, 04/10/2018,"
96:53:30:78:e4:71,2,"04/05/2018,"
50:04:b8:45:1d:5c,4,"04/05/2018,"
7a:8a:20:67:79:44,4,"04/05/2018, 04/10/2018,"
c8:93:46:48:4c:43,1,"04/05/2018,"
00:1a:ef:48:8a:d3,3,"04/05/2018,"
a0:8c:fd:0d:68:44,4,"04/05/2018,"
3a:1c:23:00:4b:aa,2,"04/05/2018,"
00:1d:92:10:df:e3,2,"04/05/2018,"
00:13:33:f4:27:ef,2,"04/05/2018,"
f2:9f:c2:91:17:d9,3,"04/05/2018, 04/10/2018,"
ee:1d:7f:a1:35:10,1,"04/05/2018,"
b0:4e:26:c9:77:1f,1,"04/05/2018,"
36:69:87:a1:89:8f,2,"04/05/2018,"
c8:93:46:47:ad:f2,1,"04/05/2018,"
f2:9f:c2:4f:fe:49,1,"04/05/2018,"
4c:18:9a:d2:02:41,1,"04/05/2018,"
36:69:87:f2:51:77,1,"04/05/2018,"
a4:2b:b0:d9:10:26,1,"04/05/2018,"
94:46:96:19:2a:e3,1,"04/05/2018,"
c0:21:0d:b3:51:50,1,"04/05/2018,"
b0:45:19:d9:b8:0c,1,"04/05/2018,"
58:70:c6:f6:83:d6,1,"04/05/2018,"
fa:8f:ca:68:dd:3c,1,"04/05/2018,"
90:61:0c:40:de:0c,1,"04/05/2018,"
94:a7:b7:26:73:a3,1,"04/10/2018,"
00:13:33:fe:e4:28,1,"04/10/2018,"
02:1a:11:ff:fc:f5,1,"04/10/2018,"
fe:ec:da:07:00:1d,1,"04/10/2018,"
4c:8b:ef:2d:9e:4b,1,"04/10/2018,"
""
Box no.,Total APs
1,114
MAC,Persistence,Dates Seen
cc:06:77:23:21:b0,6,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
f2:98:9d:be:ce:78,2,"03/14/2018,"
58:70:c6:f1:65:7a,2,"03/14/2018,"
f2:9f:c2:4f:fc:46,7,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:47:ad:f2,6,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:79:cf:f2:f2:15,1,"03/14/2018,"
34:ba:9a:56:5b:09,1,"03/14/2018,"
c8:93:46:48:70:90,10,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:4c:43,8,"03/14/2018, 04/02/2018, 04/05/2018,"
90:61:0c:2d:d3:09,13,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:4c:7f,5,"03/14/2018, 04/03/2018, 04/05/2018,"
34:97:f6:5d:3b:d8,9,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:cc:21:05,3,"03/14/2018, 04/02/2018, 04/05/2018,"
1c:74:0d:17:57:88,10,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
5c:6a:80:a3:6f:2b,6,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:88:5b,11,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
f0:9f:c2:27:9d:b9,4,"03/14/2018, 04/02/2018, 04/05/2018,"
