SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
PLDTHOMEDSL,00:13:33:CF:5E:F8,14.64683437,121.06045532,wpa2,infra,20150808-00000,"2015-08-08, 01:00:00 AM","2017-07-15, 09:00:00 AM","2017-07-15, 09:00:00 AM"
PLDTHOMEDSL,00:13:33:CF:EE:B7,14.6461668,121.05810547,wpa2,infra,20150726-00000,"2015-03-01, 03:00:00 AM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
TsimShaTsui,00:13:33:F0:A2:B9,14.64475822,121.06096649,wpa2,infra,20161206-00000,"2016-12-05, 04:00:00 AM","2016-12-06, 03:00:00 PM","2016-12-06, 03:00:00 PM"
RepeaterSF 3rd Floor,00:0F:01:1F:43:58,14.64589596,121.06130219,wpa2,infra,20130621-00000,"2013-06-15, 05:00:00 AM","2014-04-01, 03:00:00 AM","2015-07-26, 08:00:00 AM"
linksys,00:14:BF:4B:3C:F8,14.64681435,121.05995178,wpa,infra,20130207-00000,"2001-01-01, 03:00:00 PM","2013-11-14, 06:00:00 AM","2013-11-14, 04:00:00 AM"
PLDTHOMEDSL,00:0E:F4:D9:FE:E2,14.64538002,121.06090546,wpa2,infra,20150120-00000,"2015-01-11, 03:00:00 AM","2015-01-22, 04:00:00 AM","2015-07-26, 08:00:00 AM"
MadPad,00:0E:68:00:4B:81,14.6410675,121.05932617,wep,infra,20131030-00000,"2013-10-22, 01:00:00 AM","2013-10-30, 01:00:00 PM","2013-10-30, 11:00:00 AM"
NETGEAR,00:14:6C:D8:AA:12,14.64250374,121.0604248,wpa,infra,20130414-00000,"2013-04-14, 10:00:00 PM","2013-11-30, 09:00:00 AM","2013-11-30, 07:00:00 AM"
Malingap_Downstairs,00:0E:3B:46:30:A8,14.64277172,121.05863953,wpa,infra,20161206-00000,"2016-12-05, 04:00:00 AM","2016-12-06, 03:00:00 PM","2016-12-06, 03:00:00 PM"
PLDTHOMEDSL,00:13:33:FE:E4:AA,14.64680767,121.0612793,wpa2,infra,20170303-00000,"2017-03-04, 04:00:00 AM","2017-07-15, 09:00:00 AM","2017-07-15, 09:00:00 AM"
