WigleWifi-1.4,appRelease=2.26,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
d4:61:2e:5f:a2:46,Tags Wifi,[WPA2-PSK-CCMP][ESS],2018-02-05 11:08:18,6,-80,14.65025748,121.05231404,95,4.550999641418457,WIFI
5c:f2:86:22:08:72,WIFIKO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:08:18,8,-87,14.65025748,121.05231404,95,4.550999641418457,WIFI
5c:6a:80:a3:70:6f,OGM2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:08:18,9,-86,14.65025748,121.05231404,95,4.550999641418457,WIFI
58:70:c6:02:63:7a,YICarCam_02637a,[WPA2-PSK-CCMP][WPS][ESS],2018-02-05 11:08:18,5,-83,14.65025748,121.05231404,95,4.550999641418457,WIFI
08:23:b2:fc:09:18,Nogie,[WPA2-PSK-CCMP][ESS],2018-02-05 11:08:18,11,-86,14.65025748,121.05231404,95,4.550999641418457,WIFI
58:70:c6:f5:68:b4,YICarCamera,[WPA2-PSK-CCMP][WPS][ESS],2018-02-05 11:08:18,5,-89,14.65025748,121.05231404,95,4.550999641418457,WIFI
51502_30232_210438649,Globe,HSPA;ph,2018-02-05 11:08:18,0,-89,14.65025748,121.05231404,95,4.550999641418457,GSM
9c:e0:63:20:2e:9c,AndroidAP,[WPA2-PSK-CCMP][ESS],2018-02-05 11:08:30,6,-93,14.65021582,121.05239198,96,4.550999641418457,WIFI
08:78:08:48:a2:50,AndroidAP,[WPA2-PSK-CCMP][ESS],2018-02-05 11:08:30,1,-88,14.65021582,121.05239198,96,4.550999641418457,WIFI
58:70:c6:f5:68:b4,YICarCamera,[WPA2-PSK-CCMP][WPS][ESS],2018-02-05 11:08:36,5,-81,14.6502332,121.05238876,96,4.550999641418457,WIFI
9c:e0:63:20:2e:9c,AndroidAP,[WPA2-PSK-CCMP][ESS],2018-02-05 11:08:36,6,-88,14.6502332,121.05238876,96,4.550999641418457,WIFI
5c:6a:80:a3:70:6f,OGM2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:02,9,-86,14.65014515,121.05337159,99,4.550999641418457,WIFI
d8:5d:4c:ff:6d:08,WiFi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],2018-02-05 11:09:02,11,-82,14.65014515,121.05337159,99,4.550999641418457,WIFI
bc:c0:0f:7b:a5:30,FIBERHOME_ba530,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2018-02-05 11:09:02,2,-89,14.65014515,121.05337159,99,4.550999641418457,WIFI
88:d2:74:a8:fe:54,Cradle of Learners,[WPA-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:09:06,2,-87,14.65014927,121.05361546,100,6.067999839782715,WIFI
88:3f:d3:05:e7:d0,HUAWEI-6443,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:06,11,-88,14.65014927,121.05361546,100,6.067999839782715,WIFI
8e:79:67:b2:dd:0f,ZTE-MF65M-DD0F,[WPA2-PSK-CCMP][WPS][ESS],2018-02-05 11:09:10,13,-89,14.65015739,121.0538243,104,6.067999839782715,WIFI
e4:8d:8c:fb:3d:c2,CVL_Propagation test,[ESS],2018-02-05 11:09:10,60,-89,14.65015739,121.0538243,104,6.067999839782715,WIFI
8e:79:67:b2:dd:0f,ZTE-MF65M-DD0F,[WPA2-PSK-CCMP][WPS][ESS],2018-02-05 11:09:14,13,-84,14.65006232,121.05402096,105,7.585000038146973,WIFI
54:b8:0a:36:61:6c,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:09:18,165,-87,14.64993362,121.05408229,102,10.618999481201172,WIFI
88:3f:d3:06:29:38,HUAWEI-Bn7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:18,7,-87,14.64993362,121.05408229,102,10.618999481201172,WIFI
51502_30232_210451840,Globe,HSPA;ph,2018-02-05 11:09:18,0,-81,14.64993362,121.05408229,102,10.618999481201172,GSM
54:b8:0a:36:61:68,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:09:22,11,-77,14.64979927,121.05412912,100,10.618999481201172,WIFI
88:3f:d3:06:29:38,HUAWEI-Bn7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:22,7,-82,14.64979927,121.05412912,100,10.618999481201172,WIFI
9c:6f:52:1c:a8:af,Meisha 0911,[WPA-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:09:22,1,-83,14.64979927,121.05412912,100,10.618999481201172,WIFI
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:22,1,-86,14.64979927,121.05412912,100,10.618999481201172,WIFI
50:c7:bf:d8:60:70,NHA-WiFi-Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:22,9,-87,14.64979927,121.05412912,100,10.618999481201172,WIFI
c4:12:f5:75:e3:8a,bilan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:09:26,3,-70,14.64971208,121.05432238,98,9.101999282836914,WIFI
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:26,5,-83,14.64971208,121.05432238,98,9.101999282836914,WIFI
51502_30232_210447752,Globe,HSPA;ph,2018-02-05 11:09:26,0,-81,14.64971208,121.05432238,98,9.101999282836914,GSM
00:21:29:7b:5c:54,BalaiTalakayan,[WPA-PSK-TKIP][WPS][ESS],2018-02-05 11:09:30,6,-90,14.64963363,121.05454571,98,9.101999282836914,WIFI
14:91:82:14:e4:12,IsidroGlobe,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-05 11:09:30,1,-87,14.64963363,121.05454571,98,9.101999282836914,WIFI
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-05 11:09:30,5,-78,14.64963363,121.05454571,98,9.101999282836914,WIFI
