SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
Smart_Bro_C07308,DC:EE:06:C0:73:08,14.64865303,121.05632019,wep,infra,20161206-00000,"2016-12-06, 07:00:00 PM","2017-01-12, 05:00:00 AM","2017-01-12, 05:00:00 AM"
ADMIN,84:16:F9:37:CA:F6,14.6487999,121.05717468,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
SKYbroadbandF18E,50:09:59:84:F1:91,14.64853001,121.05691528,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
SKYbroadband4A5A,48:00:33:62:4A:5D,14.64880466,121.05699158,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
SKYbroadband3CFE,48:00:33:62:3D:01,14.64879799,121.05702209,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
bayanDSLWIFI_86D7,E0:8E:3C:1A:86:D7,14.64874172,121.05699158,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
iPhone,F2:C1:F1:17:93:0E,14.64854527,121.05690002,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
HOLYFAMILY,F8:32:E4:B2:07:70,14.64840031,121.05696106,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Leckinno1,48:00:33:62:31:0D,14.64845753,121.05712128,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
R10,40:45:DA:64:C9:6E,14.64847088,121.05693817,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
PLDTMyDSLvirus,B0:B2:DC:AA:C8:8C,14.64877224,121.05696869,wpa2,infra,20130419-00000,"2013-04-19, 05:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
(Alporha and Rodriguez_ 2016),50:09:59:83:82:81,14.64876461,121.05702972,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Ernest_bayanDSLWiFi,94:A7:B7:26:73:A3,14.64852428,121.05712128,wpa2,infra,20160604-00000,"2016-05-28, 04:00:00 AM","2017-04-04, 12:00:00 PM","2017-04-04, 12:00:00 PM"
VIVO,5C:F2:86:25:4F:2D,14.64874363,121.05708313,wpa2,infra,20170306-00000,"2017-03-07, 05:00:00 AM","2017-04-04, 12:00:00 PM","2017-05-23, 04:00:00 PM"
Frosted Desserts,E0:8E:3C:18:90:F8,14.64854527,121.05690002,wpa,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
