Common,260
BSSID,SSID,Encryption,Channel
00:13:33:d6:39:fe,PLDTHOMEDSLKJFC,WPA2/WPA,2
d4:61:2e:5f:a2:46,Tags Wifi,WPA2,6
c0:21:0d:94:57:1d,WiFiConnect 864,OPN,36
d0:6e:0e:49:d6:86,EMDWiFi2,WPA2,6
d4:6e:0e:49:d6:86,EstateMgmt,WPA,6
34:0a:6d:10:28:a3,MMBC314,WPA2,7
ec:43:f6:bb:52:9b,PLDTMyDSLBiz1,WPA2/WPA,11
d8:5d:4c:ff:6d:08,WiFi,WPA2/WPA,11
74:ea:3a:df:99:36,CIED WiFi,WPA2/WPA,11
38:a2:8c:fb:42:35,WiFiConnect 321,OPN,36
f0:25:b7:11:29:24,AndroidAP2924,WPA2,6
4c:25:78:d0:84:42,D03-yj18q,WPA2,6
88:61:5a:16:66:41,Meron_166641,WEP,1
cc:79:cf:68:9d:74,WiFiConnect 310,OPN,36
74:a5:28:fd:0c:36,AdventureFreeWi-Fi,WPA2/WPA,11
8c:dc:d4:e0:80:9d,HP-Print-9D-Deskjet 2540 series,WPA2,6
38:a2:8c:7c:eb:51,Mitsubishi Wireless TV 849,OPN,36
ec:43:f6:49:02:10,,WPA,11
00:13:33:c1:f7:4c,PLDTHOMEDSL,WPA2/WPA,11
58:70:c6:02:63:7a,YICarCam_02637a,WPA2,5
58:70:c6:f5:68:b4,YICarCamera,WPA2,5
9c:e0:63:20:2e:9c,AndroidAP,WPA2,48
08:78:08:48:a2:50,AndroidAP,WPA2,1
a0:8c:fd:98:48:bf,DIRECT-69-HP DeskJet 3630 series,WPA2,6
00:23:69:2c:65:2d,ALUGLOBE,WEP,6
36:69:87:f2:5f:8b,FCMJ,WPA2,6
00:21:29:7b:5c:54,BalaiTalakayan,WPA,6
54:b8:0a:36:61:68,Central,WPA2/WPA,11
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,WPA2/WPA,1
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,WPA2/WPA,5
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,WPA2,6
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,WPA2/WPA,11
00:13:33:f6:c3:47,PLDTHOMEDSLkidlat,WPA2/WPA,11
fc:8b:97:35:83:6a,PLDTMyDSL,WPA2/WPA,11
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,WPA2/WPA,11
a0:ab:1b:96:58:e0,Cumm4Me,WPA2/WPA,1
a0:ab:1b:96:58:e1,Stingray-G,WPA2/WPA,1
9c:d6:43:4b:26:df,PigPen,WPA2/WPA,2
78:c1:a7:05:c5:5c,LUCAS INTERNET,WPA,2
90:61:0c:2e:b3:11,PLDTHOMEDSLchurchill,WPA2/WPA,1
78:c1:a7:05:24:a4,JnYglobe,WPA,6
00:13:33:d3:4a:ff,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:1f:66:ba,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:1f:66:5a,PLDTHOMEDSL,WPA2/WPA,11
2c:4d:54:d9:fd:68,Dunby,WPA2,6
9c:6f:52:1c:a6:73,ZTEH108N_CA673,WPA,6
00:13:33:e7:96:ad,PLDTHOMEDSL,WPA2/WPA,11
00:26:75:dd:54:cc,Tresmarias,WPA,11
00:13:33:c6:69:4c,PLDTHOMEDSL,WPA2/WPA,11
94:fb:b2:59:aa:60,PLDTHOMEDSL,WPA2/WPA,11
5a:e3:47:f8:8c:b1,LDC_SAP_LENOVO-PC,WPA2,11
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,WPA2/WPA,11
c8:d3:a3:6f:65:84,dvt555,WPA2/WPA,1
14:b7:f8:0b:8d:9f,Tantoco AirPort Extreme,WPA2/WPA,1
98:de:d0:be:64:29,TP-LINK_6429,WPA2,2
4c:81:20:f3:29:bb,PLDTHOMEDSL329BB,WPA2/WPA,1
94:46:96:1c:f6:15,E,WPA2/WPA,1
48:00:33:62:3a:75,SKYbroadband3A72,WPA2/WPA,1
ec:f3:42:23:20:1c,jensen,WPA,6
a4:2b:b0:ce:06:51,TP-LINK_0651,WPA2/WPA,6
94:0e:6b:57:19:3d,get off my wifi,WPA2,10
a4:2b:b0:f8:9e:87,PLDTHOMEDSL_AF5Y_EXT,WPA2/WPA,11
e8:de:27:9a:b3:d8,NAFS,WPA2/WPA,11
80:29:94:68:33:81,SKYbroadband337E,WPA2/WPA,11
00:13:33:ce:c7:b8,PLDTHOMEDSL,WPA2/WPA,11
50:c7:bf:7b:19:d4,TP-LINK MALINIS,WPA2/WPA,11
08:95:2a:89:3c:6a,SKYbroadband4321,WPA2/WPA,1
80:29:94:68:33:f5,SKYbroadband33F2,WPA2/WPA,1
18:d6:c7:23:95:10,admin,WPA2/WPA,6
50:09:59:83:82:81,"(Alporha and Rodriguez, 2016)",WPA2/WPA,6
00:1f:fb:ac:7e:9d,HomeBro_ULTERA,WPA2,11
00:18:f8:a4:31:fb,GPF,WPA,11
88:3f:d3:06:77:64,HUAWEI-68pF,WPA2/WPA,10
00:1f:fb:ba:d2:8b,LynKoCus6-07,WPA2,11
48:00:33:62:32:59,SKYbroadband3256,WPA2/WPA,1
50:09:59:85:b9:e5,SKYbroadbandB9E2,WPA2/WPA,1
48:00:33:f3:09:3d,SKYbroadband093A,WPA2/WPA,1
18:de:d7:34:79:6c,HUAWEI-kc87,WPA2/WPA,2
f4:e3:fb:e5:49:fc,XRZ-850,WPA2/WPA,5
58:70:c6:f7:42:4d,YICarCam_F7424D,WPA2,6
f8:32:e4:b2:07:70,HOLYFAMILY,WPA2,11
1c:74:0d:17:c9:74,UNITY_SOURCE,WPA2/WPA,11
48:00:33:62:31:0d,SKYbroadband310A,WPA2/WPA,11
e0:8e:3c:18:90:f8,PoohCorner,WPA,11
f6:9f:c2:b5:f1:b4,Aralinks_Faculty,WPA2/WPA,11
00:13:33:e1:c7:e9,PLDTHOMEDSL,WPA2/WPA,11
00:13:33:e1:c7:ec,,WPA2/WPA,11
20:25:64:cb:84:7e,979384,WPA2/WPA,1
3a:1c:23:00:4b:aa,SmartBro-004baa,OPN,1
f6:9f:c2:57:be:90,Aralinks_Hub2,WPA2/WPA,1
50:09:59:84:f1:91,SKYbroadbandF18E,WPA2/WPA,1
48:00:33:62:8a:79,SKYbroadband8A76,WPA2/WPA,1
e0:8e:3c:21:e8:eb,HOLYFAMILY,WPA2/WPA,1
8c:18:d9:71:91:1b,Mitsubishi Wireless TV 908,OPN,6
fc:b4:e6:82:43:85,SKYbroadbandABA4,WPA2/WPA,6
bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,WPA2/WPA,5
00:19:be:81:32:e2,Altai_Wifi,WPA2,6
14:b7:f8:0b:41:fb,SKYbroadband41F8,WPA2/WPA,6
4c:f9:5d:85:9a:fc,RBCTY1,WPA2/WPA,6
18:a6:f7:76:35:da,TP,WPA2/WPA,10
90:61:0c:16:73:f9,PLDTMyDSL,WPA2/WPA,11
d2:5b:a8:f8:d5:d9,PadrePio,WPA2/WPA,11
00:26:75:79:72:04,ThePlaceToBe,WPA2,11
14:b7:f8:0b:1c:37,SKYbroadband1C34,WPA2/WPA,1
78:c1:a7:03:9e:ec,Pebble,WPA,1
86:2a:a8:eb:23:c8,Aralinks_Hub1,WPA2/WPA,1
1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,1
cc:06:77:6e:da:80,PLDTHOMEFIBReda80,WPA2/WPA,6
8c:34:fd:60:c1:ea,HUAWEI-E5330-C1EA,WPA2,7
c8:93:46:47:ad:f2,Think_47ADF2,WPA2,6
cc:06:77:6f:30:40,SAIGON PHO1,WPA2/WPA,7
80:13:82:58:e6:2c,HUAWEI-E62C,WPA2,8
c8:93:46:48:60:c6,Think_4860C6,WPA2,10
90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,11
90:61:0c:2d:d3:09,tom&jerry,WPA2,11
c8:93:46:48:70:90,Think_487090,WPA2,11
80:2a:a8:41:e9:d6,Wireless,WPA2,11
c8:93:46:48:4c:7f,Think_484C7F,WPA2,11
0e:41:58:01:1d:a3,5GB/s-3,WPA2,11
a4:2b:b0:d9:10:26,,WPA2/WPA,11
48:f8:b3:0f:d9:65,MotorGirl,WPA2,1
ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,OPN,1
f4:f2:6d:94:56:14,OrangeSegment1,WPA2,1
e0:8e:3c:2d:fa:d5,bayanDSLWIFI_FAD5,WPA2/WPA,1
cc:06:77:5c:bd:59,OS Dong,WPA2,1
cc:06:77:5c:bd:58,OSPLDT2_4G,WPA2/WPA,1
34:ba:9a:55:c5:b6,,WPA2/WPA,4
00:13:33:ea:7b:21,trendzoneqc,WPA2/WPA,5
94:46:96:17:00:3d,PLDTHOMEDSL7M7R0,WPA2/WPA,5
00:13:33:ea:7b:20,PLDTHOMEDSLadmin,WPA2/WPA,5
00:90:a9:10:89:7c,GuestWiFi,WPA2,6
00:90:a9:10:89:7b,SunkenGalleon,WPA2,6
14:ab:f0:4c:c1:b0,,WPA2,6
44:6e:e5:5b:48:82,VIRUS,WPA2,6
f0:98:38:07:ce:cc,HUAWEI-sJ8b,WPA2/WPA,7
00:90:a9:0e:55:0b,CallaoMan,WPA2,11
00:21:29:9d:a8:2f,SpanishCoins,WPA2,11
00:13:33:df:9b:b8,PLDTHOMEDSL,WPA2/WPA,11
2c:26:c5:1e:b3:c4,bayanDSL,WPA,11
90:61:0c:11:8d:26,PLDTMyDSL,WPA2/WPA,11
94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,WPA2/WPA,11
00:13:33:e1:63:df,PLDTHOMEDSL,WPA2/WPA,11
ee:1d:7f:a1:32:b7,DANNAH,WPA2/WPA,1
48:00:33:a7:e7:a1,SKYbroadbandE79E,WPA2/WPA,1
