Common,126
BSSID,SSID,Encryption,Site-Encryption,Last Update
50:09:59:83:82:81,"(Alporha and Rodriguez, 2016)",WPA2/WPA,wpa2,"2017-06-09, 01:00:00 PM"
f4:e3:fb:e5:49:fc,XRZ-850,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
f8:32:e4:b2:07:70,HOLYFAMILY,WPA2,wpa2,"2017-06-09, 01:00:00 PM"
1c:74:0d:17:c9:74,UNITY_SOURCE,WPA2/WPA,wpa2,"2017-06-09, 01:00:00 PM"
48:00:33:62:31:0d,SKYbroadband310A,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
e0:8e:3c:18:90:f8,PoohCorner,WPA,wpa,"2017-06-09, 01:00:00 PM"
00:13:33:e1:c7:e9,PLDTHOMEDSL,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
28:92:4a:14:9f:84,HOLYFAMILY,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
20:25:64:cb:84:7e,979384,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
50:09:59:84:f1:91,SKYbroadbandF18E,WPA2/WPA,wpa2,"2017-06-09, 01:00:00 PM"
48:00:33:62:8a:79,SKYbroadband8A76,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
e0:8e:3c:21:e8:eb,HOLYFAMILY,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
fc:b4:e6:82:43:85,SKYbroadbandABA4,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
00:19:be:81:32:e2,Altai_Wifi,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
4c:f9:5d:85:9a:fc,RBCTY1,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
48:f8:b3:a9:6d:bc,HFSPrivate,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
d2:5b:a8:f8:d5:d9,PadrePio,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
00:26:75:79:72:04,ThePlaceToBe,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
00:1a:ef:48:8a:d3,HOLYFAMILY,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
90:61:0c:2d:d3:09,tom&jerry,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
90:61:0c:2d:d3:09,tom&jerry,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
00:1a:ef:48:77:0b,TROJAN VIRUS!,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
80:2a:a8:41:e9:d6,Wireless,WPA2,wpa2,"2017-06-09, 01:00:00 PM"
0e:41:58:01:1d:a3,5GB/s-3,WPA2,wpa2,"2017-06-09, 01:00:00 PM"
a4:2b:b0:d9:10:26,,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
48:f8:b3:0f:d9:65,MotorGirl,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,OPN,unknown,"2017-07-29, 09:00:00 PM"
f4:f2:6d:94:56:14,OrangeSegment1,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
00:13:33:ea:7b:21,trendzoneqc,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
94:46:96:17:00:3d,PLDTHOMEDSL7M7R0,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
00:13:33:ea:7b:20,PLDTHOMEDSLadmin,WPA2/WPA,wpa2,"2017-07-29, 09:00:00 PM"
00:90:a9:10:89:7c,GuestWiFi,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
00:90:a9:10:89:7b,SunkenGalleon,WPA2,wpa2,"2017-07-29, 09:00:00 PM"
