WigleWifi-1.4,appRelease=2.26,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:13:49,9,-82,14.68514777,121.07711476,108,12.13599967956543,WIFI
5a:8b:f3:9c:cd:d8,PLDTOFFICE,[WPA-PSK-TKIP][WPS][ESS],2018-02-18 14:13:49,7,-85,14.68514777,121.07711476,108,12.13599967956543,WIFI
5a:8b:f3:9c:cd:e0,AF Holy Spirit,[WPA-PSK-CCMP+TKIP][WPS][ESS],2018-02-18 14:13:49,4,-81,14.68514777,121.07711476,108,12.13599967956543,WIFI
60:31:97:dd:09:bc,Wolfe_Company,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:13:49,12,-78,14.68514777,121.07711476,108,12.13599967956543,WIFI
06:d6:aa:9e:e9:5a,AndroidAP,[WPA2-PSK-CCMP][ESS],2018-02-18 14:13:49,6,-86,14.68514777,121.07711476,108,12.13599967956543,WIFI
b0:b9:8a:46:9b:8c,NETGEAR00,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:13:49,4,-86,14.68514777,121.07711476,108,12.13599967956543,WIFI
3e:36:bb:9d:da:53,Bernadette Chantle?s iPhone,[WPA2-PSK-CCMP][ESS],2018-02-18 14:13:49,1,-84,14.68514777,121.07711476,108,12.13599967956543,WIFI
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:13:49,11,-85,14.68514777,121.07711476,108,12.13599967956543,WIFI
c0:c1:c0:e7:d4:69,The Frame,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:13:49,1,-85,14.68514777,121.07711476,108,12.13599967956543,WIFI
e0:a3:ac:4f:a2:5c,1,[WPA2-PSK-CCMP][ESS],2018-02-18 14:13:49,1,-83,14.68514777,121.07711476,108,12.13599967956543,WIFI
24:1f:a0:79:0d:18,B315_90D18,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2018-02-18 14:13:49,5,-87,14.68514777,121.07711476,108,12.13599967956543,WIFI
88:3f:d3:05:d5:c0,AnytimeFitnessMembers,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:13:49,7,-87,14.68514777,121.07711476,108,12.13599967956543,WIFI
98:e7:f5:90:21:92,davebb,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-18 14:13:49,9,-88,14.68514777,121.07711476,108,12.13599967956543,WIFI
32:cd:a7:38:42:0f,DIRECT-8aM2020 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS][P2P],2018-02-18 14:13:49,11,-86,14.68514777,121.07711476,108,12.13599967956543,WIFI
c0:c1:c0:e7:d4:6a,The Frame-guest,[ESS],2018-02-18 14:13:49,1,-86,14.68514777,121.07711476,108,12.13599967956543,WIFI
c8:60:00:e4:70:cc,wcnet,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:13:49,1,-86,14.68514777,121.07711476,108,12.13599967956543,WIFI
51502_30229_210031200,Globe,HSPA;ph,2018-02-18 14:13:49,0,-69,14.68514777,121.07711476,108,12.13599967956543,GSM
24:a4:3c:74:4f:e1,HolySpirit3,[WPA2-PSK-CCMP][ESS],2018-02-18 14:13:49,136,-86,14.68514777,121.07711476,108,12.13599967956543,WIFI
f0:9f:c2:9c:45:4e,BHSQC-PA2,[WPA2-PSK-CCMP][ESS],2018-02-18 14:13:49,36,-89,14.68514777,121.07711476,108,12.13599967956543,WIFI
00:13:33:cc:2f:03,PLDTHOMEDSLMPBAC1214,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:13:49,11,-89,14.68514777,121.07711476,108,12.13599967956543,WIFI
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:13:49,2,-90,14.68514777,121.07711476,108,12.13599967956543,WIFI
5a:8b:f3:9c:cd:d8,PLDTOFFICE,[WPA-PSK-TKIP][WPS][ESS],2018-02-18 14:13:49,7,-80,14.68514777,121.07711476,108,12.13599967956543,WIFI
90:61:0c:1f:5c:75,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-18 14:13:49,11,-89,14.68514777,121.07711476,108,12.13599967956543,WIFI
5a:8b:f3:9c:cd:e0,AF Holy Spirit,[WPA-PSK-CCMP+TKIP][WPS][ESS],2018-02-18 14:14:06,4,-76,14.68525389,121.07727792,120,18.203998565673828,WIFI
66:a5:c3:8f:96:49,Myke?s iPhone,[WPA2-PSK-CCMP][ESS],2018-02-18 14:14:06,1,-84,14.68525389,121.07727792,120,18.203998565673828,WIFI
e4:6f:13:64:45:5c,Omakase DA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-18 14:14:06,9,-90,14.68525389,121.07727792,120,18.203998565673828,WIFI
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:14:06,1,-89,14.68525389,121.07727792,120,18.203998565673828,WIFI
c0:c1:c0:e7:d4:69,The Frame,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:14:47,1,-86,14.68615711,121.07748266,123,25.788999557495117,WIFI
c0:c1:c0:e7:d4:6a,The Frame-guest,[ESS],2018-02-18 14:14:47,1,-84,14.68615711,121.07748266,123,25.788999557495117,WIFI
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:14:47,2,-79,14.68615711,121.07748266,123,25.788999557495117,WIFI
f0:98:38:3d:90:80,HUAWEI-rvf2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:14:47,6,-88,14.68615711,121.07748266,123,25.788999557495117,WIFI
94:46:96:0f:83:6c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:14:47,11,-85,14.68615711,121.07748266,123,25.788999557495117,WIFI
00:13:33:ea:58:2a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:14:47,11,-76,14.68615711,121.07748266,123,25.788999557495117,WIFI
cc:06:77:76:52:64,PLDTHOMEFIBR5G65260,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-02-18 14:14:47,44,-85,14.68615711,121.07748266,123,25.788999557495117,WIFI
10:7b:44:ca:85:40,Hermes,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:14:47,6,-86,14.68615711,121.07748266,123,25.788999557495117,WIFI
cc:06:77:76:52:60,PLDTHOMEFIBR65260,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-02-18 14:14:47,8,-88,14.68615711,121.07748266,123,25.788999557495117,WIFI
5c:54:6d:43:f1:b8,RGAMILLA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2018-02-18 14:14:47,1,-87,14.68615711,121.07748266,123,25.788999557495117,WIFI
51502_30229_209979518,Globe,HSPA;ph,2018-02-18 14:14:47,0,-113,14.68615711,121.07748266,123,25.788999557495117,GSM
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,[WPA2-PSK-CCMP][WPS][ESS],1970-01-01 08:00:00,2,-67,14.68532971,121.07701852,0,104.30792236328125,WIFI
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:14:47,2,-83,14.68615711,121.07748266,123,25.788999557495117,WIFI
9c:3d:cf:1a:c7:37,NETGEAR32-5G,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:14:47,153,-86,14.68615711,121.07748266,123,25.788999557495117,WIFI
24:a4:3c:74:4f:e1,HolySpirit3,[WPA2-PSK-CCMP][ESS],2018-02-18 14:14:47,136,-86,14.68615711,121.07748266,123,25.788999557495117,WIFI
0c:54:a5:15:7b:6b,481534,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-02-18 14:14:47,1,-87,14.68615711,121.07748266,123,25.788999557495117,WIFI
cc:06:77:76:52:64,PLDTHOMEFIBR5G65260,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],2018-02-18 14:14:47,44,-74,14.68615711,121.07748266,123,25.788999557495117,WIFI
10:7b:44:ca:85:40,Hermes,[WPA2-PSK-CCMP][WPS][ESS],2018-02-18 14:14:47,6,-74,14.68615711,121.07748266,123,25.788999557495117,WIFI
